# klumpy scan_alignments --alignment_map SRR8468506.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Podarcis_muralis/GCF_004329235.1_PodMur_1.0_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
1	NC_041319.1	0	625000	5,5,3,5,5,3,1,1,2,2,2,3,2,2,2,3,1,1,3,2,2,1,2,1	LOC114603021,LOC114601877,LOC114601891,LOC114603024,LOC114603022,LOC114603023,LOC114603032,LOC114603036,LOC114603040,LOC114603035,LOC114603045,LOC114603033,LOC114603030,LOC114603028,LOC114603029,LOC114603039,LOC114603042,LOC114603038,LOC114603031,LOC114603046,LOC114603025,LOC114603026,LOC114603034,LOC114603044,LOC114603041,LOC114603047,LOC114601922,LOC114603050,LOC114603237
2	NC_041319.1	650000	775000	3,2,3,3	LOC114603005,DHX34,C5AR1,CCDC9
3	NC_041319.1	825000	2575000	4,4,2,2,1,2,1,2,4,3,3,3,1,2,3,5,6,2,2,3,2,1,2,1,1,3,1,3,5,4,1,2,1,6,6,3,1,1,2,3,2,3,1,1,1,1,1,1,3,2,3,2,2,1,4,2,2,1,2,3,2	ZC3H4,LOC114603056,PPP1R14A,LOC114603048,SPINT2,LOC114603063,YIF1B,KCNK6,LTBP4,LOC114601950,SHKBP1,SPTBN4,LOC114603069,BLVRB,LOC114603187,LOC114601951,SERTAD1,PRX,LOC114601952,LOC114601957,LOC114603119,LOC114601962,SDHAF1,TBCB,LOC114603001,POLR2I,OVOL3,WDR62,THAP8,LOC114601966,CLIP3,ALKBH6,SYNE4,LOC114603082,LOC114603084,CAPNS1,LOC114603088,LOC114603090,LOC114603089,LOC114603087,ADAD2,LOC114603093,LOC114603094,DLL3,TIMM50,SUPT5H,LOC114603018,LOC114603015,PLEKHG2,LOC114601968,LOC114601969,LOC114603414,LOC114601970,LOC114603103,LOC114603104,MED29,PAF1,LOC114603110,SAMD4B,GMFG
4	NC_041319.1	2825000	2925000	2,1,2	LOC114601972,LOC114603370
5	NC_041319.1	3050000	3150000	1,2,2	LOC114603117
6	NC_041319.1	3200000	4450000	3,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,4,6,2,2,2,1,2,1,1,1,1,2,3,1,2,3,4,4,2,1,2,2,2,1,1,1,1,2,2	LOC114603643,SYCN,NCCRP1,LOC114603282,LOC114603121,ACP7,LOC114603124,LOC114603006,LOC114601978,EML2,GPR4,LOC114603128,OPA3,VASP,LOC114603412,LOC114603408,PPM1N,RTN2,FOSB,LOC114601967,LOC114603133,PPP1R13L,ERCC2,KLC3,CKM,LOC114603017,MARK4,LOC114603141,LOC114601826,EXOC3L2,CD3EAP,ERCC1,LOC114603151,LOC114601979,LOC114601980,LOC114603152,LCE2B,LOC114603161,LOC114603166,LOC114603169,LOC114603160
7	NC_041319.1	4475000	6075000	2,2,2,3,2,2,4,2,1,6,5,3,2,2,2,2,1,1,3,1,1,1,2,5,4,1,4,7,5,2,2,1,2,2,1,3,2,3,2,3,2,2,2,1,3,2,2,6,6,2,1,1,1,1,1,2	LOC114603157,LOC114603163,LOC114603164,LOC114603159,LOC114603168,LOC114603165,LOC114601981,LOC114603155,LOC114603167,LOC114603154,LOC114601982,LOC114603162,LOC114603158,LOC114603153,EGLN2,RAB4B,LOC114603173,LOC114603176,MIA,SNRPA,C8H19orf54,ITPKC,COQ8B,NUMBL,LOC114601987,DPF1,SIPA1L3,WDR87,MAP3K10,LOC114603189,CNTD2,AKT2,C8H19orf47,LOC114603193,LOC114603194,PLD3,HIPK4,LOC114603195,LOC114603659,CAPN12,BICRA,ZNF541,LOC114603202,NAPA,KPTN,SLC8A2,LOC114603210,LOC114602061
8	NC_041319.1	6125000	6175000	1	CATSPERG
9	NC_041319.1	6250000	7050000	2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,3,2,1,1,2,1,3,2,1,2,1	SPRED3,FAM98C,RASGRP4,RYR1,LOC114603222,MAP4K1,EIF3K,ACTN4,LOC114603624,LGALS4,ECH1,HNRNPL,LOC114603230,LOC114603231,RINL,SIRT2
10	NC_041319.1	7225000	8125000	1,4,2,1,1,1,2,2,1,2,2,1,2,2,8,7,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1	LOC114603308,FBXO46,QPCTL,CCDC61,NANOS2,NOVA2,MYPOP,IRF2BP1,FOXA3,LOC114603097,SYMPK,DMWD,DMPK,SIX5,LOC114603261,BHMG1,LOC114603008,SNRPD2,LOC114603273,HIF3A,LOC114603266,LOC114601623,LOC114603267,LOC114603268,LOC114603270,CALM3,PTGIR
