Chrom	Start	End
NC_041319.1	120340	121339
NC_041319.1	155265	156264
NC_041319.1	170698	171697
NC_041319.1	180480	181479
NC_041319.1	204467	205466
NC_041319.1	238528	239527
NC_041319.1	295423	296422
NC_041319.1	300898	301897
NC_041319.1	392754	393753
NC_041319.1	1273547	1273571
NC_041319.1	1446464	1447463
NC_041319.1	1857934	1858933
NC_041319.1	2082196	2083195
NC_041319.1	2146404	2147403
NC_041319.1	2277480	2277504
NC_041319.1	2295037	2295892
NC_041319.1	2865464	2866061
NC_041319.1	2914099	2914123
NC_041319.1	2940042	2941041
NC_041319.1	2987266	2987290
NC_041319.1	4044624	4045623
NC_041319.1	4172219	4172243
NC_041319.1	4286837	4286861
NC_041319.1	4318054	4318078
NC_041319.1	4380125	4381124
NC_041319.1	4542557	4543556
NC_041319.1	4724835	4725834
NC_041319.1	4732493	4733492
NC_041319.1	5031901	5032900
NC_041319.1	5068801	5069800
NC_041319.1	5407327	5408326
NC_041319.1	5437939	5437963
NC_041319.1	5459177	5460176
NC_041319.1	5635811	5636810
NC_041319.1	5827178	5827677
NC_041319.1	5960892	5960916
NC_041319.1	6335555	6336554
NC_041319.1	6551637	6552424
NC_041319.1	6569170	6569194
NC_041319.1	6709966	6709990
NC_041319.1	7165134	7165158
NC_041319.1	7437210	7438209
NC_041319.1	7895909	7896908
NC_041319.1	8136979	8137003
NC_041319.1	8457362	8458361
NC_041319.1	8480976	8481896
NC_041319.1	11465567	11466566
NC_041319.1	11930424	11930448
NC_041319.1	11951622	11951646
NC_041319.1	11982867	11983866
NC_041319.1	12595667	12596166
NC_041319.1	12644824	12645183
NC_041319.1	12714251	12714275
NC_041319.1	12727279	12728278
NC_041319.1	12978493	12979492
NC_041319.1	13017439	13017463
NC_041319.1	13199118	13200117
NC_041319.1	13400694	13401693
NC_041319.1	13412658	13413129
NC_041319.1	13471076	13472075
NC_041319.1	13745519	13746518
NC_041319.1	13779203	13780202
NC_041319.1	13914981	13915980
NC_041319.1	13927997	13928996
NC_041319.1	14136127	14137126
NC_041319.1	14634598	14635597
NC_041319.1	14647779	14648778
NC_041319.1	14737909	14738908
NC_041319.1	14919636	14920635
NC_041319.1	15104806	15105805
NC_041319.1	15259992	15260016
NC_041319.1	15313664	15314663
NC_041319.1	15580452	15581451
NC_041319.1	15718584	15719583
NC_041319.1	16501318	16502317
NC_041319.1	16775677	16776676
NC_041319.1	17281022	17281046
NC_041319.1	17402889	17403888
NC_041319.1	17423589	17424588
NC_041319.1	17871914	17872913
NC_041319.1	18428012	18429011
NC_041319.1	18528034	18529033
NC_041319.1	18648388	18648412
NC_041319.1	19123681	19123705
NC_041319.1	19424294	19424318
NC_041319.1	19490038	19491037
NC_041319.1	22032697	22032721
NC_041319.1	22035746	22036745
NC_041319.1	22049691	22050690
NC_041319.1	22852631	22853630
NC_041319.1	23140641	23141640
NC_041319.1	23425738	23426737
NC_041319.1	23665521	23666520
NC_041319.1	23779708	23779732
NC_041319.1	23992791	23993790
NC_041319.1	24178013	24179012
NC_041319.1	24190627	24191626
NC_041319.1	24512379	24513378
NC_041319.1	24756003	24756969
NC_041319.1	24761266	24762265
NC_041319.1	26036927	26037926
NC_041319.1	27298779	27299778
NC_041319.1	27870084	27871083
NC_041319.1	27919398	27920397
NC_041319.1	28420900	28421899
NC_041319.1	28640040	28640064
NC_041319.1	28680759	28680783
NC_041319.1	28711050	28711074
NC_041319.1	29063195	29064194
NC_041319.1	29070497	29071452
NC_041319.1	29191082	29192081
