Chrom	Start	End
NW_020769377.1:4856191-5705352	13818	13827
NW_020769377.1:4856191-5705352	81974	82073
NW_020769377.1:4856191-5705352	207797	212796
NW_020769377.1:4856191-5705352	438165	438564
NW_020769377.1:4856191-5705352	470523	470532
NW_020769377.1:4856191-5705352	530654	535653
NW_020769377.1:4856191-5705352	539890	539899
NW_020769377.1:4856191-5705352	547582	572581
NW_020769377.1:4856191-5705352	572964	572973
NW_020769377.1:4856191-5705352	584905	584914
NW_020769377.1:4856191-5705352	703784	704183
NW_020769377.1:4856191-5705352	794524	794623
