Chrom	Start	End
ref|NW_015386451.1|:208104-629394	13710	13710
ref|NW_015386451.1|:208104-629394	17277	17393
ref|NW_015386451.1|:208104-629394	42481	42481
ref|NW_015386451.1|:208104-629394	76924	77023
ref|NW_015386451.1|:208104-629394	99108	99108
ref|NW_015386451.1|:208104-629394	106822	106921
ref|NW_015386451.1|:208104-629394	116465	116465
ref|NW_015386451.1|:208104-629394	258358	258620
ref|NW_015386451.1|:208104-629394	278160	278160
ref|NW_015386451.1|:208104-629394	326615	326615
ref|NW_015386451.1|:208104-629394	363100	363199
ref|NW_015386451.1|:208104-629394	381005	381119
ref|NW_015386451.1|:208104-629394	402253	404162
ref|NW_015386451.1|:208104-629394	413533	414036
ref|NW_015386451.1|:208104-629394	417828	417828
