Chrom	Start	End
ref|NW_020769377.1|:4856190-5705352	13819	13828
ref|NW_020769377.1|:4856190-5705352	81975	82074
ref|NW_020769377.1|:4856190-5705352	207798	212797
ref|NW_020769377.1|:4856190-5705352	438166	438565
ref|NW_020769377.1|:4856190-5705352	470524	470533
ref|NW_020769377.1|:4856190-5705352	530655	535654
ref|NW_020769377.1|:4856190-5705352	539891	539900
ref|NW_020769377.1|:4856190-5705352	547583	572582
ref|NW_020769377.1|:4856190-5705352	572965	572974
ref|NW_020769377.1|:4856190-5705352	584906	584915
ref|NW_020769377.1|:4856190-5705352	703785	704184
ref|NW_020769377.1|:4856190-5705352	794525	794624
