Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Ensembl Canonical	Gene name	Source of gene name	Gene % GC content	Gene type	GO term accession	GO term name	CDD ID	HGNC ID	NCBI gene (formerly Entrezgene) ID
ENSG00000292357	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	Y	1268793	1325373	1	CSF2RA	HGNC Symbol	50.9	protein_coding	GO:0038157	granulocyte-macrophage colony-stimulating factor signaling pathway		HGNC:2435	1438
ENSG00000292357	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	Y	1268793	1325373	1	CSF2RA	HGNC Symbol	50.9	protein_coding	GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex		HGNC:2435	1438
ENSG00000292357	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	Y	1268793	1325373		CSF2RA	HGNC Symbol	50.9	protein_coding	GO:0038157	granulocyte-macrophage colony-stimulating factor signaling pathway		HGNC:2435	1438
ENSG00000292357	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	Y	1268793	1325373		CSF2RA	HGNC Symbol	50.9	protein_coding	GO:0030526	granulocyte macrophage colony-stimulating factor receptor complex		HGNC:2435	1438
ENSG00000158270	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]	18	316737	500722	1	COLEC12	HGNC Symbol	43.13	protein_coding	GO:0005044	scavenger receptor activity	cd03590	HGNC:16016	81035
ENSG00000158270	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]	18	316737	500722	1	COLEC12	HGNC Symbol	43.13	protein_coding	GO:0038187	pattern recognition receptor activity	cd03590	HGNC:16016	81035
ENSG00000139734	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	13	59665583	60163928	1	DIAPH3	HGNC Symbol	35.91	protein_coding	GO:0030225	macrophage differentiation		HGNC:15480	81624
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643		PTPN2	HGNC Symbol	42.19	protein_coding	GO:0045650	negative regulation of macrophage differentiation	cd14607	HGNC:9650	5771
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643		PTPN2	HGNC Symbol	42.19	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd14607	HGNC:9650	5771
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643		PTPN2	HGNC Symbol	42.19	protein_coding	GO:0045650	negative regulation of macrophage differentiation		HGNC:9650	5771
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643		PTPN2	HGNC Symbol	42.19	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway		HGNC:9650	5771
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643	1	PTPN2	HGNC Symbol	42.19	protein_coding	GO:0045650	negative regulation of macrophage differentiation	cd14607	HGNC:9650	5771
ENSG00000175354	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	18	12785478	12929643	1	PTPN2	HGNC Symbol	42.19	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd14607	HGNC:9650	5771
ENSG00000288411	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	HG2111_PATCH	15086	18803		SAA1	HGNC Symbol	50.35	protein_coding	GO:0048246	macrophage chemotaxis		HGNC:10513	6288
ENSG00000288411	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	HG2111_PATCH	15086	18803	1	SAA1	HGNC Symbol	50.35	protein_coding	GO:0048246	macrophage chemotaxis		HGNC:10513	6288
