NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
101025135	Papio anubis	YTHDC1	XM_003898830.5	3268	XP_003898879.1	710
101025135	Papio anubis	YTHDC1	XM_009207009.4	3292	XP_009205273.1	718
101025135	Papio anubis	YTHDC1	XM_003898829.5	3322	XP_003898878.1	728
101025135	Papio anubis	YTHDC1	XM_009207008.4	3346	XP_009205272.1	736
101025135	Papio anubis	YTHDC1	XM_009207010.4	3502	XP_009205274.1	685
101166689	Oryzias latipes	ythdc1	XM_023960834.1	2531	XP_023816602.1	665
101166689	Oryzias latipes	ythdc1	XR_002874296.1	2767		
101166689	Oryzias latipes	ythdc1	XR_002874297.1	2721		
101674460	Mustela putorius furo	YTHDC1	XM_045079828.1	3397	XP_044935763.1	738
101674460	Mustela putorius furo	YTHDC1	XM_045079829.1	3373	XP_044935764.1	730
101674460	Mustela putorius furo	YTHDC1	XM_045079830.1	3343	XP_044935765.1	720
101674460	Mustela putorius furo	YTHDC1	XM_045079831.1	3319	XP_044935766.1	712
101797336	Anas platyrhynchos	YTHDC1	XM_027456021.3	3123	XP_027311822.1	747
101797336	Anas platyrhynchos	YTHDC1	XM_027456022.3	3069	XP_027311823.1	729
101797336	Anas platyrhynchos	YTHDC1	XM_027456023.3	2988	XP_027311824.1	702
101797336	Anas platyrhynchos	YTHDC1	XM_027456024.3	2934	XP_027311825.1	684
102878574	Pteropus alecto	YTHDC1	XM_015592937.2	3306	XP_015448423.1	716
102878574	Pteropus alecto	YTHDC1	XM_006916508.3	3360	XP_006916570.1	734
102878574	Pteropus alecto	YTHDC1	XM_006916507.3	3384	XP_006916569.1	742
102935017	Chelonia mydas	YTHDC1	XM_043544426.1	2716	XP_043400361.1	649
102935017	Chelonia mydas	YTHDC1	XM_037896605.2	2910	XP_037752533.1	635
102935017	Chelonia mydas	YTHDC1	XM_037896603.2	3113	XP_037752531.1	703
102935017	Chelonia mydas	YTHDC1	XM_037896604.2	3059	XP_037752532.1	685
103894255	Aptenodytes forsteri	YTHDC1	XM_009273603.2	2916	XP_009271878.1	686
103894255	Aptenodytes forsteri	YTHDC1	XM_009273602.2	2970	XP_009271877.1	704
103894255	Aptenodytes forsteri	YTHDC1	XM_009273601.2	3051	XP_009271876.1	731
103894255	Aptenodytes forsteri	YTHDC1	XR_002086118.1	3028		
103894255	Aptenodytes forsteri	YTHDC1	XM_009273600.2	3105	XP_009271875.1	749
103894255	Aptenodytes forsteri	YTHDC1	XM_019470572.1	1517	XP_019326117.1	472
104325488	Haliaeetus albicilla	YTHDC1	XM_069782376.1	2990	XP_069638477.1	704
104325488	Haliaeetus albicilla	YTHDC1	XM_069782384.1	2936	XP_069638485.1	686
104325488	Haliaeetus albicilla	YTHDC1	XM_069782392.1	2615	XP_069638493.1	572
104325488	Haliaeetus albicilla	YTHDC1	XM_069782358.1	3123	XP_069638459.1	749
104325488	Haliaeetus albicilla	YTHDC1	XM_069782366.1	3069	XP_069638467.1	731
104465581	Pterocles gutturalis	YTHDC1	XM_010078686.1	2504	XP_010076988.1	704
104465581	Pterocles gutturalis	YTHDC1	XM_010078687.1	2450	XP_010076989.1	686
104465581	Pterocles gutturalis	YTHDC1	XM_010078684.1	2686	XP_010076986.1	760
104465581	Pterocles gutturalis	YTHDC1	XM_010078685.1	2610	XP_010076987.1	749
109646075	Paralichthys olivaceus	ythdc1	XM_020111770.2	2898	XP_019967329.2	675
109646075	Paralichthys olivaceus	ythdc1	XM_069513716.1	2553	XP_069369817.1	570
114102068	Marmota flaviventris	Ythdc1	XM_027947320.3	3069	XP_027803121.1	736
114102068	Marmota flaviventris	Ythdc1	XM_027947321.3	3045	XP_027803122.1	728
114583727	Podarcis muralis	YTHDC1	XM_028705128.1	3151	XP_028560961.1	715
114583727	Podarcis muralis	YTHDC1	XM_028705131.1	3081	XP_028560964.1	692
114583727	Podarcis muralis	YTHDC1	XM_028705129.1	3135	XP_028560962.1	710
114583727	Podarcis muralis	YTHDC1	XM_028705130.1	3108	XP_028560963.1	701
114583727	Podarcis muralis	YTHDC1	XM_028705127.1	3162	XP_028560960.1	719
115296743	Suricata suricatta	YTHDC1	XM_029945240.1	3280	XP_029801100.1	711
115296743	Suricata suricatta	YTHDC1	XM_029945231.1	3334	XP_029801091.1	729
115296743	Suricata suricatta	YTHDC1	XM_029945226.1	3358	XP_029801086.1	737
115593277	Sparus aurata	ythdc1	XM_030436771.1	3066	XP_030292631.1	697
115652829	Gopherus evgoodei	YTHDC1	XM_030565354.1	2741	XP_030421214.1	634
115652829	Gopherus evgoodei	YTHDC1	XM_030565353.1	2891	XP_030421213.1	684
115652829	Gopherus evgoodei	YTHDC1	XM_030565352.1	2945	XP_030421212.1	702
116996285	Catharus ustulatus	YTHDC1	XM_033059677.2	2993	XP_032915568.1	686
116996285	Catharus ustulatus	YTHDC1	XM_033059676.2	3047	XP_032915567.1	704
117369084	Geotrypetes seraphini	YTHDC1	XM_033963055.1	3019	XP_033818946.1	745
117369084	Geotrypetes seraphini	YTHDC1	XM_033963075.1	2965	XP_033818966.1	727
117369084	Geotrypetes seraphini	YTHDC1	XM_033963093.1	2929	XP_033818984.1	715
117369084	Geotrypetes seraphini	YTHDC1	XM_033963084.1	2965	XP_033818975.1	727
117369084	Geotrypetes seraphini	YTHDC1	XM_033963102.1	2911	XP_033818993.1	709
117369084	Geotrypetes seraphini	YTHDC1	XM_033963121.1	2875	XP_033819012.1	697
117369084	Geotrypetes seraphini	YTHDC1	XM_033963111.1	2874	XP_033819002.1	697
117369084	Geotrypetes seraphini	YTHDC1	XM_033963064.1	3030	XP_033818955.1	745
118247770	Cygnus atratus	YTHDC1	XM_035546093.2	2896	XP_035401986.1	684
118247770	Cygnus atratus	YTHDC1	XM_035546033.2	2555	XP_035401926.1	748
118247770	Cygnus atratus	YTHDC1	XM_035546055.2	2501	XP_035401948.1	730
118247770	Cygnus atratus	YTHDC1	XM_035546071.2	2420	XP_035401964.1	703
118247770	Cygnus atratus	YTHDC1	XM_035546086.2	2366	XP_035401979.1	685
118247770	Cygnus atratus	YTHDC1	XM_035546040.2	3079	XP_035401933.1	747
118247770	Cygnus atratus	YTHDC1	XM_035546063.2	3025	XP_035401956.1	729
118247770	Cygnus atratus	YTHDC1	XM_035546080.2	2944	XP_035401973.1	702
118247770	Cygnus atratus	YTHDC1	XM_050710685.1	3081	XP_050566642.1	610
118247770	Cygnus atratus	YTHDC1	XM_035546047.2	2443	XP_035401940.1	733
118631710	Molossus molossus	YTHDC1	XM_036264260.1	3336	XP_036120153.1	708
118631710	Molossus molossus	YTHDC1	XM_036264243.1	3410	XP_036120136.1	734
118631710	Molossus molossus	YTHDC1	XM_036264250.1	3386	XP_036120143.1	726
120532974	Polypterus senegalus	ythdc1	XM_039759523.1	2955	XP_039615457.1	702
120532974	Polypterus senegalus	ythdc1	XM_039759522.1	3014	XP_039615456.1	722
120532974	Polypterus senegalus	ythdc1	XM_039759526.1	2864	XP_039615460.1	672
120532974	Polypterus senegalus	ythdc1	XM_039759525.1	2923	XP_039615459.1	692
122346183	Puntigrus tetrazona	ythdc1	XM_043240875.1	3035	XP_043096810.1	704
122346183	Puntigrus tetrazona	ythdc1	XM_043240874.1	3043	XP_043096809.1	707
122346183	Puntigrus tetrazona	ythdc1	XM_043240872.1	3061	XP_043096807.1	713
122346183	Puntigrus tetrazona	ythdc1	XM_043240873.1	3045	XP_043096808.1	708
122346183	Puntigrus tetrazona	ythdc1	XM_043240876.1	2970	XP_043096811.1	683
122346183	Puntigrus tetrazona	ythdc1	XM_043240877.1	2954	XP_043096812.1	678
123595906	Leopardus geoffroyi	YTHDC1	XM_045473854.1	3325	XP_045329810.1	729
123595906	Leopardus geoffroyi	YTHDC1	XM_045473851.1	3349	XP_045329807.1	737
123595906	Leopardus geoffroyi	YTHDC1	XM_045473852.1	3331	XP_045329808.1	731
123595906	Leopardus geoffroyi	YTHDC1	XM_045473849.1	3385	XP_045329805.1	749
123595906	Leopardus geoffroyi	YTHDC1	XM_045473857.1	3148	XP_045329813.1	686
123595906	Leopardus geoffroyi	YTHDC1	XM_045473856.1	3270	XP_045329812.1	711
123595906	Leopardus geoffroyi	YTHDC1	XM_045473855.1	3306	XP_045329811.1	723
123595906	Leopardus geoffroyi	YTHDC1	XM_045473850.1	3360	XP_045329806.1	741
130905480	Corythoichthys intestinalis	ythdc1	XM_057818937.1	2480	XP_057674920.1	688
130905480	Corythoichthys intestinalis	ythdc1	XM_057818938.1	2476	XP_057674921.1	687
133092695	Eubalaena glacialis	YTHDC1	XM_061192348.1	3363	XP_061048331.1	738
133092695	Eubalaena glacialis	YTHDC1	XM_061192349.1	3339	XP_061048332.1	730
133092695	Eubalaena glacialis	YTHDC1	XM_061192350.1	3309	XP_061048333.1	720
133092695	Eubalaena glacialis	YTHDC1	XM_061192351.1	3285	XP_061048334.1	712
138601873	Semicossyphus pulcher	ythdc1	XM_069673155.1	3104	XP_069529256.1	685
138601873	Semicossyphus pulcher	ythdc1	XM_069673154.1	3107	XP_069529255.1	686
100172720	Pongo abelii	YTHDC1	NR_165077.1	4655		
100172720	Pongo abelii	YTHDC1	XM_024245572.2	3371	XP_024101340.1	710
100172720	Pongo abelii	YTHDC1	XM_054553269.1	3395	XP_054409244.1	718
100172720	Pongo abelii	YTHDC1	NM_001377072.1	3301	NP_001364001.1	728
100172720	Pongo abelii	YTHDC1	NM_001377071.1	3325	NP_001364000.1	736
102211465	Pundamilia nyererei	ythdc1	XM_013915303.1	2686	XP_013770757.1	680
102211465	Pundamilia nyererei	ythdc1	XM_005750695.1	2689	XP_005750752.1	681
102219533	Xiphophorus maculatus	ythdc1	XM_023338111.1	2429	XP_023193879.1	661
102219533	Xiphophorus maculatus	ythdc1	XM_023338110.1	2343	XP_023193878.1	662
104635118	Balearica regulorum gibbericeps	YTHDC1	XM_010301837.1	2460	XP_010300139.1	708
105463612	Macaca nemestrina	LOC105463612	XM_011710821.3	3261	XP_011709123.1	718
105463612	Macaca nemestrina	LOC105463612	XM_011710819.3	3315	XP_011709121.1	736
105463612	Macaca nemestrina	LOC105463612	XM_011710823.3	3236	XP_011709125.1	710
105463612	Macaca nemestrina	LOC105463612	XM_011710820.3	3290	XP_011709122.1	728
106535883	Austrofundulus limnaeus	ythdc1	XM_014033019.1	2615	XP_013888473.1	667
107499310	Rousettus aegyptiacus	YTHDC1	XM_016123368.2	3270	XP_015978854.2	713
107499310	Rousettus aegyptiacus	YTHDC1	XM_016123367.2	3294	XP_015978853.2	721
107499310	Rousettus aegyptiacus	YTHDC1	XM_016123366.2	3324	XP_015978852.2	731
107499310	Rousettus aegyptiacus	YTHDC1	XM_016123365.2	3348	XP_015978851.2	739
108260248	Ictalurus punctatus	ythdc1	XM_017460354.3	3106	XP_017315843.1	706
108260248	Ictalurus punctatus	ythdc1	XM_017460355.3	3015	XP_017315844.1	676
110149700	Odocoileus virginianus	YTHDC1	XM_070458336.1	3287	XP_070314437.1	727
110149700	Odocoileus virginianus	YTHDC1	XM_070458335.1	3316	XP_070314436.1	737
110149700	Odocoileus virginianus	YTHDC1	XM_070458334.1	3340	XP_070314435.1	745
110149700	Odocoileus virginianus	YTHDC1	XM_020912285.2	3105	XP_020767944.1	667
110149700	Odocoileus virginianus	YTHDC1	XM_020912284.2	3233	XP_020767943.1	710
110149700	Odocoileus virginianus	YTHDC1	XM_020912280.2	3287	XP_020767939.1	728
110149700	Odocoileus virginianus	YTHDC1	XM_020912279.2	3311	XP_020767938.1	736
111928359	Cyanistes caeruleus	YTHDC1	XM_023925740.1	2556	XP_023781508.1	734
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043161.1	2767	XP_025898946.1	686
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043160.1	2821	XP_025898945.1	704
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043159.1	2854	XP_025898944.1	716
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043158.1	2908	XP_025898943.1	734
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043163.1	1411	XP_025898948.1	457
112950586	Nothoprocta perdicaria	YTHDC1	XM_026043164.1	1374	XP_025898949.1	457
115090963	Rhinatrema bivittatum	YTHDC1	XM_029600717.1	3046	XP_029456577.1	693
115090963	Rhinatrema bivittatum	YTHDC1	XM_029600702.1	3081	XP_029456562.1	723
115090963	Rhinatrema bivittatum	YTHDC1	XM_029600709.1	3053	XP_029456569.1	714
115090963	Rhinatrema bivittatum	YTHDC1	XM_029600693.1	3143	XP_029456553.1	744
118125497	Hippoglossus stenolepis	ythdc1	XM_035184135.2	2894	XP_035040026.1	675
118705666	Pipistrellus kuhlii	YTHDC1	XM_036414729.2	3274	XP_036270622.1	700
118705666	Pipistrellus kuhlii	YTHDC1	XM_036414709.2	3309	XP_036270602.1	712
118705666	Pipistrellus kuhlii	YTHDC1	XM_036414718.2	3284	XP_036270611.1	704
118705666	Pipistrellus kuhlii	YTHDC1	XM_036414691.2	3362	XP_036270584.1	730
118705666	Pipistrellus kuhlii	YTHDC1	XM_036414701.2	3337	XP_036270594.1	722
120320063	Crotalus tigris	YTHDC1	XM_039369493.1	4200	XP_039225427.1	715
120320063	Crotalus tigris	YTHDC1	XM_039369492.1	4195	XP_039225426.1	718
120320063	Crotalus tigris	YTHDC1	XM_039369491.1	3764	XP_039225425.1	736
123775888	Ursus americanus	YTHDC1	XM_045771488.1	6061	XP_045627444.1	711
123775888	Ursus americanus	YTHDC1	XM_045771486.1	6085	XP_045627442.1	719
123775888	Ursus americanus	YTHDC1	XM_045771485.1	6115	XP_045627441.1	729
123775888	Ursus americanus	YTHDC1	XM_045771484.1	6139	XP_045627440.1	737
124463196	Hypomesus transpacificus	ythdc1	XM_047014987.1	2958	XP_046870943.1	687
124463196	Hypomesus transpacificus	ythdc1	XM_047014986.1	2967	XP_046870942.1	690
126044677	Astur gentilis	YTHDC1	XM_049814725.1	2819	XP_049670682.1	749
126044677	Astur gentilis	YTHDC1	XM_049814726.1	2765	XP_049670683.1	731
126044677	Astur gentilis	YTHDC1	XM_049814729.1	2684	XP_049670686.1	704
126044677	Astur gentilis	YTHDC1	XM_049814730.1	2630	XP_049670687.1	686
126044677	Astur gentilis	YTHDC1	XM_049814727.1	2755	XP_049670684.1	712
126044677	Astur gentilis	YTHDC1	XM_049814728.1	2725	XP_049670685.1	712
126077105	Elephas maximus indicus	YTHDC1	XM_049886102.1	3250	XP_049742059.1	704
126077105	Elephas maximus indicus	YTHDC1	XM_049886101.1	3274	XP_049742058.1	712
126077105	Elephas maximus indicus	YTHDC1	XM_049886100.1	3304	XP_049742057.1	722
126077105	Elephas maximus indicus	YTHDC1	XM_049886099.1	3328	XP_049742056.1	730
128108574	Peromyscus californicus insignis	Ythdc1	XM_052735302.1	3342	XP_052591262.1	747
128108574	Peromyscus californicus insignis	Ythdc1	XM_052735303.1	3318	XP_052591263.1	739
128108574	Peromyscus californicus insignis	Ythdc1	XM_052735305.1	3264	XP_052591265.1	721
128108574	Peromyscus californicus insignis	Ythdc1	XM_052735304.1	3306	XP_052591264.1	735
129170281	Dunckerocampus dactyliophorus	ythdc1	XM_054757668.1	2396	XP_054613643.1	674
131083319	Melospiza georgiana	YTHDC1	XM_058023890.1	2525	XP_057879873.1	697
131083319	Melospiza georgiana	YTHDC1	XM_058023888.1	2579	XP_057879871.1	715
131083319	Melospiza georgiana	YTHDC1	XM_058023889.1	2563	XP_057879872.1	704
131083319	Melospiza georgiana	YTHDC1	XM_058023892.1	2508	XP_057879875.1	686
131758256	Kogia breviceps	YTHDC1	XM_059066186.2	3638	XP_058922169.1	712
131758256	Kogia breviceps	YTHDC1	XM_067035713.1	3662	XP_066891814.1	720
131758256	Kogia breviceps	YTHDC1	XM_059066185.2	3692	XP_058922168.1	730
131758256	Kogia breviceps	YTHDC1	XM_059066184.2	3716	XP_058922167.1	738
131823556	Mustela lutreola	YTHDC1	XM_059160091.1	3095	XP_059016074.1	687
131823556	Mustela lutreola	YTHDC1	XM_059160081.1	3021	XP_059016064.1	712
131823556	Mustela lutreola	YTHDC1	XM_059160072.1	3045	XP_059016055.1	720
131823556	Mustela lutreola	YTHDC1	XM_059160064.1	3075	XP_059016047.1	730
131823556	Mustela lutreola	YTHDC1	XM_059160055.1	3099	XP_059016038.1	738
137035076	Chanodichthys erythropterus	ythdc1	XM_067408332.1	3059	XP_067264433.1	739
137035076	Chanodichthys erythropterus	ythdc1	XM_067408333.1	2943	XP_067264434.1	711
137035076	Chanodichthys erythropterus	ythdc1	XM_067408334.1	2837	XP_067264435.1	681
100012426	Monodelphis domestica	YTHDC1	XM_007496368.3	3724	XP_007496430.1	709
100012426	Monodelphis domestica	YTHDC1	XM_001366688.5	3700	XP_001366725.1	701
100012426	Monodelphis domestica	YTHDC1	XM_007496369.3	3670	XP_007496431.1	691
