test	pval
Alligator_mississippiensis	NA
Anolis_carolinensis	0.02181
Bufo_bufo	0.01624
Calypte_anna	NA
Canis_lupus	NA
Caretta_caretta	NA
Cygnus_olor	0.00165
Danio_rerio	0.00459
Dermochelys_coriacea	NA
Equus_caballus	NA
Gallus_gallus	0.00281
Homo_sapiens	0.03017
Hyla_sarda	0.01068
Latimeria_chalumnae	NA
Loxodonta_africana	0.03856
Mus_musculus	0.01588
Orcinus_orca	NA
Ornithorhynchus_anatinus	NA
Oryzias_melastigma	NA
Phascolarctos_cinereus	NA
Poecilia_formosa	NA
Poecilia_reticulata	NA
Pogona_vitticeps	NA
Rana_temporaria	NA
Rhineura_floridana	0.00001
Rhinolophus_ferrumequinum	NA
Rissa_tridactyla	NA
Sphenodon_punctatus	0.03261
Taeniopygia_guttata	NA
Thamnophis_elegans	0.00083
Varanus_komodoensis	0.00006
Xenopus_tropicalis	0.00008
