NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
101089353	Felis catus	CENPC	XM_019829418.3	3190	XP_019684977.1	936
101089353	Felis catus	CENPC	XM_045056273.1	4298	XP_044912208.1	869
101089353	Felis catus	CENPC	XM_006931085.5	3249	XP_006931147.1	956
101089353	Felis catus	CENPC	XR_002156287.3	2956		
101089353	Felis catus	CENPC	XR_006597033.1	4323		
101125059	Gorilla gorilla gorilla	CENPC	XR_008679465.2	2658		
101125059	Gorilla gorilla gorilla	CENPC	XM_019026022.4	3218	XP_018881567.4	943
101125059	Gorilla gorilla gorilla	CENPC	XM_063705272.1	3092	XP_063561342.1	910
101125059	Gorilla gorilla gorilla	CENPC	XM_055385869.2	3159	XP_055241844.2	935
101125059	Gorilla gorilla gorilla	CENPC	XM_055385870.2	2958	XP_055241845.2	808
102013025	Chinchilla lanigera	Cenpc	XM_005392837.2	3219	XP_005392894.1	926
102047881	Falco cherrug	CENPC	XM_055704980.1	2928	XP_055560955.1	875
102047881	Falco cherrug	CENPC	XM_055704974.1	3089	XP_055560949.1	923
102462029	Pelodiscus sinensis	CENPC	XM_025187164.1	3190	XP_025042949.1	782
103602862	Galeopterus variegatus	CENPC	XM_008587326.1	2727	XP_008585548.1	807
103602862	Galeopterus variegatus	CENPC	XM_008587318.1	3138	XP_008585540.1	944
104270575	Apaloderma vittatum	CENPC	XM_009864985.1	2805	XP_009863287.1	934
105811196	Propithecus coquereli	CENPC	XM_012645340.1	2511	XP_012500794.1	836
107203386	Parus major	CENPC	XR_001521159.3	3363		
107203386	Parus major	CENPC	XM_015625436.3	3311	XP_015480922.1	943
107203386	Parus major	CENPC	XM_015625437.3	3235	XP_015480923.1	934
107203386	Parus major	CENPC	XM_015625438.3	3261	XP_015480924.1	918
107203386	Parus major	CENPC	XM_015625439.1	3074	XP_015480925.1	814
109674043	Castor canadensis	Cenpc	XM_020151155.1	1401	XP_020006744.1	299
109674043	Castor canadensis	Cenpc	XM_020151154.1	1495	XP_020006743.1	299
110591404	Neomonachus schauinslandi	CENPC	XM_044912714.1	3020	XP_044768649.1	954
112950591	Nothoprocta perdicaria	CENPC	XM_026043170.1	2989	XP_025898955.1	943
112950591	Nothoprocta perdicaria	CENPC	XM_026043171.1	2950	XP_025898956.1	930
114581846	Podarcis muralis	CENPC	XM_028702500.1	3444	XP_028558333.1	912
115610773	Strigops habroptila	CENPC	XM_030492765.1	3312	XP_030348625.1	999
115610773	Strigops habroptila	CENPC	XM_030492766.1	3295	XP_030348626.1	998
116585135	Mustela erminea	CENPC	XM_032334454.1	3058	XP_032190345.1	913
116585135	Mustela erminea	CENPC	XM_032334455.1	3074	XP_032190346.1	908
118095312	Zootoca vivipara	CENPC	XM_035136453.2	4294	XP_034992344.1	904
118095312	Zootoca vivipara	CENPC	XM_035136454.2	4227	XP_034992345.1	882
118095312	Zootoca vivipara	CENPC	XM_060282242.1	4059	XP_060138225.1	819
