V2,V3,V4,V5
Amia_calva,1,0.00352387747340731,99.865955362083,0.130520760443606
Lepisosteus_oculatus,1,0.00814136107218063,99.9250656731765,0.0667929657513504
Bufo_bufo,1,0.0385828737432196,87.7283765688477,12.233040557409
Bufo_gargarizans,1,0.113108264279918,71.6909685509848,28.1959231847353
Dendropsophus_ebraccatus,1,0,89.949925861105,10.050074138895
Eleutherodactylus_coqui,1,0,79.397822681075,20.602177318925
Hyla_sarda,1,0,89.9530660278818,10.0469339721182
Pseudophryne_corroboree,1,0,67.8296424968461,32.1703575031539
Rana_temporaria,1,0.0580999175124628,83.6782268765915,16.2636732058961
Ranitomeya_imitator,1,0.00898230485942693,49.2607563100692,50.7302613850714
Spea_bombifrons,1,0.239498894620486,85.8388602309015,13.921640874478
Xenopus_tropicalis,1,0,74.8757821126242,25.1242178873758
Anas_acuta,1,0,82.9327130180064,17.0672869819936
Anas_platyrhynchos,1,0,83.8218151540383,16.1781848459617
Anser_cygnoides,1,1.29211645403991,79.2934249263984,19.4144586195617
Apteryx_mantelli,1,1.14182943661383,86.1098331172362,12.74833744615
Aquila_chrysaetos,1,0.799390940236011,88.3897982489532,10.8108108108108
Aythya_fuligula,1,2.81712307208058,79.7686496694995,17.4142272584199
Caloenas_nicobarica,1,1.55752417346998,87.597707139135,10.8447686873951
Camarhynchus_parvulus,1,1.53163009202651,87.0905463672051,11.3778235407684
Columba_livia,1,0.279275183477301,88.6341495096447,11.086575306878
Corvus_cornix,1,1.72720345440691,86.4363728727457,11.8364236728473
Corvus_hawaiiensis,1,1.58880870996329,86.65653880238,11.7546524876567
Coturnix_japonica,1,0.538861996529363,86.3457850031966,13.115353000274
Cygnus_atratus,1,1.5051594382807,79.4320738614322,19.0627667002871
Dromaius_novaehollandiae,1,0.646911519198664,86.0340150250417,13.3190734557596
Falco_rusticolus,1,1.33578681932802,85.7561507530839,12.9080624275881
Gallus_gallus,1,2.22117647058824,82.3152941176471,15.4635294117647
Grus_americana,1,1.36573945035955,88.0260884107252,10.6081721389152
Melopsittacus_undulatus,1,1.46353933661405,87.2946890777785,11.2417715856075
Molothrus_aeneus,1,1.79561841375485,85.2190793122573,12.9853022739878
Pseudopipra_pipra,1,1.23157305467438,89.9094980406792,8.85892890464639
Rhea_pennata,1,1.89732996710275,82.3578915155688,15.7447785173284
Rissa_tridactyla,1,1.18629397688509,86.7165622931623,12.0971437299527
Strigops_habroptila,1,0,93.7189743589744,6.28102564102564
Amblyraja_radiata,1,5.37232120521444,77.5578842037969,17.0697945909887
Mobula_hypostoma,1,4.89337532174338,79.3571363520891,15.7494883261675
Narcine_bancroftii,1,17.4231999177273,70.266015014765,12.3107850675077
Pristiophorus_japonicus,1,0.202067119509479,79.6237686534905,20.174164227
Pristis_pectinata,1,4.09677576192774,78.4539664374058,17.4492578006665
Scyliorhinus_canicula,1,6.4895504747112,75.2327144631826,18.2777350621062
Erpetoichthys_calabaricus,1,0.0168718516221678,99.8970104076526,0.0861177407252089
Anolis_sagrei,0,1.3389846835565,52.5382911087564,46.1227242076871
Candoia_aspera,0,0,83.3081444164568,16.6918555835432
Erythrolamprus_reginae,0,0,77.4212368728121,22.5787631271879
Hemicordylus_capensis,0,2.62443438914027,20.0301659125189,77.3453996983409
Heteronotia_binoei,0,0.967351874244256,52.4788391777509,46.5538089480048
Lacerta_agilis,0,0,75.6664853101197,24.3335146898803
Podarcis_raffonei,0,0,66.0422479075329,33.9577520924671
Rhineura_floridana,0,0,59.8101619207147,40.1898380792853
Sphaerodactylus_townsendi,0,0,13.64633611233,86.35366388767
Thamnophis_elegans,0,2.35081374321881,0,97.6491862567812
Acinonyx_jubatus,1,0.28169014084507,97.7374750787832,1.98083478037173
Apodemus_sylvaticus,1,0.29420216478058,98.4783590361116,1.22743879910781
Arvicanthis_niloticus,1,0.335609642210938,98.3555127531664,1.30887760462266
Choloepus_didactylus,1,0.310604351115654,98.0540770139506,1.6353186349337
Cricetulus_griseus,1,0.296194393363,98.2172185802322,1.48658702640482
Cynocephalus_volans,1,0.398864442867282,97.5713271823989,2.02980837473385
Desmodus_rotundus,1,0.370451078666376,97.7903682719547,1.83918064937895
Eptesicus_fuscus,1,0.337868451371539,97.3773123276677,2.28481922096079
Equus_quagga,1,0.367471066933236,97.0461521133106,2.58637681975615
Erinaceus_europaeus,1,0.201175496035659,98.804780876494,0.994043627470317
Eulemur_rufifrons,1,0.517116045466561,97.1104282315623,2.37245572297119
Felis_catus,1,0.292657733910998,97.4550253923622,2.2523168737268
Homo_sapiens,1,0.308732553089086,98.0630847429772,1.6281827039337
Lemur_catta,1,0.45672179021359,97.5075554348195,2.03572277496689
Leopardus_geoffroyi,1,0.29695226227248,97.6813861307385,2.02166160698898
Lutra_lutra,1,0.340071792934064,97.7255882224709,1.93433998459504
Lynx_canadensis,1,0.312780791847227,97.8128092264647,1.87440998168811
Macaca_fascicularis,1,0.298678920160827,98.1125789775991,1.58874210224009
Macaca_mulatta,1,0.250276803838347,98.1281140431814,1.62160915298025
Macaca_nemestrina,1,0.265544954645862,97.8862151619119,1.84823988344221
Macaca_thibetana,1,0.271517159654391,98.114336336129,1.61414650421657
Marmota_flaviventris,1,0.394392106583422,97.5932326216623,2.01237527175428
Meles_meles,1,0.363965891196482,97.4522387616246,2.18379534717889
Meriones_unguiculatus,1,0.352405658068621,98.0470853115364,1.60050903039499
Mus_pahari,1,0.335834032987569,98.3289548519893,1.33521111502316
Mustela_erminea,1,0.353226874678048,97.4641253955405,2.18264772978144
Mustela_lutreola,1,0.337507122715252,97.4591996259661,2.20329325131862
Mustela_nigripes,1,0.359900917965904,97.1849045606877,2.45519452134635
Myotis_daubentonii,1,0.298915593206707,98.0161655697492,1.68491883704409
Neofelis_nebulosa,1,0.273193452314307,98.0865261885035,1.64028035918221
Neogale_vison,1,0.396312953644743,97.3890843241157,2.21460272223954
Nycticebus_coucang,1,0.287393860222077,98.3445163588861,1.36808978089187
Oryctolagus_cuniculus,1,0.315591697736547,97.8671872706456,1.81722103161788
Panthera_onca,1,0.345567582920441,97.3869410168208,2.26749140025878
Pan_troglodytes,1,0.224517797004162,98.1596344215265,1.61584778146934
Papio_anubis,1,0.275661951396445,98.0099141579011,1.71442389070245
Peromyscus_eremicus,1,0.354920264488526,96.9888499935174,2.65622974199404
Peromyscus_leucopus,1,0.322570591535249,97.9383531758399,1.73907623262482
Phyllostomus_discolor,1,0.343540839898122,97.6011372386424,2.05532192145946
Pongo_abelii,1,0.319518514645567,97.8958253453705,1.78465613998397
Prionailurus_bengalensis,1,0.274787407273385,98.0131626560521,1.71204993667451
Prionailurus_viverrinus,1,0.305054376793187,97.9417334800014,1.75321214320545
Rhinolophus_ferrumequinum,1,0.338252916104176,97.8445856780985,1.81716140579732
Rhinopithecus_roxellana,1,0.271300605748766,98.1207755455247,1.60792384872652
Suricata_suricatta,1,0.425806830528881,97.8518779549526,1.72231521451854
Vulpes_lagopus,1,0.317651637852022,98.1669114969804,1.51543686516755
Caretta_caretta,1,0.0525026251312566,94.6400801052711,5.30741726959766
Chelonia_mydas,1,0,95.0263061807077,4.97369381929231
Gopherus_flavomarginatus,1,0.0482838808169207,96.8423762059876,3.10933991319552
Malaclemys_terrapin,1,0.0512769680634081,96.0655887701534,3.88313426178322
