Amia_calva,1,77,2182164,2852
Lepisosteus_oculatus,1,289,3547115,2371
Bufo_bufo,1,17,38654,5390
Bufo_gargarizans,1,46,29156,11467
Dendropsophus_ebraccatus,1,0,74009,8269
Eleutherodactylus_coqui,1,0,39529,10257
Hyla_sarda,1,0,129178,14428
Pseudophryne_corroboree,1,0,316681,150196
Rana_temporaria,1,81,116660,22674
Ranitomeya_imitator,1,10,54842,56478
Spea_bombifrons,1,39,13978,2267
Xenopus_tropicalis,1,0,81375,27305
Anas_acuta,1,0,9626,1981
Anas_platyrhynchos,1,0,10067,1943
Anser_cygnoides,1,158,9696,2374
Apteryx_mantelli,1,273,20588,3048
Aquila_chrysaetos,1,147,16254,1988
Aythya_fuligula,1,358,10137,2213
Caloenas_nicobarica,1,269,15129,1873
Camarhynchus_parvulus,1,238,13533,1768
Columba_livia,1,43,13647,1707
Corvus_cornix,1,272,13612,1864
Corvus_hawaiiensis,1,251,13690,1857
Coturnix_japonica,1,59,9454,1436
Cygnus_atratus,1,194,10238,2457
Dromaius_novaehollandiae,1,124,16491,2553
Falco_rusticolus,1,196,12583,1894
Gallus_gallus,1,236,8746,1643
Grus_americana,1,245,15791,1903
Melopsittacus_undulatus,1,229,13659,1759
Molothrus_aeneus,1,259,12292,1873
Pseudopipra_pipra,1,264,19273,1899
Rhea_pennata,1,248,10765,2058
Rissa_tridactyla,1,233,17032,2376
Strigops_habroptila,1,0,22844,1531
Amblyraja_radiata,1,9664,139515,30706
Mobula_hypostoma,1,20418,331124,65716
Narcine_bancroftii,1,71156,286965,50277
Pristiophorus_japonicus,1,1192,469703,119008
Pristis_pectinata,1,10954,209771,46656
Scyliorhinus_canicula,1,41948,486299,118146
Erpetoichthys_calabaricus,1,5987,35448593,30559
Anolis_sagrei,0,139,5454,4788
Candoia_aspera,0,0,4961,994
Erythrolamprus_reginae,0,0,1327,387
Hemicordylus_capensis,0,87,664,2564
Heteronotia_binoei,0,96,5208,4620
Lacerta_agilis,0,0,5563,1789
Podarcis_raffonei,0,0,3314,1704
Rhineura_floridana,0,0,5356,3599
Sphaerodactylus_townsendi,0,0,622,3936
Thamnophis_elegans,0,13,0,540
Acinonyx_jubatus,1,219,75986,1540
Apodemus_sylvaticus,1,215,71967,897
Arvicanthis_niloticus,1,230,67405,897
Choloepus_didactylus,1,234,73871,1232
Cricetulus_griseus,1,211,69967,1059
Cynocephalus_volans,1,281,68739,1430
Desmodus_rotundus,1,255,67314,1266
Eptesicus_fuscus,1,261,75223,1765
Equus_quagga,1,261,68928,1837
Erinaceus_europaeus,1,204,100192,1008
Eulemur_rufifrons,1,313,58779,1436
Felis_catus,1,204,67932,1570
Homo_sapiens,1,263,83537,1387
Lemur_catta,1,269,57430,1199
Leopardus_geoffroyi,1,224,73684,1525
Lutra_lutra,1,234,67244,1331
Lynx_canadensis,1,275,85998,1648
Macaca_fascicularis,1,260,85407,1383
Macaca_mulatta,1,217,85081,1406
Macaca_nemestrina,1,226,83309,1573
Macaca_thibetana,1,236,85280,1403
Marmota_flaviventris,1,283,70029,1444
Meles_meles,1,245,65599,1470
Meriones_unguiculatus,1,216,60096,981
Mus_pahari,1,248,72612,986
Mustela_erminea,1,240,66222,1483
Mustela_lutreola,1,231,66704,1508
Mustela_nigripes,1,247,66698,1685
Myotis_daubentonii,1,223,73123,1257
Neofelis_nebulosa,1,244,87605,1465
Neogale_vison,1,267,65612,1492
Nycticebus_coucang,1,242,82811,1152
Oryctolagus_cuniculus,1,215,66673,1238
Panthera_onca,1,219,61718,1437
Pan_troglodytes,1,198,86566,1425
Papio_anubis,1,228,81064,1418
Peromyscus_eremicus,1,219,59846,1639
Peromyscus_leucopus,1,207,62849,1116
Phyllostomus_discolor,1,232,65912,1388
Pongo_abelii,1,275,84256,1536
Prionailurus_bengalensis,1,243,86675,1514
Prionailurus_viverrinus,1,269,86366,1546
Rhinolophus_ferrumequinum,1,223,64506,1198
Rhinopithecus_roxellana,1,232,83907,1375
Suricata_suricatta,1,290,66643,1173
Vulpes_lagopus,1,253,78187,1207
Caretta_caretta,1,237,427211,23958
Chelonia_mydas,1,0,458042,23974
Gopherus_flavomarginatus,1,272,545547,17516
Malaclemys_terrapin,1,269,503962,20371
Mauremys_mutica,1,126,406512,25915
Crocodylus_porosus,1,195,52396,14299
Gavialis_gangeticus,1,222,60085,24119
