Group	Order	Species_name	Species	Num_Gaps	Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	Species	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Mammalia	Carnivora	Acinonyx_jubatus	Acinonyx_jubatus	0	Acinonyx_jubatus	4255	135422	158808	88558	111944	2110		Acinonyx_jubatus	1652	60874	68064	46494	53448	0
Mammalia	Rodentia	Acomys_russatus	Acomys_russatus	0	Acomys_russatus	2821	104209	122637	63582	82010	1716		Acomys_russatus	411	44657	48431	30929	33736	0
Mammalia	Carnivora	Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	5	Ailuropoda_melanoleuca	4194	115593	135959	67484	87850	6390		Ailuropoda_melanoleuca	1439	44854	49417	27336	32095	554
	Crocodylia	Alligator_mississippiensis	Alligator_mississippiensis	0	Alligator_mississippiensis	1962	4037514	3815342	3987177	3765005	15667		Alligator_mississippiensis	0	606344	571084	601939	563734	3213
Chondrichthyes	Rajiformes	Amblyraja_radiata	Amblyraja_radiata	0	Amblyraja_radiata	11468	199525	362757	148556	311788	34863		Amblyraja_radiata	3158	16955	33440	12688	29173	2803
Amphibia	Caudata	Ambystoma_mexicanum	Ambystoma_mexicanum	0	Ambystoma_mexicanum	75452	1653850	2459397	951660	1757207	376168		Ambystoma_mexicanum	1489	29981	39880	10843	19917	5150
Actinopteri	Amiiformes	Amia_calva	Amia_calva	0	Amia_calva	1493	2175178	2128743	2184091	2137656	4367		Amia_calva	0	55506	54121	55468	54198	0
Aves	Anseriformes	Anas_acuta	Anas_acuta	0	Anas_acuta	577	37403	48456	11794	22847	2900		Anas_acuta	0	79	79	79	79	0
Aves	Anseriformes	Anas_platyrhynchos	Anas_platyrhynchos	0	Anas_platyrhynchos	584	37546	48752	11999	23205	2868		Anas_platyrhynchos	0	76	76	76	76	0
Actinopteri	Anguilliformes	Anguilla_anguilla	Anguilla_anguilla	21	Anguilla_anguilla	2279	40577350	40494341	40547484	40464475	22682		Anguilla_anguilla	0	731677	722588	742008	732043	1675
Actinopteri	Anguilliformes	Anguilla_rostrata	Anguilla_rostrata	36	Anguilla_rostrata	2274	39642578	39571106	39610754	39539282	8375		Anguilla_rostrata	0	728861	728246	735031	733201	296
Lepidosauria	Squamata	Anolis_carolinensis	Anolis_carolinensis	0	Anolis_carolinensis	1852	33171	77673	5159	49661	4324		Anolis_carolinensis	0	2220	4076	294	2222	118
Lepidosauria	Squamata	Anolis_sagrei	Anolis_sagrei	0	Anolis_sagrei	3060	56062	128688	7180	79806	4929		Anolis_sagrei	0	3306	13997	494	11205	1260
Aves	Anseriformes	Anser_cygnoides	Anser_cygnoides	0	Anser_cygnoides	580	37146	48358	11818	23030	4287		Anser_cygnoides	0	76	76	76	76	0
Aves	Passeriformes	Aphelocoma_coerulescens	Aphelocoma_coerulescens	0	Aphelocoma_coerulescens	1081	43546	57928	14678	29060	2652		Aphelocoma_coerulescens	0	64	64	0	0	0
Mammalia	Rodentia	Apodemus_sylvaticus	Apodemus_sylvaticus	0	Apodemus_sylvaticus	2540	111069	130386	74741	94058	1731		Apodemus_sylvaticus	347	41278	44901	31540	34893	0
Aves	Apterygiformes	Apteryx_mantelli	Apteryx_mantelli	0	Apteryx_mantelli	1173	52227	72299	21489	41561	3889		Apteryx_mantelli	0	0	58	0	0	0
Aves	Apodiformes	Apus_apus	Apus_apus	1	Apus_apus	787	32520	42683	140	10303	7819		Apus_apus	0	4361	4328	0	0	0
Aves	Accipitriformes	Aquila_chrysaetos	Aquila_chrysaetos	0	Aquila_chrysaetos	1192	46873	61514	17205	31846	2822		Aquila_chrysaetos	0	632	0	0	0	0
Mammalia	Rodentia	Arvicanthis_niloticus	Arvicanthis_niloticus	0	Arvicanthis_niloticus	2573	108209	127418	70147	89356	1735		Arvicanthis_niloticus	366	36379	40748	25989	29981	0
Mammalia	Rodentia	Arvicola_amphibius	Arvicola_amphibius	0	Arvicola_amphibius	2615	103867	123440	65281	84854	1785		Arvicola_amphibius	229	38414	42368	27088	31336	0
Aves	Anseriformes	Aythya_fuligula	Aythya_fuligula	0	Aythya_fuligula	588	35146	46185	11091	22130	2931		Aythya_fuligula	0	17	17	17	17	0
Mammalia	Artiodactyla	Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	0	Balaenoptera_acutorostrata	2872	124407	145178	74439	95210	2144		Balaenoptera_acutorostrata	657	49236	54636	33613	38989	0
Mammalia	Artiodactyla	Balaenoptera_musculus	Balaenoptera_musculus	0	Balaenoptera_musculus	3196	120354	141129	72961	93736	2150		Balaenoptera_musculus	1028	46147	52567	31325	36217	0
Amphibia	Anura	Bombina_bombina	Bombina_bombina	0	Bombina_bombina	2965	482150	852349	413096	783295	129412		Bombina_bombina	0	21638	42039	18729	42911	9933
Mammalia	Artiodactyla	Bos_mutus	Bos_mutus	0	Bos_mutus	3573	109688	130243	70923	91478	1450		Bos_mutus	974	38999	44951	30133	35268	0
Actinopteri	Osteoglossiformes	Brienomyrus_brachyistius	Brienomyrus_brachyistius	0	Brienomyrus_brachyistius	1166	1472288	1440136	1481146	1448994	3651		Brienomyrus_brachyistius	0	27865	26984	27710	27053	0
Mammalia	Artiodactyla	Bubalus_bubalis	Bubalus_bubalis	0	Bubalus_bubalis	3552	110062	130598	71349	91885	1626		Bubalus_bubalis	965	39035	44855	30449	35412	0
Mammalia	Artiodactyla	Budorcas_taxicolor	Budorcas_taxicolor	0	Budorcas_taxicolor	3582	110354	128961	71515	90122	1580		Budorcas_taxicolor	1010	40183	43261	30470	33325	0
Amphibia	Anura	Bufo_bufo	Bufo_bufo	0	Bufo_bufo	2242	57236	93277	39142	75183	6524		Bufo_bufo	0	1038	1133	702	797	0
Amphibia	Anura	Bufo_gargarizans	Bufo_gargarizans	0	Bufo_gargarizans	2570	45457	100267	32768	87578	14108		Bufo_gargarizans	0	318	1918	318	1181	0
Mammalia	Primates	Callithrix_jacchus	Callithrix_jacchus	0	Callithrix_jacchus	4279	132998	156756	85666	109424	6247		Callithrix_jacchus	2207	65096	74275	45762	54679	288
Aves	Columbiformes	Caloenas_nicobarica	Caloenas_nicobarica	0	Caloenas_nicobarica	1585	46044	60944	16581	31481	2680		Caloenas_nicobarica	400	514	1075	0	675	0
Aves	Apodiformes	Calypte_anna	Calypte_anna	0	Calypte_anna	881	51373	66641	17234	32502	2704		Calypte_anna	0	7338	8564	2331	3537	0
Aves	Passeriformes	Camarhynchus_parvulus	Camarhynchus_parvulus	0	Camarhynchus_parvulus	1040	43002	56629	14473	28100	2555		Camarhynchus_parvulus	0	187	187	0	0	0
Mammalia	Artiodactyla	Camelus_ferus	Camelus_ferus	0	Camelus_ferus	1224	101168	121382	57320	77534	2121		Camelus_ferus	91	32538	37438	20549	25421	0
Lepidosauria	Squamata	Candoia_aspera	Candoia_aspera	0	Candoia_aspera	283	53699	120478	5781	72560	1196		Candoia_aspera	0	2733	5982	0	3490	0
Mammalia	Artiodactyla	Capra_hircus	Capra_hircus	0	Capra_hircus	3555	110707	129467	71906	90666	1597		Capra_hircus	968	39771	43142	29905	33420	0
	Testudines	Caretta_caretta	Caretta_caretta	0	Caretta_caretta	3927	400393	506916	435501	542024	25257		Caretta_caretta	176	66292	75932	70118	79905	2799
