Species	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Acinonyx_jubatus	1652	60874	68064	46494	53448	0
Acomys_russatus	411	44657	48431	30929	33736	0
Ailuropoda_melanoleuca	1439	44854	49417	27336	32095	554
Alligator_mississippiensis	0	606344	571084	601939	563734	3213
Amblyraja_radiata	3158	16955	33440	12688	29173	2803
Ambystoma_mexicanum	1489	29981	39880	10843	19917	5150
Amia_calva	0	55506	54121	55468	54198	0
Anas_acuta	0	79	79	79	79	0
Anas_platyrhynchos	0	76	76	76	76	0
Anguilla_anguilla	0	731677	722588	742008	732043	1675
Anguilla_rostrata	0	728861	728246	735031	733201	296
Anolis_carolinensis	0	2220	4076	294	2222	118
Anolis_sagrei	0	3306	13997	494	11205	1260
Anser_cygnoides	0	76	76	76	76	0
Aphelocoma_coerulescens	0	64	64	0	0	0
Apodemus_sylvaticus	347	41278	44901	31540	34893	0
Apteryx_mantelli	0	0	58	0	0	0
Apus_apus	0	4361	4328	0	0	0
Aquila_chrysaetos	0	632	0	0	0	0
Arvicanthis_niloticus	366	36379	40748	25989	29981	0
Arvicola_amphibius	229	38414	42368	27088	31336	0
Aythya_fuligula	0	17	17	17	17	0
Balaenoptera_acutorostrata	657	49236	54636	33613	38989	0
Balaenoptera_musculus	1028	46147	52567	31325	36217	0
Bombina_bombina	0	21638	42039	18729	42911	9933
Bos_mutus	974	38999	44951	30133	35268	0
Brienomyrus_brachyistius	0	27865	26984	27710	27053	0
Bubalus_bubalis	965	39035	44855	30449	35412	0
Budorcas_taxicolor	1010	40183	43261	30470	33325	0
Bufo_bufo	0	1038	1133	702	797	0
Bufo_gargarizans	0	318	1918	318	1181	0
Callithrix_jacchus	2207	65096	74275	45762	54679	288
Caloenas_nicobarica	400	514	1075	0	675	0
Calypte_anna	0	7338	8564	2331	3537	0
Camarhynchus_parvulus	0	187	187	0	0	0
Camelus_ferus	91	32538	37438	20549	25421	0
Candoia_aspera	0	2733	5982	0	3490	0
Capra_hircus	968	39771	43142	29905	33420	0
Caretta_caretta	176	66292	75932	70118	79905	2799
Cervus_canadensis	1330	44651	48646	35120	39151	0
Cervus_elaphus	1330	47823	51594	38262	42042	0
Chelonia_mydas	176	73158	82194	77519	87245	3079
Chionomys_nivalis	640	39713	42849	25878	29480	0
Choloepus_didactylus	571	69981	76147	39810	44829	0
Chroicocephalus_ridibundus	0	654	666	0	0	0
Chrysemys_picta	898	58108	67613	61203	70894	1988
Colius_striatus	0	3122	2991	418	418	0
Columba_livia	402	429	983	0	581	0
Corvus_cornix	0	64	128	0	0	0
Corvus_hawaiiensis	0	64	64	0	0	0
Corvus_moneduloides	0	64	64	0	0	0
Coturnix_japonica	151	278	431	60	60	0
Cricetulus_griseus	1108	42868	47869	31342	35943	0
Cygnus_atratus	0	89	89	89	89	0
Cygnus_olor	0	106	106	106	106	0
Cynocephalus_volans	1035	43192	48440	33249	39003	206
Dama_dama	1331	47669	51809	38069	42138	0
Dasypus_novemcinctus	534	62926	68861	37557	44082	0
Dendropsophus_ebraccatus	0	4115	4487	4115	4487	0
Dermochelys_coriacea	178	65277	75226	67594	78339	1846
Desmodus_rotundus	1204	40693	40419	29276	29156	0
Diceros_bicornis	1104	46214	53437	28530	35949	341
