Species	Num_Gaps
Acinonyx_jubatus	0
Acomys_russatus	1
Agelaius_phoeniceus	0
Ahaetulla_prasina	0
Ailuropoda_melanoleuca	238
Alligator_mississippiensis	0
Amblyraja_radiata	0
Ambystoma_mexicanum	0
Anas_acuta	0
Anas_platyrhynchos	0
Anolis_carolinensis	0
Anolis_sagrei	0
Anomalospiza_imberbis	0
Antechinus_flavipes	0
Aphelocoma_coerulescens	0
Apodemus_sylvaticus	1
Apteryx_mantelli	0
Apus_apus	0
Aquila_chrysaetos	0
Arvicanthis_niloticus	10
Arvicola_amphibius	0
Aythya_fuligula	0
Balaenoptera_acutorostrata	1
Balaenoptera_musculus	2
Bombina_bombina	0
Bos_mutus	0
Bubalus_bubalis	0
Budorcas_taxicolor	0
Bufo_gargarizans	12
Callithrix_jacchus	0
Caloenas_nicobarica	0
Calypte_anna	0
Camarhynchus_parvulus	0
Camelus_dromedarius	1
Camelus_ferus	1
Candoia_aspera	0
Capra_hircus	0
Capricornis_sumatraensis	0
Caretta_caretta	0
Catharus_ustulatus	0
Cervus_canadensis	6
Cervus_elaphus	0
Chelonia_mydas	0
Chionomys_nivalis	0
Chiroxiphia_lanceolata	0
Choloepus_didactylus	0
Chroicocephalus_ridibundus	0
Chrysemys_picta	0
Cinclus_cinclus	0
Colius_striatus	0
Columba_livia	0
Corvus_cornix	0
Corvus_hawaiiensis	0
Corvus_moneduloides	0
Coturnix_japonica	4
Cricetulus_griseus	0
Cuculus_canorus	0
Cygnus_atratus	0
Cygnus_olor	0
Cynocephalus_volans	0
Dama_dama	0
Dasypus_novemcinctus	0
Delphinus_delphis	2
Dermochelys_coriacea	1
Desmodus_rotundus	0
Diceros_bicornis	0
Dromaius_novaehollandiae	0
Dromiciops_gliroides	0
Dryobates_pubescens	0
Elephas_maximus	0
Eleutherodactylus_coqui	1
Elgaria_multicarinata	0
Emys_orbicularis	0
Eptesicus_fuscus	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Equus_quagga	5
Erinaceus_europaeus	17
Erythrolamprus_reginae	0
Eschrichtius_robustus	0
Eubalaena_glacialis	1
Eublepharis_macularius	0
Eulemur_rufifrons	0
Euleptes_europaea	0
Falco_biarmicus	0
Falco_cherrug	0
Falco_naumanni	0
Falco_peregrinus	0
Falco_rusticolus	0
Felis_catus	0
Ficedula_albicollis	2
Gavia_stellata	0
Geotrypetes_seraphini	0
Globicephala_melas	1
Gopherus_flavomarginatus	0
Gorilla_gorilla	0
Gracilinanus_agilis	66
Grus_americana	0
Gymnogyps_californianus	0
