NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
102170169	Capra hircus	SF3B3	XM_005691787.3	4295	XP_005691844.1	1217
102232172	Xiphophorus maculatus	sf3b3	XM_005795800.3	4344	XP_005795857.1	1217
102296495	Haplochromis burtoni	sf3b3	XM_042223541.1	4811	XP_042079475.1	1217
103366647	Stegastes partitus	sf3b3	XM_008294421.1	4883	XP_008292643.1	1169
103735634	Nannospalax galili	Sf3b3	XM_008834980.3	4368	XP_008833202.1	1217
104284874	Charadrius vociferus	SF3B3	XM_009883251.1	3705	XP_009881553.1	1217
108251592	Kryptolebias marmoratus	sf3b3	XM_017441943.2	4344	XP_017297432.1	1217
108251592	Kryptolebias marmoratus	sf3b3	XM_037978408.1	4249	XP_037834336.1	1217
108501878	Lepidothrix coronata	SF3B3	XM_017824165.1	4163	XP_017679654.1	1094
109684989	Castor canadensis	Sf3b3	XM_020161639.1	4308	XP_020017228.1	1217
109684989	Castor canadensis	Sf3b3	XM_020161640.1	3875	XP_020017229.1	1217
109684989	Castor canadensis	Sf3b3	XM_020161642.1	3535	XP_020017231.1	1073
109684989	Castor canadensis	Sf3b3	XM_020161641.1	3834	XP_020017230.1	1217
111934534	Cyanistes caeruleus	SF3B3	XM_023934671.1	3796	XP_023790439.1	1217
111934534	Cyanistes caeruleus	SF3B3	XM_023934673.1	3851	XP_023790441.1	1217
113652580	Tachysurus fulvidraco	sf3b3	XM_027161707.2	4320	XP_027017508.1	1217
113652580	Tachysurus fulvidraco	sf3b3	XM_047822433.1	4287	XP_047678389.1	1217
114887604	Monodon monoceros	SF3B3	XR_003791559.1	7990		
114887604	Monodon monoceros	SF3B3	XM_029209398.1	4373	XP_029065231.1	1217
115391931	Salarias fasciatus	sf3b3	XM_030096363.1	4479	XP_029952223.1	1217
118817794	Colossoma macropomum	sf3b3	XM_036584725.1	4474	XP_036440618.1	1217
123349232	Mauremys mutica	SF3B3	XM_044987124.1	4666	XP_044843059.1	1217
123349232	Mauremys mutica	SF3B3	XM_044987123.1	4752	XP_044843058.1	1217
123349232	Mauremys mutica	SF3B3	XM_044987122.1	4761	XP_044843057.1	1217
123805871	Phyllostomus hastatus	SF3B3	XM_045818697.1	4472	XP_045674653.1	1217
123805871	Phyllostomus hastatus	SF3B3	XM_045818698.1	4273	XP_045674654.1	1217
124250044	Equus quagga	SF3B3	XM_046681750.1	4320	XP_046537706.1	1217
128334316	Hemicordylus capensis	SF3B3	XM_053270981.1	4533	XP_053126956.1	1217
128334316	Hemicordylus capensis	SF3B3	XM_053270980.1	4556	XP_053126955.1	1217
128771249	Synchiropus splendidus	sf3b3	XM_053886559.1	5621	XP_053742534.1	1217
129686841	Psammomys obesus	Sf3b3	XM_055620974.1	4607	XP_055476949.1	1217
129686841	Psammomys obesus	Sf3b3	XM_055620973.1	4700	XP_055476948.1	1217
131138850	Doryrhamphus excisus	sf3b3	XM_058088145.1	4459	XP_057944128.1	1217
135888622	Emys orbicularis	SF3B3	XM_065416348.1	4675	XP_065272420.1	1217
137481264	Anomalospiza imberbis	SF3B3	XM_068202851.1	4623	XP_068058952.1	1217
138997319	Myotis yumanensis	SF3B3	XM_070398914.1	4471	XP_070255015.1	1217
138997319	Myotis yumanensis	SF3B3	XM_070398915.1	4286	XP_070255016.1	1217
