Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_034959750.4	XM_034959750.4			188	1516	3		NC_073249.2	1		195930956	195931280		plus	195930956	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5252	transcript variant X1	XP_034815641.3		isoform X1	442				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_034959750.4	XM_034959750.4			188	1516	3		NC_073249.2	2		195961458	195961575		plus	195930956	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5252	transcript variant X1	XP_034815641.3		isoform X1	442				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_034959750.4	XM_034959750.4			188	1516	3		NC_073249.2	3		195963029	195963642		plus	195930956	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5252	transcript variant X1	XP_034815641.3		isoform X1	442				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_034959750.4	XM_034959750.4			188	1516	3		NC_073249.2	4		195965609	195965900		plus	195930956	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5252	transcript variant X1	XP_034815641.3		isoform X1	442				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_034959750.4	XM_034959750.4			188	1516	3		NC_073249.2	5		195966820	195970722		plus	195930956	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5252	transcript variant X1	XP_034815641.3		isoform X1	442				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	1		195959407	195959689		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	2		195961186	195961269		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	3		195961458	195961575		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	4		195963029	195963642		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	5		195965609	195965900		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
pygmy chimpanzee	syndecan 3	100995829	PROTEIN_CODING	3		SDC3	9597	Pan paniscus	XM_008953449.4	XM_008953449.4			356	1558	3		NC_073249.2	6		195966820	195970722		plus	195959407	195970722	Chromosome 1 Reference NHGRI_mPanPan1-v2.0_pri Primary Assembly	5294	transcript variant X3	XP_008951697.1		isoform X3	400				syndecan-3		PROTEIN_CODING_MODEL
