NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
100482603	Ailuropoda melanoleuca	VAC14	XM_034638849.1	3070	XP_034494740.1	774
100482603	Ailuropoda melanoleuca	VAC14	XM_019801491.2	3048	XP_019657050.1	785
100482603	Ailuropoda melanoleuca	VAC14	XM_002920944.3	2649	XP_002920990.1	783
102042904	Geospiza fortis	VAC14	XM_031058481.1	2955	XP_030914341.1	545
102514924	Camelus ferus	VAC14	XM_032486704.1	2729	XP_032342595.1	753
102514924	Camelus ferus	VAC14	XM_032486703.1	3097	XP_032342594.1	783
103364136	Stegastes partitus	vac14	XM_008291157.1	3363	XP_008289379.1	784
104043788	Phalacrocorax carbo	VAC14	XM_064459218.1	3153	XP_064315288.1	780
105526191	Colobus angolensis palliatus	VAC14	XM_011962121.1	3114	XP_011817511.1	785
106915628	Poecilia mexicana	vac14	XM_014983338.1	3106	XP_014838824.1	790
109965892	Monopterus albus	vac14	XM_020610271.1	3504	XP_020465927.1	788
118228034	Anguilla anguilla	vac14	XM_035419229.1	3281	XP_035275120.1	781
118691259	Molothrus ater	VAC14	XM_036390388.2	3062	XP_036246281.1	779
120312610	Crotalus tigris	VAC14	XM_039353539.1	2724	XP_039209473.1	789
121009769	Puma yagouaroundi	VAC14	XM_040443068.1	3095	XP_040299002.1	785
121009769	Puma yagouaroundi	VAC14	XM_040443069.1	3088	XP_040299003.1	783
121076616	Cygnus olor	VAC14	XM_040571085.1	3027	XP_040427019.1	780
121199126	Toxotes jaculatrix	vac14	XM_041063622.1	3866	XP_040919556.1	790
121652515	Melanotaenia boesemani	vac14	XM_042005308.1	2685	XP_041861242.1	790
123236715	Gracilinanus agilis	VAC14	XM_044663097.1	2264	XP_044519032.1	726
123958366	Micropterus dolomieu	vac14	XM_046031694.1	3647	XP_045887650.1	788
124967291	Sciurus carolinensis	Vac14	XM_047529427.1	3084	XP_047385383.1	783
124967291	Sciurus carolinensis	Vac14	XM_047529426.1	3096	XP_047385382.1	787
125879758	Epinephelus fuscoguttatus	vac14	XM_049561824.1	3297	XP_049417781.1	786
129433415	Misgurnus anguillicaudatus	vac14	XM_055192013.1	3740	XP_055047988.1	781
130188829	Pseudoliparis swirei	vac14	XM_056407345.1	3290	XP_056263320.1	779
132690164	Panthera onca	VAC14	XM_060650183.1	3096	XP_060506166.1	783
132690164	Panthera onca	VAC14	XM_060650184.1	2467	XP_060506167.1	679
133555753	Nerophis ophidion	vac14	XM_061905077.1	3976	XP_061761061.1	767
133651720	Entelurus aequoreus	vac14	XM_062049785.1	3078	XP_061905769.1	776
140628671	Canis lupus baileyi	VAC14	XM_072818087.1	3027	XP_072674188.1	783
100221844	Taeniopygia guttata	VAC14	XM_030282068.3	3335	XP_030137928.3	786
100221844	Taeniopygia guttata	VAC14	XM_030282067.3	3557	XP_030137927.3	860
100221844	Taeniopygia guttata	VAC14	XM_030282069.3	3261	XP_030137929.1	545
100221844	Taeniopygia guttata	VAC14	XM_002187977.6	3098	XP_002188013.1	779
100607452	Nomascus leucogenys	VAC14	XM_030829505.1	3115	XP_030685365.1	782
100607452	Nomascus leucogenys	VAC14	XM_030829512.1	2957	XP_030685372.1	548
103152013	Poecilia formosa	vac14	XM_007572330.2	3106	XP_007572392.1	790
104556134	Colius striatus	VAC14	XM_062007332.1	3072	XP_061863316.1	781
104556134	Colius striatus	VAC14	XM_062007333.1	2856	XP_061863317.1	547
104954247	Notothenia coriiceps	vac14	XM_010781326.1	3330	XP_010779628.1	788
110592132	Neomonachus schauinslandi	VAC14	XM_021703079.1	3081	XP_021558754.1	783
111573657	Amphiprion ocellaris	vac14	XM_023277928.3	3429	XP_023133696.1	790
114568900	Perca flavescens	vac14	XM_028598553.1	3819	XP_028454354.1	786
114860977	Betta splendens	vac14	XM_029159907.3	2957	XP_029015740.1	788
115856828	Globicephala melas	VAC14	XM_030863391.3	4123	XP_030719251.1	783
116059437	Sander lucioperca	vac14	XM_031312509.2	3184	XP_031168369.1	786
