Order	Species_name	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14	Gene_status
Carnivora	Acinonyx_jubatus	0	4255	135422	158808	88558	111944	2110	Intact
Rodentia	Acomys_russatus	0	2821	104209	122637	63582	82010	1716	Intact
Passeriformes	Agelaius_phoeniceus	0	1137	43293	56545	14748	28000	2633	Intact
Squamata	Ahaetulla_prasina	0	575	70066	146271	9263	85468	2692	Loss
Carnivora	Ailuropoda_melanoleuca	5	4194	115593	135959	67484	87850	6390	Intact
Rajiformes	Amblyraja_radiata	0	11468	199525	362757	148556	311788	34863	Intact
Caudata	Ambystoma_mexicanum	0	75452	1653850	2459397	951660	1757207	376168	Intact
Amiiformes	Amia_calva	0	1493	2175178	2128743	2184091	2137656	4367	Intact
Anseriformes	Anas_acuta	0	577	37403	48456	11794	22847	2900	Intact
Anseriformes	Anas_platyrhynchos	0	584	37546	48752	11999	23205	2868	Intact
Anguilliformes	Anguilla_anguilla	21	2279	40577350	40494341	40547484	40464475	22682	Intact
Anguilliformes	Anguilla_rostrata	36	2274	39642578	39571106	39610754	39539282	8375	Intact
Squamata	Anolis_carolinensis	0	1852	33171	77673	5159	49661	4324	Loss
Squamata	Anolis_sagrei	0	3060	56062	128688	7180	79806	4929	Loss
Passeriformes	Anomalospiza_imberbis	0	1089	43337	58320	14774	29757	3886	Intact
Anseriformes	Anser_cygnoides	0	580	37146	48358	11818	23030	4287	Intact
Dasyuromorphia	Antechinus_flavipes	0	1639	160304	196645	126210	162551	2786	Intact
Passeriformes	Aphelocoma_coerulescens	0	1081	43546	57928	14678	29060	2652	Intact
Rodentia	Apodemus_sylvaticus	0	2540	111069	130386	74741	94058	1731	Intact
Apterygiformes	Apteryx_mantelli	0	1173	52227	72299	21489	41561	3889	Intact
Apodiformes	Apus_apus	1	787	32520	42683	140	10303	7819	Intact
Accipitriformes	Aquila_chrysaetos	0	1192	46873	61514	17205	31846	2822	Intact
Rodentia	Arvicanthis_niloticus	0	2573	108209	127418	70147	89356	1735	Intact
Rodentia	Arvicola_amphibius	0	2615	103867	123440	65281	84854	1785	Intact
Anseriformes	Aythya_fuligula	0	588	35146	46185	11091	22130	2931	Intact
Artiodactyla	Balaenoptera_acutorostrata	0	2872	124407	145178	74439	95210	2144	Intact
Artiodactyla	Balaenoptera_musculus	0	3196	120354	141129	72961	93736	2150	Intact
Anura	Bombina_bombina	0	2965	482150	852349	413096	783295	129412	Intact
Artiodactyla	Bos_mutus	0	3573	109688	130243	70923	91478	1450	Intact
Artiodactyla	Bos_taurus	0	3582	110142	130727	71412	91997	1606	Intact
Osteoglossiformes	Brienomyrus_brachyistius	0	1166	1472288	1440136	1481146	1448994	3651	Intact
Artiodactyla	Bubalus_bubalis	0	3552	110062	130598	71349	91885	1626	Intact
Artiodactyla	Budorcas_taxicolor	0	3582	110354	128961	71515	90122	1580	Intact
Anura	Bufo_bufo	0	2242	57236	93277	39142	75183	6524	Intact
