Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	
Acanthochromis_polyacanthus	EBR	14087078	EBR	EBR	EBR	EBR	
Acanthopagrus_latus	EBR	13134770	EBR	EBR	EBR	EBR	
Acinonyx_jubatus	4255	135422	158808	88558	111944	2110	
Acomys_russatus	2821	104209	122637	63582	82010	1716	
Agelaius_phoeniceus	1137	43293	56545	14748	28000	2633	
Ahaetulla_prasina	575	70066	146271	9263	85468	2692	
Ailuropoda_melanoleuca	4194	115593	135959	67484	87850	6390	
Alligator_mississippiensis	1962	4037514	3815342	3987177	3765005	15667	
Alosa_alosa	EBR	EBR	EBR	EBR	7999971	EBR	
Amblyraja_radiata	11468	199525	362757	148556	311788	34863	
Ambystoma_mexicanum	75452	1653850	2459397	951660	1757207	376168	
Amia_calva	1493	2175178	2128743	2184091	2137656	4367	
Amphiprion_ocellaris	EBR	13238467	EBR	EBR	EBR	EBR	
Anabas_testudineus	EBR	17186924	EBR	EBR	EBR	EBR	
Anas_acuta	577	37403	48456	11794	22847	2900	
Anas_platyrhynchos	584	37546	48752	11999	23205	2868	
Anguilla_anguilla	2279	40577350	40494341	40547484	40464475	22682	
Anguilla_rostrata	2274	39642578	39571106	39610754	39539282	8375	
Anolis_carolinensis	1852	33171	77673	5159	49661	4324	
Anolis_sagrei	3060	56062	128688	7180	79806	4929	
Anomalospiza_imberbis	1089	43337	58320	14774	29757	3886	
Anoplopoma_fimbria	EBR	11993609	EBR	EBR	EBR	EBR	
Anser_cygnoides	580	37146	48358	11818	23030	4287	
Antechinus_flavipes	1639	160304	196645	126210	162551	2786	
Antennarius_striatus	EBR	15679043	EBR	EBR	EBR	EBR	
Aphelocoma_coerulescens	1081	43546	57928	14678	29060	2652	
Apodemus_sylvaticus	2540	111069	130386	74741	94058	1731	
Apteryx_mantelli	1173	52227	72299	21489	41561	3889	
Apus_apus	787	32520	42683	140	10303	7819	
Aquila_chrysaetos	1192	46873	61514	17205	31846	2822	
Archocentrus_centrarchus	EBR	16013877	EBR	EBR	EBR	EBR	
Arvicanthis_niloticus	2573	108209	127418	70147	89356	1735	
Arvicola_amphibius	2615	103867	123440	65281	84854	1785	
Astyanax_mexicanus	EBR	EBR	EBR	EBR	EBR	EBR	
Aythya_fuligula	588	35146	46185	11091	22130	2931	
Balaenoptera_acutorostrata	2872	124407	145178	74439	95210	2144	
Balaenoptera_musculus	3196	120354	141129	72961	93736	2150	
Betta_splendens	EBR	6159186	EBR	EBR	EBR	EBR	
Bombina_bombina	2965	482150	852349	413096	783295	129412	
Bos_mutus	3573	109688	130243	70923	91478	1450	
Bos_taurus	3582	110142	130727	71412	91997	1606	
Brienomyrus_brachyistius	1166	1472288	1440136	1481146	1448994	3651	
Bubalus_bubalis	3552	110062	130598	71349	91885	1626	
Budorcas_taxicolor	3582	110354	128961	71515	90122	1580	
Bufo_bufo	2242	57236	93277	39142	75183	6524	
Bufo_gargarizans	2570	45457	100267	32768	87578	14108	
Callithrix_jacchus	4279	132998	156756	85666	109424	6247	
Caloenas_nicobarica	1585	46044	60944	16581	31481	2680	
Calypte_anna	881	51373	66641	17234	32502	2704	
Camarhynchus_parvulus	1040	43002	56629	14473	28100	2555	
Camelus_ferus	1224	101168	121382	57320	77534	2121	
Candoia_aspera	283	53699	120478	5781	72560	1196	
Capra_hircus	3555	110707	129467	71906	90666	1597	
Capricornis_sumatraensis	3573	110922	129651	71997	90726	1599	
Carcharodon_carcharias	15646	331656	588503	267097	523944	80981	
Caretta_caretta	3927	400393	506916	435501	542024	25257	
Catharus_ustulatus	1056	42792	56486	14437	28131	2564	
Centropristis_striata	EBR	41284907	EBR	EBR	EBR	EBR	
Cervus_canadensis	3720	118002	136467	79557	98022	1594	
Cervus_elaphus	3720	119251	137698	80800	99247	1594	
Chaetodon_trifascialis	EBR	12051356	EBR	EBR	EBR	EBR	
Chanodichthys_erythropterus	EBR	14763540	EBR	EBR	EBR	EBR	
Chanos_chanos	23335593	6213200	EBR	29556220	EBR	EBR	
Cheilinus_undulatus	EBR	24413841	EBR	EBR	EBR	EBR	
Chelmon_rostratus	EBR	12207868	EBR	EBR	EBR	EBR	
Chelonia_mydas	3444	431665	531789	466358	566482	25303	
Chionomys_nivalis	2922	103209	122252	62070	81113	1763	
Chiroxiphia_lanceolata	1135	48620	62598	19908	33886	2703	
Choloepus_didactylus	1470	142375	164230	78512	100367	1941	
Chroicocephalus_ridibundus	1138	49920	65128	19933	35141	3141	
Chrysemys_picta	3611	602699	712207	634940	744448	20883	
Cinclus_cinclus	1141	43527	57250	14752	28475	2628	
Clarias_gariepinus	EBR	EBR	EBR	EBR	EBR	EBR	
Clupea_harengus	EBR	3097058	EBR	EBR	2947325	EBR	
Colius_striatus	1064	45873	59645	14692	28464	3012	
Cololabis_saira	EBR	22457844	EBR	EBR	EBR	EBR	
Columba_livia	1426	45266	60025	16026	30785	2715	
Corvus_cornix	1074	43455	57772	14639	28956	2639	
Corvus_hawaiiensis	1077	43516	57871	14647	29002	2639	
Corvus_moneduloides	1077	43515	57910	14640	29035	2645	
Corythoichthys_intestinalis	EBR	38930139	EBR	EBR	EBR	EBR	
Coturnix_japonica	1136	37547	49430	10628	22511	2136	
Cricetulus_griseus	2939	110064	129310	72663	91909	1571	
Ctenopharyngodon_idella	EBR	12406764	EBR	EBR	EBR	EBR	
Cuculus_canorus	1093	46862	61777	17515	32430	2987	
Cyclopterus_lumpus	EBR	10191512	EBR	EBR	EBR	EBR	
Cygnus_atratus	578	36556	47662	11299	22405	3076	
Cygnus_olor	582	36638	47537	11335	22234	3043	
Cynocephalus_volans	3202	112173	136830	71632	96289	5734	
Cynoglossus_semilaevis	EBR	2540849	EBR	EBR	EBR	EBR	
Dama_dama	3714	118220	136592	79710	98082	1600	
Danio_rerio	EBR	19002654	EBR	EBR	EBR	EBR	
Dasypus_novemcinctus	1837	139521	162392	81581	104452	1902	
Dendropsophus_ebraccatus	1777	92295	125492	78731	111928	8978	
Dermochelys_coriacea	6851	450477	556095	485721	591339	17667	
Desmodus_rotundus	3619	111320	127943	70224	86847	1962	
Diceros_bicornis	3529	121792	143908	71538	93654	7006	
Dromaius_novaehollandiae	1198	49411	70178	19057	39824	3397	
Dromiciops_gliroides	1820	170595	210772	137804	177981	3535	
Echeneis_naucrates	EBR	14934859	EBR	EBR	EBR	EBR	
Electrophorus_electricus	EBR	EBR	EBR	EBR	EBR	EBR	
Eleginops_maclovinus	EBR	15595328	EBR	EBR	EBR	EBR	
Elephas_maximus	2621	139376	160692	87159	108475	1972	
Eleutherodactylus_coqui	1716	61122	106186	44545	89609	19133	
Elgaria_multicarinata	3228	64133	164898	7284	108049	2835	
