Species	Num_Gaps
Accipiter_gentilis	0
Acinonyx_jubatus	0
Acomys_russatus	0
Agelaius_tricolor	0
Ailuropoda_melanoleuca	5
Alexandromys_fortis	7
Alligator_mississippiensis	0
Amblyraja_radiata	0
Ambystoma_mexicanum	0
Amia_calva	0
Anas_acuta	0
Anas_platyrhynchos	0
Anolis_carolinensis	0
Anolis_sagrei	0
Anser_cygnoides	0
Aotus_nancymaae	0
Aphelocoma_coerulescens	0
Apodemus_sylvaticus	0
Apteryx_mantelli	0
Apus_apus	1
Aquila_chrysaetos_chrysaetos	0
Artibeus_jamaicensis	0
Arvicanthis_niloticus	0
Arvicola_amphibius	0
Athene_cunicularia	5
Aythya_fuligula	0
Balaenoptera_acutorostrata	0
Balaenoptera_musculus	0
Balaenoptera_ricei	0
Bombina_bombina	0
Bos_javanicus	0
Bos_mutus	0
Bubalus_bubalis	0
Bubalus_kerabau	0
Budorcas_taxicolor	0
Bufo_bufo	0
Bufo_gargarizans	0
Callithrix_jacchus	0
Callorhinus_ursinus	3
Caloenas_nicobarica	0
Calypte_anna	0
Camarhynchus_parvulus	0
Camelus_bactrianus	2
Camelus_ferus	0
Candoia_aspera	0
Canis_lupus_dingo	0
Capra_hircus	0
Caretta_caretta	0
Cavia_porcellus	0
Centrocercus_urophasianus	2
Ceratotherium_simum_simum	3
Cercocebus_atys	20
Cervus_canadensis	1
Cervus_elaphus	0
Chamaea_fasciata	0
Chelonia_mydas	0
Chelonoidis_abingdonii	18
Chinchilla_lanigera	13
Chionomys_nivalis	0
Chlorocebus_sabaeus	0
Choloepus_didactylus	0
Chroicocephalus_ridibundus	0
Chrysemys_picta_bellii	0
Chrysochloris_asiatica	10
Colius_striatus	0
Columba_livia	0
Corapipo_altera	2
Corvus_brachyrhynchos	19
Corvus_cornix_cornix	0
Corvus_hawaiiensis	0
Corvus_kubaryi	2
Corvus_moneduloides	0
Coturnix_japonica	0
Crocodylus_porosus	14
Crotalus_tigris	0
Cygnus_atratus	0
Cygnus_olor	0
Cynocephalus_volans	0
Cyrtonyx_montezumae	0
Dama_dama	0
Dasypus_novemcinctus	1
Delphinapterus_leucas	0
Dendropsophus_ebraccatus	0
Dermochelys_coriacea	0
Desmodus_rotundus	0
Diceros_bicornis_minor	0
Dipodomys_merriami	0
Dipodomys_ordii	3
Dipodomys_spectabilis	0
Dromaius_novaehollandiae	0
Dromiciops_gliroides	0
Echinops_telfairi	27
Elephantulus_edwardii	10
Elephas_maximus_indicus	0
Eleutherodactylus_coqui	0
