Chrom	Start	End
CM019161.1	16098	16197
CM019161.1	25937	26936
CM019161.1	48380	48479
CM019161.1	105680	233612
CM019161.1	560917	561916
CM019161.1	2045252	2046251
CM019161.1	2274358	2275357
CM019161.1	2569556	2570555
CM019161.1	3047242	3048241
CM019161.1	3179731	3180730
CM019161.1	3288472	3289471
CM019161.1	3642105	3643104
CM019161.1	3876035	3877034
CM019161.1	3984196	3985195
CM019161.1	4146291	4147290
CM019161.1	4418428	4419427
CM019161.1	4672174	4673173
CM019161.1	5159011	5160010
CM019161.1	5269395	5326765
CM019161.1	5381543	5382542
CM019161.1	5486946	5487945
CM019161.1	5531075	5532074
CM019161.1	5557013	5558012
CM019161.1	5605707	5606706
CM019161.1	5795613	5796612
CM019161.1	6106764	6107763
CM019161.1	6144848	6145847
CM019161.1	6585171	6586170
CM019161.1	6609403	6610402
CM019161.1	6631507	6632506
CM019161.1	6650086	6651085
CM019161.1	6736449	6737448
CM019161.1	6777156	6778155
CM019161.1	7318078	7319077
CM019161.1	7641329	7642328
CM019161.1	7783959	7784958
CM019161.1	7880674	7881673
CM019161.1	8033584	8034583
CM019161.1	8049599	8050598
CM019161.1	8265768	8266767
CM019161.1	9900239	9901238
CM019161.1	10010375	10011374
CM019161.1	10129396	10130395
CM019161.1	10406390	10407389
CM019161.1	10616436	10617435
CM019161.1	10768916	10769915
CM019161.1	10787080	10788079
CM019161.1	11193822	11194821
CM019161.1	11325135	11326134
CM019161.1	11468220	11469219
CM019161.1	11824121	11867548
CM019161.1	11924360	11925359
CM019161.1	11988163	11989162
CM019161.1	12025952	12026951
CM019161.1	12046842	12047841
CM019161.1	12345512	12346511
CM019161.1	12395349	12396348
CM019161.1	12937008	12938007
CM019161.1	12975364	12976363
CM019161.1	13114169	13157464
CM019161.1	13398366	13399365
CM019161.1	13448974	13449973
CM019161.1	13752052	13753051
CM019161.1	13784536	13785535
CM019161.1	14037286	14038285
CM019161.1	14495836	14496835
CM019161.1	14870490	14871489
CM019161.1	15041153	15042152
CM019161.1	15994531	15995530
CM019161.1	16058014	16059013
CM019161.1	16805816	16806815
CM019161.1	17003278	17004277
CM019161.1	17070683	17071682
CM019161.1	17149642	17150641
CM019161.1	17415112	17416111
CM019161.1	17569818	17570817
CM019161.1	17694561	17695560
CM019161.1	17800101	17801100
CM019161.1	17884288	17885287
CM019161.1	17949365	17950364
CM019161.1	18148715	18149714
CM019161.1	18225624	18226623
CM019161.1	18343821	18344820
CM019161.1	18574880	18575879
CM019161.1	18656248	18657247
CM019161.1	18673661	18674660
CM019161.1	18814302	18815301
CM019161.1	18994561	18995560
CM019161.1	19051653	19052652
CM019161.1	19240825	19241824
CM019161.1	19321725	19322724
CM019161.1	19378048	19379047
CM019161.1	19564396	19565395
CM019161.1	19621033	19622032
CM019161.1	19632223	19633222
CM019161.1	19774498	19775497
CM019161.1	19843834	19844833
CM019161.1	19894932	19895931
CM019161.1	20006901	20007900
CM019161.1	20053254	20054253
CM019161.1	20082178	20083177
CM019161.1	20129067	20130066
CM019161.1	20183964	20184963
CM019161.1	20211352	20212351
CM019161.1	20232190	20233189
CM019161.1	20241733	20247609
CM019161.1	20284206	20285205
CM019161.1	20579678	20580677
CM019161.1	20701432	20702431
CM019161.1	20859925	20860924
CM019161.1	20879148	20880147
CM019161.1	20901329	20952877
CM019161.1	20998593	20999592
CM019161.1	21056556	21083331
CM019161.1	21115943	21116942
CM019161.1	21171596	21172595
CM019161.1	21229849	21230848
CM019161.1	21335034	21336033
CM019161.1	21376726	21377725
CM019161.1	21416521	21417520
CM019161.1	21444623	21445622
CM019161.1	21461241	21462240
CM019161.1	21579253	21580252
CM019161.1	21809066	21833601
CM019161.1	22043231	22044230
CM019161.1	22051659	22052658
CM019161.1	22178816	22179815
CM019161.1	22192820	22193819
CM019161.1	22232426	22233425
CM019161.1	22260944	22261943
CM019161.1	22443656	22444655
CM019161.1	22664758	22665757
CM019161.1	22805204	22806203
CM019161.1	22977922	23027645
CM019161.1	23053649	23054648
CM019161.1	23236615	23237614
CM019161.1	23336136	23337135
CM019161.1	23413691	23414690
CM019161.1	23819448	23820447
CM019161.1	23922237	23923236
CM019161.1	24055544	24056543
CM019161.1	25243204	25244203
CM019161.1	25250851	25251850
CM019161.1	25962440	25962539
