species	ident
Accipiter_gentilis	61.9
Acinonyx_jubatus	84.1
Acomys_russatus	85.8
Ailuropoda_melanoleuca	86.2
Alexandromys_fortis	84.5
Alligator_mississippiensis	57.6
Alligator_sinensis	64.0
Ambystoma_mexicanum	47.1
Anas_acuta	59.5
Anas_platyrhynchos	59.6
Anser_cygnoides	59.5
Antechinus_flavipes	68.7
Antrostomus_carolinensis	60.5
Aotus_nancymaae	95.7
Apodemus_sylvaticus	83.9
Apteryx_mantelli	62.3
Apteryx_rowi	54.4
Apus_apus	57.4
Aquila_chrysaetos_chrysaetos	61.5
Artibeus_jamaicensis	84.6
Arvicanthis_niloticus	84.6
Arvicola_amphibius	85.1
Athene_cunicularia	60.9
Aythya_fuligula	58.8
Balaenoptera_acutorostrata	90.0
Balaenoptera_ricei	85.7
Balearica_regulorum_gibbericeps	60.3
Bison_bison_bison	85.8
Bombina_bombina	52.5
Bos_indicus_x_Bos_taurus	85.9
Bos_javanicus	81.8
Bos_mutus	86.1
Bos_taurus	81.8
Bubalus_bubalis	86.0
Bubalus_kerabau	86.0
Buceros_rhinoceros_silvestris	58.3
Budorcas_taxicolor	86.2
Bufo_bufo	51.6
Bufo_gargarizans	52.6
Calidris_pugnax	48.1
Callithrix_jacchus	95.7
Callorhinus_ursinus	85.6
Camelus_bactrianus	91.2
Camelus_dromedarius	90.8
Camelus_ferus	91.2
Canis_lupus_dingo	83.9
Canis_lupus_familiaris	83.9
Capra_hircus	86.1
Capricornis_sumatraensis	86.2
Caretta_caretta	58.8
Cariama_cristata	60.0
Carlito_syrichta	86.3
Castor_canadensis	90.1
Cavia_porcellus	72.1
Cebus_imitator	95.9
Centrocercus_urophasianus	57.6
Ceratotherium_simum_simum	90.8
Cercocebus_atys	97.9
Cervus_canadensis	85.8
Cervus_elaphus	85.9
Chaetura_pelagica	48.3
Charadrius_vociferus	54.9
Chelonia_mydas	57.6
Chelonoidis_abingdonii	59.8
Chinchilla_lanigera	86.8
Chionomys_nivalis	85.3
Chlorocebus_sabaeus	98.0
Choloepus_didactylus	85.1
Chroicocephalus_ridibundus	60.5
Chrysemys_picta_bellii	59.3
Chrysochloris_asiatica	88.9
Colobus_angolensis_palliatus	93.5
Condylura_cristata	83.3
Coturnix_japonica	61.0
Cricetulus_griseus	85.3
Crocodylus_porosus	62.3
Cuculus_canorus	59.6
Cygnus_atratus	58.7
Cygnus_olor	58.8
Cyrtonyx_montezumae	52.6
Dama_dama	85.7
Dasypus_novemcinctus	90.3
Dermochelys_coriacea	59.2
Desmodus_rotundus	84.3
Diceros_bicornis_minor	90.7
Dipodomys_merriami	80.7
Dipodomys_ordii	87.9
Dipodomys_spectabilis	88.2
Dromaius_novaehollandiae	57.0
Dromiciops_gliroides	74.2
Dryobates_pubescens	59.1
Echinops_telfairi	83.3
Egretta_garzetta	58.4
Elephantulus_edwardii	86.6
Elephas_maximus_indicus	90.3
Eleutherodactylus_coqui	50.6
Emydura_macquarii_macquarii	59.1
Emys_orbicularis	59.8
Enhydra_lutris_kenyoni	84.8
Eptesicus_fuscus	86.4
Equus_asinus	90.5
Equus_caballus	90.6
Equus_przewalskii	90.7
Equus_quagga	90.6
Erinaceus_europaeus	78.5
Eschrichtius_robustus	90.0
Eubalaena_glacialis	90.0
Eulemur_rufifrons	92.5
Eumetopias_jubatus	85.2
Falco_biarmicus	53.9
Falco_cherrug	53.9
Falco_naumanni	59.4
Falco_peregrinus	54.0
Falco_rusticolus	59.7
Felis_catus	79.1
Fukomys_damarensis	85.7
Fulmarus_glacialis	60.3
Galeopterus_variegatus	92.5
Gallus_gallus	61.3
Gavialis_gangeticus	63.1
Gavia_stellata	59.9
Geotrypetes_seraphini	52.6
Gopherus_evgoodei	57.2
Gopherus_flavomarginatus	58.8
Gorilla_gorilla_gorilla	98.9
Gracilinanus_agilis	69.6
Grammomys_surdaster	84.5
Grus_americana	60.4
Gymnogyps_californianus	61.3
Haliaeetus_albicilla	61.7
Haliaeetus_leucocephalus	61.8
Halichoerus_grypus	86.6
Harpia_harpyja	61.1
Heterocephalus_glaber	87.4
Hippopotamus_amphibius_kiboko	85.8
Homo_sapiens	100.0
Hyaena_hyaena	86.8
Hylobates_moloch	89.9
Ictidomys_tridecemlineatus	90.0
Indicator_indicator	40.1
Jaculus_jaculus	83.5
Lagopus_leucura	60.2
Lagopus_muta	58.1
Lemur_catta	93.0
Leopardus_geoffroyi	83.9
Leptonychotes_weddellii	80.1
Lepus_europaeus	89.2
Lontra_canadensis	85.0
Loxodonta_africana	90.3
Lutra_lutra	85.0
Lynx_canadensis	85.5
Lynx_rufus	85.3
Macaca_fascicularis	98.0
Macaca_mulatta	98.0
Macaca_nemestrina	98.0
Macaca_thibetana_thibetana	97.7
Malaclemys_terrapin_pileata	59.5
Mandrillus_leucophaeus	97.6
Manis_javanica	84.8
Manis_pentadactyla	84.6
Marmota_flaviventris	90.0
Marmota_marmota_marmota	89.9
Marmota_monax	90.0
Mastomys_coucha	84.5
Mauremys_mutica	57.6
Mauremys_reevesii	55.3
Melanerpes_formicivorus	49.2
Meleagris_gallopavo	60.2
Meles_meles	85.7
Meriones_unguiculatus	86.2
Mesitornis_unicolor	58.8
Mesocricetus_auratus	84.8
Mesoplodon_densirostris	89.9
Microcebus_murinus	91.1
Microtus_ochrogaster	85.3
Microtus_oregoni	85.2
Miniopterus_natalensis	83.8
Mirounga_angustirostris	84.5
Mirounga_leonina	86.5
Molossus_molossus	85.5
Monodelphis_domestica	70.4
Moschus_berezovskii	85.9
Muntiacus_reevesi	85.7
Mus_caroli	84.4
Mus_musculus	84.3
Mus_pahari	84.4
Mustela_erminea	84.8
Mustela_lutreola	84.9
Mustela_nigripes	84.8
Mustela_putorius_furo	84.7
Myodes_glareolus	78.6
Myotis_brandtii	89.2
Myotis_daubentonii	89.1
Myotis_davidii	88.9
Myotis_lucifugus	89.5
Myotis_myotis	89.2
Myotis_yumanensis	89.5
Nannospalax_galili	86.2
Nanorana_parkeri	49.2
Neofelis_nebulosa	84.2
Neogale_vison	84.9
Neomonachus_schauinslandi	80.5
Nipponia_nippon	60.8
Nomascus_leucogenys	79.6
Nothoprocta_perdicaria	44.6
Numida_meleagris	61.0
Nyctereutes_procyonoides	86.9
Nyctibius_grandis	51.0
Nycticebus_coucang	77.8
Ochotona_curzoniae	82.0
Ochotona_princeps	80.3
Octodon_degus	83.8
Odobenus_rosmarus_divergens	86.2
Odocoileus_virginianus	85.9
Onychomys_torridus	85.7
Opisthocomus_hoazin	60.4
Ornithorhynchus_anatinus	57.4
Orycteropus_afer_afer	75.9
Oryctolagus_cuniculus	89.3
Oryx_dammah	82.7
Otolemur_garnettii	87.5
Ovis_aries	85.9
Ovis_canadensis	85.9
Oxyura_jamaicensis	61.2
Pan_paniscus	99.7
Panthera_leo	84.4
Panthera_onca	84.4
Panthera_pardus	84.4
Panthera_tigris	84.4
Panthera_uncia	84.4
Pan_troglodytes	99.5
Papio_anubis	97.7
Pelecanus_crispus	62.6
Pelobates_fuscus	54.8
Pelodiscus_sinensis	50.4
Perognathus_longimembris_pacificus	85.8
Peromyscus_californicus_insignis	86.4
Peromyscus_eremicus	86.6
Peromyscus_leucopus	86.0
Peromyscus_maniculatus_bairdii	85.9
Petaurus_breviceps_papuanus	70.8
Phacochoerus_africanus	89.0
Phaenicophaeus_curvirostris	59.9
Phalacrocorax_carbo	61.6
Phascolarctos_cinereus	74.0
Phasianus_colchicus	60.5
Phoca_vitulina	86.4
Phodopus_roborovskii	84.4
Phyllostomus_discolor	84.2
Phyllostomus_hastatus	84.3
Physeter_macrocephalus	89.5
Piliocolobus_tephrosceles	97.5
Pipistrellus_kuhlii	88.8
Pleurodeles_waltl	48.6
Pogoniulus_pusillus	59.2
Pongo_abelii	94.8
Pongo_pygmaeus	98.1
Prionailurus_bengalensis	85.0
Prionailurus_viverrinus	84.1
Propithecus_coquereli	67.4
Psammomys_obesus	86.0
Pseudophryne_corroboree	51.4
Pteronotus_mesoamericanus	84.6
Pteropus_alecto	84.0
Pteropus_giganteus	84.0
Pteropus_vampyrus	84.0
Puma_concolor	80.5
Puma_yagouaroundi	80.2
Pygoscelis_adeliae	54.0
Rana_temporaria	51.1
Ranitomeya_imitator	51.9
Rattus_norvegicus	78.0
Rattus_rattus	85.0
Rhea_pennata	58.1
Rhinatrema_bivittatum	52.2
Rhinolophus_ferrumequinum	86.3
Rhinopithecus_bieti	97.3
Rhinopithecus_roxellana	97.3
Rissa_tridactyla	60.1
Rousettus_aegyptiacus	84.1
Saccopteryx_bilineata	84.0
Saccopteryx_leptura	84.3
Saimiri_boliviensis	94.8
Sapajus_apella	95.8
Sarcophilus_harrisii	73.0
Sciurus_carolinensis	88.7
Sorex_araneus	80.7
Sorex_fumeus	80.0
Spea_bombifrons	50.6
Struthio_camelus	50.4
Sturnira_hondurensis	83.6
Suncus_etruscus	80.4
Suricata_suricatta	86.5
Sus_scrofa	89.2
Symphalangus_syndactylus	98.2
Tachyglossus_aculeatus	59.4
Talpa_occidentalis	83.2
Tauraco_erythrolophus	59.4
Terrapene_triunguis	54.5
Theropithecus_gelada	97.7
Trachypithecus_francoisi	94.7
Trichechus_manatus_latirostris	87.6
Tupaia_chinensis	86.2
Tympanuchus_pallidicinctus	60.5
Tyto_alba	60.0
Urocitellus_parryii	89.5
Ursus_americanus	86.1
Ursus_arctos	86.1
Ursus_maritimus	86.2
Vicugna_pacos	90.1
Vombatus_ursinus	68.9
Vulpes_lagopus	86.9
Vulpes_vulpes	77.5
Xenopus_tropicalis	53.5
Zalophus_californianus	85.2
