Gene_name	Sample_size	GC_content	GC_Stretch	Seq_iden
HHLA2	310	41.3174 +/- 2.80653	3.4385 +/- 0.160297	57.8293 +/- 14.5582
ARL11	549	58.9158 +/- 6.00298	4.02177 +/- 0.339975	64.5555 +/- 14.0787
CYYR1	551	55.4314 +/- 4.33048	4.19354 +/- 0.419557	39.7123 +/- 12.4778
IFTAP	463	45.0773 +/- 4.55662	3.68508 +/- 0.337665	58.6763 +/- 14.5696
IL34	586	56.7649 +/- 6.8111	4.00404 +/- 0.406849	56.9855 +/- 18.4373
ADRA1B	395	56.4815 +/- 8.36232	4.39439 +/- 0.691117	75.0088 +/- 13.6392
STOML3	344	50.6469 +/- 2.89453	3.69029 +/- 0.246395	76.4081 +/- 12.5648
TMEM273	325	47.8148 +/- 6.95776	3.73348 +/- 0.478687	40.081 +/- 12.3672
DLEU7	322	58.6675 +/- 6.68348	4.67307 +/- 0.818282	68.5223 +/- 21.0771
ZNF438	399	48.4148 +/- 7.16021	3.74957 +/- 0.33933	66.1018 +/- 11.7142
LRCH1	573	50.0946 +/- 5.52148	4.08014 +/- 0.282842	70.2256 +/- 15.47
DIP2A	378	55.4715 +/- 5.38179	3.93514 +/- 0.313701	80.5567 +/- 8.79243
MAN2B2	509	51.9499 +/- 7.1057	3.84645 +/- 0.35974	66.1567 +/- 11.0682
UTS2B	348	44.2954 +/- 5.49736	3.43598 +/- 0.268995	59.0309 +/- 11.663
DNM3	556	49.5403 +/- 3.10816	3.94183 +/- 0.256482	74.3804 +/- 12.3108
STAP1	315	43.0135 +/- 2.76765	3.62437 +/- 0.164604	76.9943 +/- 15.3136
INTS6	598	46.7108 +/- 6.36098	3.75537 +/- 0.299495	80.1962 +/- 14.1326
GPR82	422	39.561 +/- 4.45795	3.45261 +/- 0.22181	72.8518 +/- 18.12
GPR78	188	52.6397 +/- 7.43689	3.93229 +/- 0.387976	62.9799 +/- 13.5948
HPGDS	404	44.3697 +/- 4.14415	3.54395 +/- 0.145823	78.621 +/- 11.8559
SIAH3	395	58.5165 +/- 4.94266	4.03715 +/- 0.370638	79.3318 +/- 11.6421
GRK4	384	45.7815 +/- 4.83479	3.70486 +/- 0.343829	69.8844 +/- 9.00266
HSD17B1	519	61.3505 +/- 8.20655	4.40981 +/- 0.649158	60.3058 +/- 12.3821
FREM2	359	51.3994 +/- 3.34555	3.9797 +/- 0.234791	81.0875 +/- 9.49476
IL5RA	378	46.4164 +/- 6.10891	3.63884 +/- 0.383528	63.9802 +/- 14.2906
IL13RA2	549	44.8741 +/- 7.27592	3.57663 +/- 0.360549	59.4176 +/- 16.4018
LCP1	395	46.7889 +/- 1.98135	3.5337 +/- 0.112685	85.7078 +/- 8.834
SH2D1A	498	52.2995 +/- 5.19917	3.89495 +/- 0.359204	74.7435 +/- 16.7247
MATK	567	58.2254 +/- 6.2216	4.24347 +/- 0.451004	69.4954 +/- 11.892
NOTCH2	357	55.3053 +/- 3.0102	3.8579 +/- 0.196868	82.3156 +/- 11.2934
RIPPLY3	395	56.0599 +/- 7.05223	4.35468 +/- 0.706374	54.4033 +/- 17.1297
MOB1A	349	45.399 +/- 5.77235	3.61132 +/- 0.275567	75.3051 +/- 8.77393
OLAH	516	45.0695 +/- 5.21935	3.71636 +/- 0.293517	50.5596 +/- 8.14627
IL26	316	40.7438 +/- 1.82733	3.38781 +/- 0.196974	73.3158 +/- 18.2191
ADAP2	378	52.5003 +/- 3.70015	3.99165 +/- 0.239421	74.0443 +/- 13.0076
KDM3A	394	45.3335 +/- 1.88272	3.54689 +/- 0.101889	81.2266 +/- 12.4636
PLAAT1	535	52.0082 +/- 5.74363	3.90504 +/- 0.357933	53.9965 +/- 9.15298
TBC1D14	567	50.496 +/- 5.69818	3.84368 +/- 0.331527	70.0982 +/- 12.6112
RBBP7	379	45.9117 +/- 2.06375	3.51884 +/- 0.178754	74.3113 +/- 9.64778
UNKL	514	55.8052 +/- 9.46216	4.11594 +/- 0.540491	64.352 +/- 13.4657
SLC9A5	540	58.1247 +/- 3.47816	4.12677 +/- 0.27267	75.2257 +/- 15.0959
SSTR4	277	64.7248 +/- 4.57964	4.64262 +/- 0.50583	78.4982 +/- 10.6112
WNT2	592	56.9025 +/- 4.12475	4.06383 +/- 0.369824	79.3658 +/- 12.1512
LAPTM5	408	53.8563 +/- 4.43106	3.91501 +/- 0.379312	74.3232 +/- 15.2316
TNIP2	594	57.8278 +/- 7.3046	4.42899 +/- 0.586119	60.6134 +/- 14.6202
SUV39H2	390	42.617 +/- 2.81379	3.95263 +/- 0.471771	81.6558 +/- 11.6191
RUBCNL	566	49.8711 +/- 4.09322	3.68856 +/- 0.235255	62.0166 +/- 15.1042
ELOVL3	315	49.773 +/- 3.19973	3.79555 +/- 0.218244	74.2877 +/- 15.4959
KREMEN1	570	53.9625 +/- 4.72681	4.09823 +/- 0.358499	69.8107 +/- 13.1707
YBX3	356	61.6475 +/- 3.35013	5.41117 +/- 0.616257	75.7669 +/- 16.9572
CAV3	599	55.213 +/- 3.43846	3.94688 +/- 0.303124	81.629 +/- 9.79473
SH2D2A	333	64.47 +/- 5.22718	4.48034 +/- 0.409953	63.5671 +/- 15.2581
SLC24A1	531	50.9563 +/- 3.2167	3.72741 +/- 0.251878	59.4598 +/- 18.5087
