species	ident
Acanthisitta_chloris	61.1
Acanthochromis_polyacanthus	50.8
Acanthopagrus_latus	50.4
Accipiter_gentilis	59.2
Acinonyx_jubatus	80.9
Acomys_russatus	74.6
Agelaius_phoeniceus	63.6
Ailuropoda_melanoleuca	79.3
Alexandromys_fortis	63.4
Alligator_mississippiensis	59.2
Alligator_sinensis	55.8
Alosa_alosa	52.0
Alosa_sapidissima	52.2
Ambystoma_mexicanum	56.8
Amia_calva	52.0
Ammospiza_caudacuta	64.0
Ammospiza_nelsoni	64.0
Amphiprion_ocellaris	51.0
Anarrhichthys_ocellatus	51.0
Anas_acuta	62.5
Anas_platyrhynchos	63.1
Anguilla_anguilla	50.9
Anguilla_rostrata	50.7
Anomalospiza_imberbis	56.6
Anoplopoma_fimbria	54.2
Anser_cygnoides	62.2
Antechinus_flavipes	68.2
Antennarius_striatus	50.8
Antrostomus_carolinensis	61.6
Aotus_nancymaae	92.5
Apaloderma_vittatum	63.4
Aphelocoma_coerulescens	61.7
Apodemus_sylvaticus	67.3
Aptenodytes_forsteri	62.7
Apus_apus	62.6
Aquila_chrysaetos_chrysaetos	58.0
Archocentrus_centrarchus	48.6
Arvicanthis_niloticus	75.7
Arvicola_amphibius	75.2
Astyanax_mexicanus	52.6
Athene_cunicularia	61.4
Austrofundulus_limnaeus	49.0
Aythya_fuligula	45.3
Balaenoptera_acutorostrata	83.4
Balaenoptera_musculus	82.9
Balaenoptera_ricei	82.4
Balearica_regulorum_gibbericeps	58.2
Betta_splendens	49.1
Boleophthalmus_pectinirostris	47.8
Bombina_bombina	53.9
Bos_indicus_x_Bos_taurus	80.3
Bos_javanicus	78.9
Bos_mutus	78.7
Bos_taurus	79.7
Brachionichthys_hirsutus	55.6
Brienomyrus_brachyistius	50.7
Bubalus_bubalis	80.7
Bubalus_kerabau	80.1
Buceros_rhinoceros_silvestris	59.8
Budorcas_taxicolor	75.5
Bufo_bufo	53.7
Bufo_gargarizans	54.4
Calidris_pugnax	60.4
Callithrix_jacchus	92.0
Callorhinchus_milii	52.5
Callorhinus_ursinus	80.3
Caloenas_nicobarica	59.3
Calypte_anna	61.7
Camelus_bactrianus	77.9
Camelus_dromedarius	78.4
Camelus_ferus	77.9
Capra_hircus	75.7
Capricornis_sumatraensis	75.7
Caretta_caretta	60.5
Cariama_cristata	62.3
Carlito_syrichta	87.6
Castor_canadensis	77.2
Catharus_ustulatus	55.0
Cavia_porcellus	78.7
Cebidichthys_violaceus	52.9
Cebus_imitator	92.0
Centrocercus_urophasianus	60.8
Centropristis_striata	53.4
Ceratotherium_simum_simum	79.1
Cercocebus_atys	96.6
Cervus_canadensis	77.2
Cervus_elaphus	77.0
Chaetura_pelagica	59.5
Chamaea_fasciata	61.1
Chanodichthys_erythropterus	49.2
Chanos_chanos	48.5
Charadrius_vociferus	60.2
Cheilinus_undulatus	48.3
Chelmon_rostratus	51.3
Chelonia_mydas	60.4
Chelonoidis_abingdonii	61.7
Chinchilla_lanigera	79.1
Chiroxiphia_lanceolata	59.3
Chlamydotis_macqueenii	61.5
Chlorocebus_sabaeus	96.3
Choloepus_didactylus	56.7
Chroicocephalus_ridibundus	62.0
Chrysemys_picta_bellii	62.1
Cinclus_cinclus	61.3
Clarias_gariepinus	49.0
Clinocottus_analis	53.6
Clupea_harengus	49.9
Colius_striatus	60.9
Colobus_angolensis_palliatus	96.3
Cololabis_saira	52.1
