species	ident
Acanthopagrus_latus	50.7
Accipiter_gentilis	51.7
Acinonyx_jubatus	81.2
Acomys_russatus	79.6
Agelaius_phoeniceus	53.9
Ailuropoda_melanoleuca	78.0
Alexandromys_fortis	80.3
Alligator_mississippiensis	53.8
Alligator_sinensis	43.8
Alosa_alosa	48.0
Alosa_sapidissima	49.0
Amblyraja_radiata	51.5
Ambystoma_mexicanum	55.7
Amia_calva	55.9
Ammospiza_caudacuta	54.8
Ammospiza_nelsoni	54.8
Amphiprion_ocellaris	50.4
Anabas_testudineus	49.2
Anarrhichthys_ocellatus	49.1
Anas_acuta	54.3
Anas_platyrhynchos	54.1
Anguilla_anguilla	46.7
Anguilla_rostrata	45.2
Anomalospiza_imberbis	54.8
Anoplopoma_fimbria	51.4
Anser_cygnoides	53.8
Antechinus_flavipes	61.0
Antennarius_striatus	48.4
Aotus_nancymaae	91.8
Aphelocoma_coerulescens	54.2
Apodemus_sylvaticus	79.3
Aptenodytes_forsteri	51.9
Apteryx_mantelli	51.6
Apteryx_rowi	51.6
Apus_apus	52.6
Aquila_chrysaetos_chrysaetos	52.3
Archocentrus_centrarchus	49.2
Artibeus_jamaicensis	75.5
Arvicanthis_niloticus	79.8
Arvicola_amphibius	80.1
Astatotilapia_calliptera	49.9
Astyanax_mexicanus	42.2
Athene_cunicularia	43.8
Aythya_fuligula	54.1
Balaenoptera_acutorostrata	82.2
Balaenoptera_musculus	83.0
Balaenoptera_ricei	67.4
Betta_splendens	48.6
Bison_bison_bison	33.7
Boleophthalmus_pectinirostris	46.4
Bombina_bombina	51.5
Bos_indicus_x_Bos_taurus	80.4
Bos_javanicus	80.4
Bos_mutus	80.4
Bos_taurus	80.0
Brachionichthys_hirsutus	51.8
Brachyistius_frenatus	50.0
Brienomyrus_brachyistius	51.1
Bubalus_bubalis	80.4
Bubalus_kerabau	67.9
Budorcas_taxicolor	79.8
Bufo_bufo	51.1
Bufo_gargarizans	51.7
Calidris_pugnax	52.5
Callithrix_jacchus	91.5
Callorhinchus_milii	51.2
Callorhinus_ursinus	79.9
Caloenas_nicobarica	56.2
Calypte_anna	52.8
Camarhynchus_parvulus	54.1
Camelus_bactrianus	55.3
Camelus_dromedarius	83.2
Camelus_ferus	76.3
Canis_lupus_dingo	79.5
Canis_lupus_familiaris	79.7
Capra_hircus	79.9
Capricornis_sumatraensis	78.6
Carassius_auratus	47.2
Carassius_gibelio	48.2
Carcharodon_carcharias	51.8
Caretta_caretta	52.6
Carlito_syrichta	71.6
Castor_canadensis	81.7
Catharus_ustulatus	55.4
Cavia_porcellus	72.2
Cebus_imitator	68.6
Centrocercus_urophasianus	49.8
Centropristis_striata	46.6
Ceratotherium_simum_simum	82.7
Cercocebus_atys	95.6
Cervus_canadensis	79.2
Cervus_elaphus	79.0
Chaetura_pelagica	54.2
Chamaea_fasciata	55.0
Channa_argus	45.9
Chanodichthys_erythropterus	50.6
Chanos_chanos	43.2
Charadrius_vociferus	42.3
Cheilinus_undulatus	47.6
Chelmon_rostratus	48.2
Chelonia_mydas	52.7
Chelonoidis_abingdonii	52.5
Chiloscyllium_plagiosum	52.1
Chinchilla_lanigera	76.4
Chionomys_nivalis	79.9
Chiroxiphia_lanceolata	54.4
Chlorocebus_sabaeus	95.6
Choloepus_didactylus	72.7
Chroicocephalus_ridibundus	53.3
Chrysemys_picta_bellii	53.2
Chrysochloris_asiatica	47.8
Cinclus_cinclus	55.0
Clarias_gariepinus	49.7
Clinocottus_analis	50.8
Clupea_harengus	50.2
Colius_striatus	53.0
Colobus_angolensis_palliatus	71.6
Cololabis_saira	49.8
Colossoma_macropomum	48.6
Columba_livia	53.0
Conger_conger	45.0
Corapipo_altera	53.7
Corvus_brachyrhynchos	50.0
Corvus_hawaiiensis	53.1
Corvus_kubaryi	53.5
Corvus_moneduloides	53.3
Corythoichthys_intestinalis	38.6
Cottoperca_gobio	50.1
Cricetulus_griseus	79.8
Crocodylus_porosus	58.3
Ctenopharyngodon_idella	50.1
Cuculus_canorus	56.7
Cyanistes_caeruleus	50.4
Cyclopterus_lumpus	42.8
Cygnus_atratus	53.0
Cygnus_olor	52.9
Cynocephalus_volans	85.9
Cynoglossus_semilaevis	50.3
Cyprinodon_tularosa	50.6
Cyprinodon_variegatus	50.2
Cyprinus_carpio	48.1
Cyrtonyx_montezumae	52.4
Dama_dama	79.2
Danio_aesculapii	46.7
Danio_rerio	49.1
Delphinapterus_leucas	81.7
Delphinus_delphis	66.7
Dendropsophus_ebraccatus	52.3
Denticeps_clupeoides	49.4
Dermochelys_coriacea	53.3
Desmodus_rotundus	75.8
Dicentrarchus_labrax	49.9
Diceros_bicornis_minor	82.9
Dipodomys_merriami	70.4
Dipodomys_ordii	49.3
Dipodomys_spectabilis	73.3
Doryrhamphus_excisus	53.0
Dromaius_novaehollandiae	51.0
Dromiciops_gliroides	61.3
Dryobates_pubescens	51.7
Dunckerocampus_dactyliophorus	51.4
Echeneis_naucrates	48.0
Echinops_telfairi	48.8
Egretta_garzetta	42.3
Electrophorus_electricus	52.1
Eleginops_maclovinus	47.6
Elephantulus_edwardii	56.0
Elephas_maximus_indicus	71.9
Eleutherodactylus_coqui	48.3
Empidonax_traillii	54.9
Emydura_macquarii_macquarii	52.7
Emys_orbicularis	53.5
Engraulis_encrasicolus	48.4
Enhydra_lutris_kenyoni	80.1
Epinephelus_fuscoguttatus	51.2
Epinephelus_lanceolatus	51.5
Epinephelus_moara	51.0
Eptesicus_fuscus	74.5
Equus_asinus	66.4
Equus_caballus	83.2
Equus_przewalskii	83.2
Equus_quagga	83.4
Erinaceus_europaeus	69.6
Erpetoichthys_calabaricus	53.5
Eschrichtius_robustus	67.6
Esox_lucius	44.9
Etheostoma_cragini	49.8
Etheostoma_spectabile	52.1
Eulemur_rufifrons	87.8
Eumetopias_jubatus	80.3
Falco_biarmicus	51.7
Falco_cherrug	51.3
Falco_naumanni	52.6
Falco_peregrinus	51.8
Falco_rusticolus	51.3
Felis_catus	80.9
Ficedula_albicollis	52.1
Fundulus_heteroclitus	53.7
Gadus_chalcogrammus	46.5
Gadus_macrocephalus	47.0
Gadus_morhua	46.6
Galeopterus_variegatus	74.0
Gallus_gallus	54.1
Gambusia_affinis	52.0
Gasterosteus_aculeatus	51.7
Gavialis_gangeticus	55.2
Gavia_stellata	50.6
