species	ident
Acanthisitta_chloris	70.8
Accipiter_gentilis	73.8
Acinonyx_jubatus	89.1
Acomys_russatus	82.4
Agelaius_phoeniceus	70.4
Ailuropoda_melanoleuca	89.1
Alexandromys_fortis	83.5
Alligator_mississippiensis	69.8
Alligator_sinensis	70.2
Amblyraja_radiata	68.3
Ambystoma_mexicanum	71.5
Ammospiza_caudacuta	71.1
Ammospiza_nelsoni	71.2
Anas_acuta	74.0
Anas_platyrhynchos	74.0
Anomalospiza_imberbis	70.4
Anser_cygnoides	74.0
Antechinus_flavipes	77.0
Aotus_nancymaae	95.1
Aphelocoma_coerulescens	71.8
Apodemus_sylvaticus	84.1
Aptenodytes_forsteri	73.8
Apteryx_mantelli	71.7
Apus_apus	72.8
Aquila_chrysaetos_chrysaetos	74.0
Arvicanthis_niloticus	83.3
Arvicola_amphibius	83.2
Athene_cunicularia	71.6
Aythya_fuligula	74.1
Bombina_bombina	60.2
Bufo_gargarizans	63.3
Calidris_pugnax	72.7
Callithrix_jacchus	95.1
Callorhinus_ursinus	79.8
Caloenas_nicobarica	73.2
Camarhynchus_parvulus	70.1
Caretta_caretta	71.1
Carlito_syrichta	65.4
Castor_canadensis	86.7
Catharus_ustulatus	70.5
Cebus_imitator	94.8
Centrocercus_urophasianus	73.1
Ceratotherium_simum_simum	80.9
Cercocebus_atys	95.6
Chaetura_pelagica	71.7
Chamaea_fasciata	69.8
Charadrius_vociferus	72.7
Chelonia_mydas	71.3
Chelonoidis_abingdonii	70.2
Chionomys_nivalis	83.8
Chiroxiphia_lanceolata	73.2
Chlorocebus_sabaeus	95.5
Choloepus_didactylus	89.2
Chroicocephalus_ridibundus	72.8
Chrysemys_picta_bellii	71.5
Cinclus_cinclus	69.3
Colius_striatus	73.8
Colobus_angolensis_palliatus	94.1
Columba_livia	72.8
Condylura_cristata	86.4
Corapipo_altera	73.2
Corvus_hawaiiensis	60.7
Corvus_kubaryi	60.9
Corvus_moneduloides	60.8
Coturnix_japonica	71.8
Cricetulus_griseus	83.2
Crocodylus_porosus	71.0
Cuculus_canorus	62.3
Cygnus_atratus	73.5
Cygnus_olor	73.8
Cyrtonyx_montezumae	74.0
Dasypus_novemcinctus	89.6
Diceros_bicornis_minor	90.4
Dipodomys_merriami	85.4
Dipodomys_ordii	85.4
Dipodomys_spectabilis	85.1
Dromaius_novaehollandiae	70.4
Dromiciops_gliroides	78.0
Dryobates_pubescens	74.1
Empidonax_traillii	74.3
Emydura_macquarii_macquarii	73.4
Emys_orbicularis	72.0
Enhydra_lutris_kenyoni	88.5
Erinaceus_europaeus	84.7
Eubalaena_glacialis	83.7
Eulemur_rufifrons	90.6
Eumetopias_jubatus	88.4
Eurypyga_helias	72.1
Falco_biarmicus	73.1
Falco_cherrug	73.4
Falco_naumanni	56.6
Falco_peregrinus	73.2
Falco_rusticolus	73.4
Felis_catus	90.0
Gallus_gallus	72.1
Gavialis_gangeticus	70.2
Gavia_stellata	73.5
Geotrypetes_seraphini	72.4
Gopherus_evgoodei	70.5
Gopherus_flavomarginatus	70.8
Gorilla_gorilla_gorilla	98.3
Gracilinanus_agilis	76.7
Grammomys_surdaster	83.0
Grus_americana	73.6
Gymnogyps_californianus	72.9
Haemorhous_mexicanus	69.8
Haliaeetus_albicilla	73.9
Haliaeetus_leucocephalus	73.9
Halichoerus_grypus	88.5
Harpia_harpyja	73.3
Hipposideros_armiger	64.3
Hirundo_rustica	70.3
Homo_sapiens	100.0
Hyaena_hyaena	89.4
Hylobates_moloch	97.0
Ictidomys_tridecemlineatus	85.9
Indicator_indicator	72.7
Jaculus_jaculus	86.1
Lagopus_leucura	73.0
Lagopus_muta	73.0
Lathamus_discolor	73.9
