Chrom	Start	End
NC_132822.1	127046955	127047054
NC_132822.1	154525928	154526027
NC_132822.1	181643411	181643510
NC_132822.1	190985118	190985217
NC_132822.1	198461385	198461484
NC_132823.1	406973	407071
NC_132828.1	140748	140847
NC_132828.1	10922621	10922720
NC_132828.1	19407425	19407524
NC_132828.1	31002556	31002655
NC_132829.1	13179565	13179664
NC_132830.1	13598943	13599042
NC_132831.1	15089867	15089966
NC_132832.1	13445131	13445230
NC_132833.1	14101260	14101359
NC_132833.1	17505674	17505773
NC_132835.1	13404225	13404324
NC_132836.1	2163055	2163154
NC_132836.1	2808154	2808253
NC_132836.1	8069142	8069241
NC_132836.1	8764759	8764858
NC_132836.1	11415938	11416037
NC_132837.1	11362320	11362419
NC_132837.1	11886277	11886475
NC_132837.1	12252759	12252858
NC_132837.1	13814972	13815171
