GeneName	Chromosome	Coordinates	GapCount
ADAP2	NC_132823.1	159742991-159922510	0
ARL11	NC_132822.1	172527533-173692905	0
CAV3	NC_132823.1	53720496-54118482	0
C11orf74	NC_132822.1	294191693-294430732	0
CYYR1	NC_132824.1	61297319-61758131	0
ELOVL3	NC_132824.1	154965273-155108341	0
GPR78	NC_132826.1	105446298-105446330	0
GPR82	NC_132824.1	72413952-72811974	0
HHLA2	NC_132824.1	41665141-42108497	0
HPGDS	NC_132826.1	184076420-184475459	0
IL5RA	NC_132823.1	48328947-50160788	0
INTS6	NC_132822.1	151142772-151214968	0
OLAH	NC_132827.1	23359516-23446990	0
RIPPLY3	NC_132824.1	66355453-66615615	0
STAP1	NC_132827.1	84498955-84648680	0
TBC1D14	NC_132825.1	135813107-135928088	0
WNT2	NC_132826.1	66723001-67000490	0
ZNF438	NC_132827.1	16386543-16914464	0
DIP2A	NC_132822.1	175273697-176207964	0
GRK4	NC_132826.1	103907725-104250028	0
HRASLS	NC_132824.1	273748104-274100618	0
IL13RA2	NC_132832.1	25728088-26070645	0
IL26	NC_132826.1	54224873-54425677	0
IL34	NC_132831.1	28216345-28348178	0
KDM3A	NC_132827.1	86796516-87048760	0
LAPTM5	NC_132830.1	15738533-16182474	0
SIAH3	NC_132822.1	151912725-152169339	0
MATK	NC_132828.1	15220209-15256277	0
MOB1A	NC_132829.1	680675-838446	0
RBBP7	NC_132824.1	83735582-84186682	0
SLC24A1	NC_132833.1	10703043-10905273	0
SLC9A5	NC_132831.1	28397023-28526805	0
SSTR4	NC_132825.1	138126186-138647740	0
SUV39H2	NC_132826.1	90798044-90915509	0
C10orf128	NC_132824.1	152093886-152414156	0
UTS2B	NC_132824.1	273146466-273709876	0
PLAAT1	NC_132824.1	273629010-274104495	0
