Gene_name	Class	Order	Species_name	Aligned_region	Gene_length	Normalized_value
EFHC2	Aves	Anseriformes	Anas_platyrhynchos	2238	2238	1
EFHC2	Lepidosauria	Squamata	Anolis_carolinensis	2196	2238	0.981233
EFHC2	Lepidosauria	Squamata	Anolis_sagrei	2238	2238	1
EFHC2	Aves	Anseriformes	Anser_brachyrhynchus	2238	2238	1
EFHC2	Aves	Accipitriformes	Aquila_chrysaetos	2238	2238	1
EFHC2	Reptilia	Testudines	Chelonoidis_abingdonii	2196	2238	0.981233
EFHC2	Reptilia	Testudines	Chrysemys_picta	2238	2238	1
EFHC2	Aves	Galliformes	Coturnix_japonica	2238	2238	1
EFHC2	Reptilia	Crocodylia	Crocodylus_porosus	2238	2238	1
EFHC2	Lepidosauria	Squamata	Eublepharis_macularius	2238	2238	1
EFHC2	Lepidosauria	Squamata	Euleptes_europaea	2238	2238	1
EFHC2	Aves	Passeriformes	Ficedula_albicollis	2196	2238	0.981233
EFHC2	Aves	Passeriformes	Geospiza_fortis	2196	2238	0.981233
EFHC2	Reptilia	Testudines	Gopherus_evgoodei	2238	2238	1
EFHC2	Lepidosauria	Squamata	Laticauda_laticaudata	2145	2238	0.958445
EFHC2	Actinistia	Coelacanthiformes	Latimeria_chalumnae	1793	2238	0.801162
EFHC2	Aves	Galliformes	Meleagris_gallopavo	2238	2238	1
EFHC2	Lepidosauria	Squamata	Naja_naja	2238	2238	1
EFHC2	Lepidosauria	Squamata	Notechis_scutatus	2087	2238	0.932529
EFHC2	Aves	Passeriformes	Parus_major	2238	2238	1
EFHC2	Reptilia	Testudines	Pelodiscus_sinensis	2157	2238	0.963807
EFHC2	Lepidosauria	Squamata	Podarcis_muralis	2238	2238	1
EFHC2	Lepidosauria	Squamata	Podarcis_raffonei	2238	2238	1
EFHC2	Lepidosauria	Squamata	Pogona_vitticeps_zw	2238	2238	1
EFHC2	Lepidosauria	Squamata	Pogona_vitticeps_zz	2238	2238	1
EFHC2	Lepidosauria	Squamata	Pseudonaja_textilis	2238	2238	1
EFHC2	Lepidosauria	Squamata	Rhineura_floridana	2238	2238	1
EFHC2	Lepidosauria	Squamata	Salvator_merianae	2196	2238	0.981233
EFHC2	Aves	Passeriformes	Serinus_canaria	2238	2238	1
EFHC2	Lepidosauria	Sphenodontia	Sphenodon_punctatus	2196	2238	0.981233
EFHC2	Aves	Psittaciformes	Strigops_habroptila	2238	2238	1
EFHC2	Aves	Struthioniformes	Struthio_camelus	2182	2238	0.974978
EFHC2	Aves	Passeriformes	Taeniopygia_guttata	2238	2238	1
EFHC2	Reptilia	Testudines	Terrapene_carolina	2238	2238	1
NDP	Aves	Anseriformes	Anas_platyrhynchos	399	399	1
NDP	Lepidosauria	Squamata	Anolis_carolinensis	399	399	1
NDP	Lepidosauria	Squamata	Anolis_sagrei	399	399	1
NDP	Aves	Anseriformes	Anser_brachyrhynchus	399	399	1
NDP	Aves	Accipitriformes	Aquila_chrysaetos	399	399	1
NDP	Reptilia	Testudines	Chelonoidis_abingdonii	399	399	1
NDP	Reptilia	Testudines	Chrysemys_picta	399	399	1
NDP	Aves	Galliformes	Coturnix_japonica	399	399	1
NDP	Reptilia	Crocodylia	Crocodylus_porosus	399	399	1
NDP	Lepidosauria	Squamata	Eublepharis_macularius	399	399	1
NDP	Lepidosauria	Squamata	Euleptes_europaea	399	399	1
NDP	Aves	Passeriformes	Ficedula_albicollis	399	399	1
NDP	Aves	Passeriformes	Geospiza_fortis	399	399	1
NDP	Reptilia	Testudines	Gopherus_evgoodei	399	399	1
NDP	Lepidosauria	Squamata	Laticauda_laticaudata	399	399	1
NDP	Actinistia	Coelacanthiformes	Latimeria_chalumnae	397	399	0.994987
NDP	Aves	Galliformes	Meleagris_gallopavo	399	399	1
NDP	Lepidosauria	Squamata	Naja_naja	399	399	1
NDP	Lepidosauria	Squamata	Notechis_scutatus	399	399	1
NDP	Aves	Passeriformes	Parus_major	399	399	1
NDP	Reptilia	Testudines	Pelodiscus_sinensis	399	399	1
NDP	Lepidosauria	Squamata	Podarcis_muralis	399	399	1
NDP	Lepidosauria	Squamata	Podarcis_raffonei	399	399	1
NDP	Lepidosauria	Squamata	Pogona_vitticeps_zw	399	399	1
NDP	Lepidosauria	Squamata	Pogona_vitticeps_zz	399	399	1
NDP	Lepidosauria	Squamata	Pseudonaja_textilis	399	399	1
NDP	Lepidosauria	Squamata	Rhineura_floridana	399	399	1
NDP	Lepidosauria	Squamata	Salvator_merianae	399	399	1
NDP	Aves	Passeriformes	Serinus_canaria	399	399	1
NDP	Lepidosauria	Sphenodontia	Sphenodon_punctatus	399	399	1
NDP	Aves	Psittaciformes	Strigops_habroptila	399	399	1
NDP	Aves	Struthioniformes	Struthio_camelus	399	399	1
NDP	Aves	Passeriformes	Taeniopygia_guttata	399	399	1
NDP	Reptilia	Testudines	Terrapene_carolina	399	399	1
MAOB	Aves	Anseriformes	Anas_platyrhynchos	1563	1563	1
MAOB	Lepidosauria	Squamata	Anolis_carolinensis	1422	1563	0.909789
MAOB	Lepidosauria	Squamata	Anolis_sagrei	1563	1563	1
MAOB	Aves	Anseriformes	Anser_brachyrhynchus	1563	1563	1
MAOB	Aves	Accipitriformes	Aquila_chrysaetos	1563	1563	1
MAOB	Reptilia	Testudines	Chelonoidis_abingdonii	1563	1563	1
MAOB	Reptilia	Testudines	Chrysemys_picta	1468	1563	0.939219
MAOB	Aves	Galliformes	Coturnix_japonica	1563	1563	1
