Gene_name	Class	Order	Species_name	Aligned_region	Gene_length	Normalized_value
HELLS	Aves	Anseriformes	Anas_platyrhynchos	2514	2514	1
HELLS	Lepidosauria	Squamata	Anolis_carolinensis	2068	2514	0.822593
HELLS	Lepidosauria	Squamata	Anolis_sagrei	2283	2514	0.908115
HELLS	Aves	Anseriformes	Anser_brachyrhynchus	2514	2514	1
HELLS	Aves	Accipitriformes	Aquila_chrysaetos	2514	2514	1
HELLS	Reptilia	Testudines	Chelonoidis_abingdonii	2441	2514	0.970963
HELLS	Reptilia	Testudines	Chrysemys_picta	2441	2514	0.970963
HELLS	Aves	Galliformes	Coturnix_japonica	2514	2514	1
HELLS	Reptilia	Crocodylia	Crocodylus_porosus	2412	2514	0.959427
HELLS	Lepidosauria	Squamata	Eublepharis_macularius	2212	2514	0.879873
HELLS	Lepidosauria	Squamata	Euleptes_europaea	2170	2514	0.863166
HELLS	Aves	Passeriformes	Ficedula_albicollis	2514	2514	1
HELLS	Aves	Passeriformes	Geospiza_fortis	2514	2514	1
HELLS	Reptilia	Testudines	Gopherus_evgoodei	2441	2514	0.970963
HELLS	Lepidosauria	Squamata	Laticauda_laticaudata	2215	2514	0.881066
HELLS	Actinistia	Coelacanthiformes	Latimeria_chalumnae	2133	2514	0.848449
HELLS	Aves	Galliformes	Meleagris_gallopavo	2383	2514	0.947892
HELLS	Lepidosauria	Squamata	Naja_naja	2068	2514	0.822593
HELLS	Lepidosauria	Squamata	Notechis_scutatus	2068	2514	0.822593
HELLS	Aves	Passeriformes	Parus_major	2514	2514	1
HELLS	Reptilia	Testudines	Pelodiscus_sinensis	2367	2514	0.941527
HELLS	Lepidosauria	Squamata	Podarcis_muralis	2269	2514	0.902546
HELLS	Lepidosauria	Squamata	Podarcis_raffonei	2364	2514	0.940334
HELLS	Lepidosauria	Squamata	Pogona_vitticeps_zw	2212	2514	0.879873
HELLS	Lepidosauria	Squamata	Pogona_vitticeps_zz	2317	2514	0.921639
HELLS	Lepidosauria	Squamata	Pseudonaja_textilis	2068	2514	0.822593
HELLS	Lepidosauria	Squamata	Rhineura_floridana	2265	2514	0.900955
HELLS	Lepidosauria	Squamata	Salvator_merianae	2242	2514	0.891806
HELLS	Aves	Passeriformes	Serinus_canaria	2514	2514	1
HELLS	Lepidosauria	Sphenodontia	Sphenodon_punctatus	2286	2514	0.909308
HELLS	Aves	Psittaciformes	Strigops_habroptila	2514	2514	1
HELLS	Aves	Struthioniformes	Struthio_camelus	2367	2514	0.941527
HELLS	Aves	Passeriformes	Taeniopygia_guttata	2514	2514	1
HELLS	Reptilia	Testudines	Terrapene_carolina	2441	2514	0.970963
LOC423752	Aves	Anseriformes	Anas_platyrhynchos	1653	1653	1
LOC423752	Lepidosauria	Squamata	Anolis_carolinensis	1203	1653	0.727768
LOC423752	Lepidosauria	Squamata	Anolis_sagrei	1203	1653	0.727768
LOC423752	Aves	Anseriformes	Anser_brachyrhynchus	1653	1653	1
LOC423752	Aves	Accipitriformes	Aquila_chrysaetos	1653	1653	1
LOC423752	Reptilia	Testudines	Chelonoidis_abingdonii	1439	1653	0.870538
LOC423752	Reptilia	Testudines	Chrysemys_picta	1621	1653	0.980641
