Gene_name	Class	Order	Species_name	Aligned_region	Gene_length	Normalized_value
SLC51B	Aves	Anseriformes	Anas_platyrhynchos	360	360	1
SLC51B	Lepidosauria	Squamata	Anolis_carolinensis	302	360	0.838889
SLC51B	Lepidosauria	Squamata	Anolis_sagrei	360	360	1
SLC51B	Aves	Anseriformes	Anser_brachyrhynchus	360	360	1
SLC51B	Aves	Accipitriformes	Aquila_chrysaetos	360	360	1
SLC51B	Reptilia	Testudines	Chelonoidis_abingdonii	360	360	1
SLC51B	Reptilia	Testudines	Chrysemys_picta	360	360	1
SLC51B	Aves	Galliformes	Coturnix_japonica	360	360	1
SLC51B	Reptilia	Crocodylia	Crocodylus_porosus	360	360	1
SLC51B	Lepidosauria	Squamata	Eublepharis_macularius	360	360	1
SLC51B	Lepidosauria	Squamata	Euleptes_europaea	360	360	1
SLC51B	Aves	Passeriformes	Ficedula_albicollis	360	360	1
SLC51B	Aves	Passeriformes	Geospiza_fortis	360	360	1
SLC51B	Reptilia	Testudines	Gopherus_evgoodei	360	360	1
SLC51B	Lepidosauria	Squamata	Laticauda_laticaudata	137	360	0.380556
SLC51B	Actinistia	Coelacanthiformes	Latimeria_chalumnae	83	360	0.230556
SLC51B	Aves	Galliformes	Meleagris_gallopavo	360	360	1
SLC51B	Lepidosauria	Squamata	Naja_naja	137	360	0.380556
SLC51B	Lepidosauria	Squamata	Notechis_scutatus	137	360	0.380556
SLC51B	Aves	Passeriformes	Parus_major	360	360	1
SLC51B	Reptilia	Testudines	Pelodiscus_sinensis	360	360	1
SLC51B	Lepidosauria	Squamata	Podarcis_muralis	356	360	0.988889
SLC51B	Lepidosauria	Squamata	Podarcis_raffonei	304	360	0.844444
SLC51B	Lepidosauria	Squamata	Pogona_vitticeps_zw	228	360	0.633333
SLC51B	Lepidosauria	Squamata	Pogona_vitticeps_zz	319	360	0.886111
SLC51B	Lepidosauria	Squamata	Pseudonaja_textilis	187	360	0.519444
SLC51B	Lepidosauria	Squamata	Rhineura_floridana	342	360	0.95
SLC51B	Lepidosauria	Squamata	Salvator_merianae	333	360	0.925
SLC51B	Aves	Passeriformes	Serinus_canaria	360	360	1
