Gene_name	Class	Order	Species_name	Aligned_region	Gene_length	Normalized_value
SOHO1	Aves	Anseriformes	Anas_platyrhynchos	777	777	1
SOHO1	Lepidosauria	Squamata	Anolis_carolinensis	410	777	0.527671
SOHO1	Lepidosauria	Squamata	Anolis_sagrei	344	777	0.442728
SOHO1	Aves	Anseriformes	Anser_brachyrhynchus	777	777	1
SOHO1	Aves	Accipitriformes	Aquila_chrysaetos	777	777	1
SOHO1	Reptilia	Testudines	Chelonoidis_abingdonii	563	777	0.724582
SOHO1	Reptilia	Testudines	Chrysemys_picta	563	777	0.724582
SOHO1	Aves	Galliformes	Coturnix_japonica	777	777	1
SOHO1	Reptilia	Crocodylia	Crocodylus_porosus	563	777	0.724582
SOHO1	Lepidosauria	Squamata	Eublepharis_macularius	777	777	1
SOHO1	Lepidosauria	Squamata	Euleptes_europaea	667	777	0.85843
SOHO1	Aves	Passeriformes	Ficedula_albicollis	777	777	1
SOHO1	Aves	Passeriformes	Geospiza_fortis	431	777	0.554698
SOHO1	Reptilia	Testudines	Gopherus_evgoodei	563	777	0.724582
SOHO1	Lepidosauria	Squamata	Laticauda_laticaudata	479	777	0.616474
SOHO1	Actinistia	Coelacanthiformes	Latimeria_chalumnae	399	777	0.513514
SOHO1	Aves	Galliformes	Meleagris_gallopavo	777	777	1
SOHO1	Lepidosauria	Squamata	Naja_naja	554	777	0.712999
SOHO1	Lepidosauria	Squamata	Notechis_scutatus	517	777	0.66538
SOHO1	Aves	Passeriformes	Parus_major	563	777	0.724582
SOHO1	Reptilia	Testudines	Pelodiscus_sinensis	563	777	0.724582
SOHO1	Lepidosauria	Squamata	Podarcis_muralis	500	777	0.643501
SOHO1	Lepidosauria	Squamata	Podarcis_raffonei	500	777	0.643501
SOHO1	Lepidosauria	Squamata	Pogona_vitticeps_zw	563	777	0.724582
SOHO1	Lepidosauria	Squamata	Pogona_vitticeps_zz	563	777	0.724582
SOHO1	Lepidosauria	Squamata	Pseudonaja_textilis	484	777	0.622909
SOHO1	Lepidosauria	Squamata	Rhineura_floridana	550	777	0.707851
SOHO1	Lepidosauria	Squamata	Salvator_merianae	413	777	0.531532
SOHO1	Aves	Passeriformes	Serinus_canaria	777	777	1
SOHO1	Lepidosauria	Sphenodontia	Sphenodon_punctatus	563	777	0.724582
SOHO1	Aves	Psittaciformes	Strigops_habroptila	777	777	1
SOHO1	Aves	Struthioniformes	Struthio_camelus	360	777	0.46332
SOHO1	Aves	Passeriformes	Taeniopygia_guttata	777	777	1
SOHO1	Reptilia	Testudines	Terrapene_carolina	563	777	0.724582
HMX1	Aves	Anseriformes	Anas_platyrhynchos	819	819	1
HMX1	Lepidosauria	Squamata	Anolis_carolinensis	819	819	1
HMX1	Lepidosauria	Squamata	Anolis_sagrei	819	819	1
HMX1	Aves	Anseriformes	Anser_brachyrhynchus	819	819	1
HMX1	Aves	Accipitriformes	Aquila_chrysaetos	819	819	1
HMX1	Reptilia	Testudines	Chelonoidis_abingdonii	819	819	1
HMX1	Reptilia	Testudines	Chrysemys_picta	819	819	1
HMX1	Aves	Galliformes	Coturnix_japonica	819	819	1
HMX1	Reptilia	Crocodylia	Crocodylus_porosus	819	819	1
HMX1	Lepidosauria	Squamata	Eublepharis_macularius	819	819	1
HMX1	Lepidosauria	Squamata	Euleptes_europaea	819	819	1
HMX1	Aves	Passeriformes	Ficedula_albicollis	569	819	0.69475
HMX1	Aves	Passeriformes	Geospiza_fortis	819	819	1
HMX1	Reptilia	Testudines	Gopherus_evgoodei	819	819	1
HMX1	Lepidosauria	Squamata	Laticauda_laticaudata	569	819	0.69475
HMX1	Actinistia	Coelacanthiformes	Latimeria_chalumnae	707	819	0.863248
HMX1	Aves	Galliformes	Meleagris_gallopavo	649	819	0.79243
HMX1	Lepidosauria	Squamata	Naja_naja	819	819	1
HMX1	Lepidosauria	Squamata	Notechis_scutatus	819	819	1
