NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
102491737	Tupaia chinensis	FCSK	XM_027773511.1	4043	XP_027629312.1	1114
103186660	Callorhinchus milii	fcsk	XR_488790.2	3538		
103186660	Callorhinchus milii	fcsk	XM_007905831.2	3904	XP_007904022.1	1123
103379717	Cynoglossus semilaevis	fcsk	XM_025055999.1	4015	XP_024911767.1	1105
103598318	Galeopterus variegatus	FCSK	XM_008582316.1	3916	XP_008580538.1	1079
106855829	Sturnus vulgaris	FCSK	XM_014880776.1	3143	XP_014736262.1	993
106855829	Sturnus vulgaris	FCSK	XR_001403442.1	3462		
106855829	Sturnus vulgaris	FCSK	XR_001403441.1	3522		
106855829	Sturnus vulgaris	FCSK	XM_014880774.1	3204	XP_014736260.1	1013
110300446	Mus caroli	Fcsk	XM_021170630.1	3858	XP_021026289.1	1090
110300446	Mus caroli	Fcsk	XM_029480363.1	3771	XP_029336223.1	1076
111152994	Enhydra lutris kenyoni	FCSK	XM_022511786.1	3975	XP_022367494.1	1079
111152994	Enhydra lutris kenyoni	FCSK	XM_022511785.1	3435	XP_022367493.1	1086
111179534	Delphinapterus leucas	FCSK	XM_022583221.1	4011	XP_022438929.1	1083
111179534	Delphinapterus leucas	FCSK	XM_022583224.2	4105	XP_022438932.1	1057
111179534	Delphinapterus leucas	FCSK	XM_022583225.1	4081	XP_022438933.1	1049
111179534	Delphinapterus leucas	FCSK	XM_022583223.2	4105	XP_022438931.1	1057
111179534	Delphinapterus leucas	FCSK	XM_022583219.2	4182	XP_022438927.1	1083
111179534	Delphinapterus leucas	FCSK	XM_022583222.1	4158	XP_022438930.1	1075
111179534	Delphinapterus leucas	FCSK	XM_022583220.2	4938	XP_022438928.1	1083
112218386	Oncorhynchus tshawytscha	fcsk	XM_024379130.2	4605	XP_024234898.1	1076
114793970	Denticeps clupeoides	fcsk	XM_028986192.1	4179	XP_028842025.1	904
114793970	Denticeps clupeoides	fcsk	XM_028986190.1	4264	XP_028842023.1	985
114793970	Denticeps clupeoides	fcsk	XM_028986189.1	5435	XP_028842022.1	1078
114793970	Denticeps clupeoides	fcsk	XM_028986191.1	2941	XP_028842024.1	916
114793970	Denticeps clupeoides	fcsk	XM_028986193.1	2732	XP_028842026.1	872
115551095	Gadus morhua	fcsk	XM_030366623.1	3473	XP_030222483.1	1136
115551095	Gadus morhua	fcsk	XM_030366629.1	3406	XP_030222489.1	1088
115551095	Gadus morhua	fcsk	XM_030366625.1	3437	XP_030222485.1	1088
115551095	Gadus morhua	fcsk	XM_030366628.1	3435	XP_030222488.1	1088
115551095	Gadus morhua	fcsk	XM_030366626.1	3431	XP_030222486.1	1088
115551095	Gadus morhua	fcsk	XM_030366624.1	4143	XP_030222484.1	1088
