Group	Order	Species_name	Species	Num_Gaps	Species	FCSK_COG4	FCSK_SF3B3	FCSK_MTSS2	FCSK_VAC14	FCSK_HYDIN	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	COG4_HYDIN	SF3B3_MTSS2	SF3B3_VAC14	SF3B3_HYDIN	MTSS2_VAC14	MTSS2_HYDIN	VAC14_HYDIN	
Mammalia	Carnivora	Acinonyx_jubatus	Acinonyx_jubatus	0	Acinonyx_jubatus	1404	32668	163835	187221	294614	4255	135422	158808	266201	88558	111944	219337	2110	109503	6306	
Mammalia	Rodentia	Acomys_russatus	Acomys_russatus	0	Acomys_russatus	1057	43408	144796	163224	277908	2821	104209	122637	237321	63582	82010	196694	1716	116400	7970	
Mammalia	Carnivora	Ailuropoda_melanoleuca	Ailuropoda_melanoleuca	36	Ailuropoda_melanoleuca	1434	31109	142508	162874	266144	4194	115593	135959	239229	67484	87850	191120	6390	109660	3270	
	Crocodylia	Alligator_mississippiensis	Alligator_mississippiensis	0	Alligator_mississippiensis	3982	36569	4072121	3849949	3441058	1962	4037514	3815342	3406451	3987177	3765005	3356114	15667	232116	9944	
Chondrichthyes	Rajiformes	Amblyraja_radiata	Amblyraja_radiata	0	Amblyraja_radiata	5572	53060	241117	404349	713242	11468	199525	362757	864006	148556	311788	911494	34863	1099551	1262783	
Amphibia	Caudata	Ambystoma_mexicanum	Ambystoma_mexicanum	1	Ambystoma_mexicanum	73334	1132386	2710784	3516331	5638678	75452	1653850	2459397	4581744	951660	1757207	3879554	376168	2498515	128311	
Actinopteri	Amiiformes	Amia_calva	Amia_calva	0	Amia_calva	1085	9998	2165170	2118735	1140240	1493	2175178	2128743	1150248	2184091	2137656	1159161	4367	908151	861716	
Aves	Anseriformes	Anas_acuta	Anas_acuta	0	Anas_acuta	1085	14444	51270	62323	103777	577	37403	48456	89910	11794	22847	64301	2900	44354	424	
Aves	Anseriformes	Anas_platyrhynchos	Anas_platyrhynchos	0	Anas_platyrhynchos	1125	15194	52156	63362	104498	584	37546	48752	89888	11999	23205	64341	2868	44004	423	
Lepidosauria	Squamata	Anolis_carolinensis	Anolis_carolinensis	0	Anolis_carolinensis	1063	17263	48582	93084	167416	1852	33171	77673	152005	5159	49661	123993	4324	78656	2475	
Lepidosauria	Squamata	Anolis_sagrei	Anolis_sagrei	0	Anolis_sagrei	1568	31053	84055	156681	262690	3060	56062	128688	234697	7180	79806	185815	4929	110938	8491	
Aves	Anseriformes	Anser_cygnoides	Anser_cygnoides	0	Anser_cygnoides	1112	16754	53320	64532	114575	580	37146	48358	98401	11818	23030	73073	4287	54330	380	
Aves	Passeriformes	Aphelocoma_coerulescens	Aphelocoma_coerulescens	0	Aphelocoma_coerulescens	1417	16731	59196	73578	153664	1081	43546	57928	138014	14678	29060	109146	2652	82738	21402	
Mammalia	Rodentia	Apodemus_sylvaticus	Apodemus_sylvaticus	0	Apodemus_sylvaticus	1076	37886	146415	165732	274505	2540	111069	130386	239159	74741	94058	202831	1731	110504	9960	
Aves	Apterygiformes	Apteryx_mantelli	Apteryx_mantelli	0	Apteryx_mantelli	1942	20201	71255	91327	198658	1173	52227	72299	179630	21489	41561	148892	3889	111220	678	
Aves	Apodiformes	Apus_apus	Apus_apus	1	Apus_apus	1391	18169	49902	60065	119082	787	32520	42683	101700	140	10303	69320	7819	66836	2237	
Aves	Accipitriformes	Aquila_chrysaetos	Aquila_chrysaetos	0	Aquila_chrysaetos	1552	17954	63635	78276	143017	1192	46873	61514	126255	17205	31846	96587	2822	67563	283	
Mammalia	Rodentia	Arvicanthis_niloticus	Arvicanthis_niloticus	0	Arvicanthis_niloticus	1130	36018	141654	160863	272873	2573	108209	127418	239428	70147	89356	201366	1735	113745	9970	
Mammalia	Rodentia	Arvicola_amphibius	Arvicola_amphibius	0	Arvicola_amphibius	1144	36995	138247	157820	279262	2615	103867	123440	244882	65281	84854	206296	1785	123227	6686	
Aves	Anseriformes	Aythya_fuligula	Aythya_fuligula	0	Aythya_fuligula	1083	15230	49788	60827	106389	588	35146	46185	91747	11091	22130	67692	2931	48493	417	
Mammalia	Artiodactyla	Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	0	Balaenoptera_acutorostrata	1363	31591	153126	173897	379031	2872	124407	145178	350312	74439	95210	300344	2144	207278	107154	
Mammalia	Artiodactyla	Balaenoptera_musculus	Balaenoptera_musculus	0	Balaenoptera_musculus	1363	30950	148108	168883	373043	3196	120354	141129	345289	72961	93736	297896	2150	206310	106742	
Amphibia	Anura	Bombina_bombina	Bombina_bombina	0	Bombina_bombina	61297	177977	657162	1027361	1491921	2965	482150	852349	1316909	413096	783295	1247855	129412	593972	92720	
Mammalia	Artiodactyla	Bos_mutus	Bos_mutus	0	Bos_mutus	1242	29690	135805	156360	38198745	3573	109688	130243	38212430	70923	91478	38240878	1450	38346993	38367548	
Mammalia	Artiodactyla	Bubalus_bubalis	Bubalus_bubalis	5	Bubalus_bubalis	1243	29472	135982	156518	38111602	3552	110062	130598	38125349	71349	91885	38153578	1626	38260088	38280624	
Mammalia	Artiodactyla	Budorcas_taxicolor	Budorcas_taxicolor	0	Budorcas_taxicolor	1237	29792	136564	155171	37892450	3582	110354	128961	37906065	71515	90122	37934620	1580	38041392	38059999	
