Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Acanthochromis_polyacanthus	EBR	2877024	EBR	EBR	2301189	EBR	14087078	EBR	EBR	EBR	EBR	440027	EBR	EBR	EBR	
Acanthopagrus_latus	EBR	22910194	EBR	EBR	24703541	EBR	13134770	EBR	EBR	EBR	EBR	1765920	EBR	EBR	EBR	
Acinonyx_jubatus	1404	32668	163835	187221	294614	4255	135422	158808	266201	88558	111944	219337	2110	109503	6306	
Acomys_russatus	1057	43408	144796	163224	277908	2821	104209	122637	237321	63582	82010	196694	1716	116400	7970	
Ailuropoda_melanoleuca	1434	31109	142508	162874	266144	4194	115593	135959	239229	67484	87850	191120	6390	109660	3270	
Alligator_mississippiensis	3982	36569	4072121	3849949	3441058	1962	4037514	3815342	3406451	3987177	3765005	3356114	15667	232116	9944	
Alosa_alosa	EBR	6669208	EBR	1320489	5876783	EBR	EBR	EBR	EBR	EBR	7999971	703434	EBR	EBR	7207546	
Amblyraja_radiata	5572	53060	241117	404349	713242	11468	199525	362757	864006	148556	311788	911494	34863	1099551	1262783	
Ambystoma_mexicanum	73334	1132386	2710784	3516331	5638678	75452	1653850	2459397	4581744	951660	1757207	3879554	376168	2498515	128311	
Amia_calva	1085	9998	2165170	2118735	1140240	1493	2175178	2128743	1150248	2184091	2137656	1159161	4367	908151	861716	
Amphiprion_ocellaris	EBR	2804533	EBR	EBR	2201953	EBR	13238467	EBR	EBR	EBR	EBR	484867	EBR	EBR	EBR	
Anabas_testudineus	EBR	18503972	EBR	EBR	19492256	EBR	17186924	EBR	EBR	EBR	EBR	973652	EBR	EBR	EBR	
Anas_acuta	1085	14444	51270	62323	103777	577	37403	48456	89910	11794	22847	64301	2900	44354	424	
Anas_platyrhynchos	1125	15194	52156	63362	104498	584	37546	48752	89888	11999	23205	64341	2868	44004	423	
Anguilla_anguilla	EBR	EBR	EBR	EBR	EBR	2279	40577350	40494341	42059251	40547484	40464475	42029385	22682	1470694	1504583	
Anguilla_rostrata	EBR	EBR	EBR	EBR	EBR	2274	39642578	39571106	41206081	39610754	39539282	41174257	8375	1483384	1571878	
Anolis_carolinensis	1063	17263	48582	93084	167416	1852	33171	77673	152005	5159	49661	123993	4324	78656	2475	
Anolis_sagrei	1568	31053	84055	156681	262690	3060	56062	128688	234697	7180	79806	185815	4929	110938	8491	
Anoplopoma_fimbria	EBR	17259918	EBR	EBR	16287856	EBR	11993609	EBR	EBR	EBR	EBR	890904	EBR	EBR	EBR	
Anser_cygnoides	1112	16754	53320	64532	114575	580	37146	48358	98401	11818	23030	73073	4287	54330	380	
Aphelocoma_coerulescens	1417	16731	59196	73578	153664	1081	43546	57928	138014	14678	29060	109146	2652	82738	21402	
Apodemus_sylvaticus	1076	37886	146415	165732	274505	2540	111069	130386	239159	74741	94058	202831	1731	110504	9960	
