Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Karyotype.band	Gene.name	Transcript.count	Gene...GC.content	Chicken.paralogue.associated.gene.name	Chicken.paralogue.protein.or.transcript.ID	Chicken.paralogue.chromosome.scaffold.name	Chicken.paralogue.chromosome.scaffold.start..bp.	Chicken.paralogue.chromosome.scaffold.end..bp.	Paralogue.query.protein.or.transcript.ID	Paralogue.last.common.ancestor.with.Chicken	Chicken.paralogue.homology.type	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue..id..query.gene.identical.to.target.Chicken.gene	Paralogue.GC.content
	ENSGALG00010024587	NA	IL34	2	62.11				NA	NA				NA	NA	NA
	ENSGALG00010025248	NA	C11orf74	1	38.34				NA	NA				NA	NA	NA
	ENSGALG00010014320	NA	UTS2B	1	47.07				NA	NA				NA	NA	NA
	ENSGALG00010002679	NA	OLAH	2	38.27				NA	NA				NA	NA	NA
	ENSGALG00010023956	NA	KREMEN1	1	46.05				NA	NA				NA	NA	NA
	ENSGALG00010010931	NA	CYYR1	2	42.9				NA	NA				NA	NA	NA
	ENSGALG00010002820	NA	DLEU7	1	42.89				NA	NA				NA	NA	NA
ENSGALG00010000048	ENSGALG00010011487	NA	MAN2B2	4	39.28	MAN2A2	ENSGALP00010000044	10	20114399	20121975	ENSGALP00010015760	Bilateria	within_species_paralog	21.6834	20.2391	66.37
ENSGALG00010000049	ENSGALG00010028086	NA	MATK	1	62.86	FES	ENSGALP00010000048	10	20122118	20128147	ENSGALP00010041802	Bilateria	other_paralog	35.7942	18.244	65.22
ENSGALG00010000092	ENSGALG00010013213	NA	SH2D1A	1	44.27	INPPL1	ENSGALP00010000104	JAENSK010000033.1	10155	37183	ENSGALP00010018572	Opisthokonta	other_paralog	16.9355	2.63158	62.05
ENSGALG00010000221	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D10A	ENSGALP00010000229	15	10846708	10853815	ENSGALP00010015898	Opisthokonta	other_paralog	12.1678	17.505	65.88
ENSGALG00010000367	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B10	ENSGALP00010000393	JAENSK010000592.1	3651	8807	ENSGALP00010030578	Opisthokonta	other_paralog	19.5364	14.0143	63.14
ENSGALG00010000816	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D4	ENSGALP00010001005	1	155024438	155130011	ENSGALP00010015898	Opisthokonta	other_paralog	15.6643	8.75	41.2
ENSGALG00010001082	ENSGALG00010002439	NA	GPR82	1	33.4	P2RY1	ENSGALP00010001057	9	23074028	23080835	ENSGALP00010003453	Vertebrata	other_paralog	11.6279	10.8108	60.91
ENSGALG00010001111	ENSGALG00010002439	NA	GPR82	1	33.4	SUCNR1	ENSGALP00010001073	9	23146916	23149686	ENSGALP00010003453	Vertebrata	within_species_paralog	16.8605	18.2965	55.68
ENSGALG00010001127	ENSGALG00010003718	NA	SIAH3	1	45.47	SIAH2	ENSGALP00010001111	9	23322717	23327566	ENSGALP00010005016	Bilateria	other_paralog	45.0413	34.1693	51.9
ENSGALG00010001163	ENSGALG00010004070	NA	ARL11	4	47.21	ARL14	ENSGALP00010001204	9	21813523	21832173	ENSGALP00010005581	Opisthokonta	other_paralog	34.1709	35.0515	41.24
ENSGALG00010001305	ENSGALG00010001486	NA	WNT2	2	50.63	WNT16	ENSGALP00010001555	1	23406841	23419250	ENSGALP00010001879	Bilateria	other_paralog	38.2979	36.7347	46.12
ENSGALG00010001450	ENSGALG00010018057	NA	SSTR4	3	56.14	GPR149	ENSGALP00010001806	9	22870645	22891855	ENSGALP00010025982	Bilateria	other_paralog	16.4141	8.99032	43.3
ENSGALG00010001483	ENSGALG00010013323	NA	NOTCH2	6	45.54		ENSGALP00010001878	3	84423395	85266995	ENSGALP00010018891	Bilateria	other_paralog	20.6826	18.6158	36.15
ENSGALG00010001484	ENSGALG00010028086	NA	MATK	1	62.86	BMX	ENSGALP00010001873	1	122062846	122095477	ENSGALP00010041802	Bilateria	other_paralog	28.8591	20.5087	38.82
ENSGALG00010001517	ENSGALG00010019451	NA	CAV3	1	55.39	CAV2	ENSGALP00010001950	1	25235364	25244372	ENSGALP00010027921	Bilateria	within_species_paralog	35.0993	32.9193	42.41
ENSGALG00010001521	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D5	ENSGALP00010001954	2	34555270	34859863	ENSGALP00010015898	Opisthokonta	other_paralog	8.53147	7.36715	36.19
ENSGALG00010001642	ENSGALG00010021206	NA	HSD17B1	1	70.88		ENSGALP00010002109	16	2346594	2361147	ENSGALP00010030578	Opisthokonta	other_paralog	21.1921	23.3577	64.79
ENSGALG00010001647	ENSGALG00010004070	NA	ARL11	4	47.21	ARL8BL	ENSGALP00010002120	1	22229861	22257759	ENSGALP00010005581	Opisthokonta	other_paralog	24.6231	23.5577	39.97
ENSGALG00010001657	ENSGALG00010029597	NA	ADAP2	1	44.72	SMAP1	ENSGALP00010002133	3	82242649	82337390	ENSGALP00010044237	Opisthokonta	other_paralog	24.7253	19.0275	40.18
ENSGALG00010001700	ENSGALG00010021206	NA	HSD17B1	1	70.88		ENSGALP00010002204	16	2411753	2425693	ENSGALP00010030578	Opisthokonta	other_paralog	18.2119	24.7748	64.67
ENSGALG00010001729	ENSGALG00010004835	NA	HHLA2	8	41.49	MOG	ENSGALP00010002271	2	97694269	97764419	ENSGALP00010006358	Gnathostomata	other_paralog	11.054	12.6844	41.55
ENSGALG00010001771	ENSGALG00010002400	NA	RBBP7	2	41.43	WDR73	ENSGALP00010002340	1	194382769	194391498	ENSGALP00010003348	Opisthokonta	other_paralog	10.6132	10.2041	60.62
ENSGALG00010001800	ENSGALG00010005979	NA	SUV39H2	1	40.21		ENSGALP00010002396	MU179263.1	137491	189912	ENSGALP00010008397	Opisthokonta	other_paralog	14.9877	4.38533	60.7
ENSGALG00010001805	ENSGALG00010011597	NA	TBC1D14	4	40.66		ENSGALP00010002406	MU179263.1	191833	201496	ENSGALP00010015898	Opisthokonta	other_paralog	8.11189	6.92951	65.14
ENSGALG00010001831	ENSGALG00010018665	NA	IL13RA2	5	48.98	CSF2RA	ENSGALP00010002468	1	129267256	129306964	ENSGALP00010026971	Vertebrata	other_paralog	12.4498	7.90816	39.38
ENSGALG00010001831	ENSGALG00010020457	NA	IL5RA	3	42.94	CSF2RA	ENSGALP00010002468	1	129267256	129306964	ENSGALP00010029247	Vertebrata	other_paralog	14.8585	8.03571	39.38
ENSGALG00010001839	ENSGALG00010018665	NA	IL13RA2	5	48.98		ENSGALP00010002482	1	129306484	129321302	ENSGALP00010026971	Vertebrata	other_paralog	8.83534	14.7651	36.59
ENSGALG00010001839	ENSGALG00010020457	NA	IL5RA	3	42.94		ENSGALP00010002482	1	129306484	129321302	ENSGALP00010029247	Vertebrata	other_paralog	11.0849	15.7718	36.59
ENSGALG00010001842	ENSGALG00010016990	NA	GPR78	1	42.45	GPR26	ENSGALP00010002489	6	32505368	32525594	ENSGALP00010023985	Gnathostomata	within_species_paralog	62.2419	58.7744	42.21
