Human.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Human.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Human.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
ENSG00000002745	ENSG00000105989	WNT2	42.27	39	38.61	42.27	20	38.61	30	[25,50)	25–50%	25–50%
ENSG00000006047	ENSG00000060138	YBX3	39.09	42	58.02	39.09	11	58.02	179	[25,50)	25–50%	25–50%
ENSG00000010671	ENSG00000007264	MATK	54.4	29	43.18	54.4	34	43.18	98	[25,50)	25–50%	25–50%
ENSG00000011454	ENSG00000132405	TBC1D14	49.5	19	38.49	49.5	30	38.49	26	[0,25)	0–25%	0–25%
ENSG00000012660	ENSG00000119915	ELOVL3	52.24	23	41.88	52.24	31	41.88	78	[0,25)	0–25%	0–25%
ENSG00000025423	ENSG00000108786	HSD17B1	56.95	21	44.92	56.95	37	44.92	107	[0,25)	0–25%	0–25%
ENSG00000065882	ENSG00000132405	TBC1D14	49.5	18	42.84	49.5	30	42.84	93	[0,25)	0–25%	0–25%
ENSG00000065923	ENSG00000135740	SLC9A5	52.62	19	41.06	52.62	32	41.06	67	[0,25)	0–25%	0–25%
ENSG00000065978	ENSG00000060138	YBX3	39.09	50	40.63	39.09	11	40.63	59	[50,75)	50–75%	50–75%
ENSG00000066084	ENSG00000160305	DIP2A	44.88	72	41.84	44.88	25	41.84	76	[50,75)	50–75%	50–75%
ENSG00000066230	ENSG00000135740	SLC9A5	52.62	49	61.24	52.62	32	61.24	195	[25,50)	25–50%	25–50%
ENSG00000066322	ENSG00000119915	ELOVL3	52.24	23	58.76	52.24	31	58.76	182	[0,25)	0–25%	0–25%
ENSG00000067208	ENSG00000132405	TBC1D14	49.5	13	38.19	49.5	30	38.19	22	[0,25)	0–25%	0–25%
ENSG00000067221	ENSG00000133115	STOML3	38.23	29	52.84	38.23	8	52.84	149	[25,50)	25–50%	25–50%
ENSG00000073737	ENSG00000108786	HSD17B1	56.95	20	39.63	56.95	37	39.63	43	[0,25)	0–25%	0–25%
ENSG00000074181	ENSG00000134250	NOTCH2	39.74	49	54.88	39.74	12	54.88	164	[25,50)	25–50%	25–50%
ENSG00000074966	ENSG00000007264	MATK	54.4	29	39.54	54.4	34	39.54	41	[25,50)	25–50%	25–50%
ENSG00000077454	ENSG00000136141	LRCH1	40.02	37	60.34	40.02	14	60.34	192	[25,50)	25–50%	25–50%
ENSG00000079805	ENSG00000197959	DNM3	37.28	80	53.08	37.28	5	53.08	150	[75,100]	75–100%	75–100%
ENSG00000080511	ENSG00000108786	HSD17B1	56.95	41	50.99	56.95	37	50.99	139	[25,50)	25–50%	25–50%
ENSG00000082556	ENSG00000132671	SSTR4	66.53	33	42.01	66.53	39	42.01	82	[25,50)	25–50%	25–50%
ENSG00000084070	ENSG00000184060	ADAP2	48.03	22	41.95	48.03	29	41.95	80	[0,25)	0–25%	0–25%
ENSG00000085741	ENSG00000105989	WNT2	42.27	34	57.84	42.27	20	57.84	178	[25,50)	25–50%	25–50%
ENSG00000086696	ENSG00000108786	HSD17B1	56.95	18	42.39	56.95	37	42.39	87	[0,25)	0–25%	0–25%
ENSG00000087470	ENSG00000197959	DNM3	37.28	34	38.21	37.28	5	38.21	23	[25,50)	25–50%	25–50%
ENSG00000089060	ENSG00000074621	SLC24A1	44.73	11	49.93	44.73	23	49.93	131	[0,25)	0–25%	0–25%
ENSG00000090020	ENSG00000135740	SLC9A5	52.62	32	51.7	52.62	32	51.7	141	[25,50)	25–50%	25–50%
ENSG00000090932	ENSG00000134250	NOTCH2	39.74	7	56.84	39.74	12	56.84	174	[0,25)	0–25%	0–25%
ENSG00000091181	ENSG00000123496	IL13RA2	35.57	21	41.97	35.57	2	41.97	81	[0,25)	0–25%	0–25%
ENSG00000100077	ENSG00000125388	GRK4	46.38	35	40.6	46.38	27	40.6	58	[25,50)	25–50%	25–50%
ENSG00000100612	ENSG00000108786	HSD17B1	56.95	20	39.65	56.95	37	39.65	45	[0,25)	0–25%	0–25%
ENSG00000101049	ENSG00000125388	GRK4	46.38	22	49.23	46.38	27	49.23	126	[0,25)	0–25%	0–25%
ENSG00000101384	ENSG00000134250	NOTCH2	39.74	14	47.45	39.74	12	47.45	115	[0,25)	0–25%	0–25%
ENSG00000101945	ENSG00000152455	SUV39H2	39.96	59	54.34	39.96	13	54.34	162	[50,75)	50–75%	50–75%
ENSG00000102010	ENSG00000007264	MATK	54.4	29	38.8	54.4	34	38.8	33	[25,50)	25–50%	25–50%
ENSG00000102024	ENSG00000136167	LCP1	40.21	80	38.9	40.21	16	38.9	35	[75,100]	75–100%	75–100%
ENSG00000103653	ENSG00000007264	MATK	54.4	46	56.61	54.4	34	56.61	173	[25,50)	25–50%	25–50%
ENSG00000103855	ENSG00000114455	HHLA2	39.01	19	52.51	39.01	10	52.51	147	[0,25)	0–25%	0–25%
ENSG00000104205	ENSG00000125388	GRK4	46.38	22	40.12	46.38	27	40.12	50	[0,25)	0–25%	0–25%
ENSG00000104611	ENSG00000027869	SH2D2A	55.56	13	42.64	55.56	36	42.64	92	[0,25)	0–25%	0–25%
ENSG00000104774	ENSG00000013288	MAN2B2	54.58	27	53.74	54.58	35	53.74	154	[25,50)	25–50%	25–50%
