Gene stable ID	Karyotype band	Gene name	Transcript count	Gene % GC content	Human paralogue gene stable ID	Human paralogue associated gene name	Human paralogue protein or transcript ID	Human paralogue chromosome/scaffold name	Human paralogue chromosome/scaffold start (bp)	Human paralogue chromosome/scaffold end (bp)	Paralogue query protein or transcript ID	Paralogue last common ancestor with Human	Human paralogue homology type	Paralogue %id. target Human gene identical to query gene	Paralogue %id. query gene identical to target Human gene	Paralogue dN with Human	Paralogue dS with Human
ENSG00000091181	p26.2	IL5RA	12	41.79	ENSG00000123496	IL13RA2	ENSP00000361004	X	114238538	114254540	ENSP00000412209	Euteleostomi	within_species_paralog	19	21	1.1217	2.8344
ENSG00000091181	p26.2	IL5RA	12	41.79	ENSG00000131724	IL13RA1	ENSP00000360730	X	117861535	117928502	ENSP00000412209	Euteleostomi	within_species_paralog	19	19	1.2	3.1658
ENSG00000183762	q12.1	KREMEN1	7	45.49	ENSG00000131650	KREMEN2	ENSP00000304422	16	3013945	3018384	ENSP00000331242	Euteleostomi	within_species_paralog	34	36	0.6009	30.0627
ENSG00000074621	q22.31	SLC24A1	12	44.73	ENSG00000155886	SLC24A2	ENSP00000344801	9	19507450	19786926	ENSP00000261892	Euteleostomi	within_species_paralog	33	55	0.3457	11.1168
ENSG00000074621	q22.31	SLC24A1	12	44.73	ENSG00000089060	SLC8B1	ENSP00000447091	12	113736564	113797298	ENSP00000261892	Bilateria	other_paralog	11	21	1.0273	61.6287
ENSG00000074621	q22.31	SLC24A1	12	44.73	ENSG00000140090	SLC24A4	ENSP00000431840	14	92788925	92962596	ENSP00000261892	Bilateria	other_paralog	19	34	0.6056	67.7275
ENSG00000074621	q22.31	SLC24A1	12	44.73	ENSG00000188467	SLC24A5	ENSP00000341550	15	48413169	48434869	ENSP00000261892	Bilateria	other_paralog	16	34	0.6669	17.7359
ENSG00000074621	q22.31	SLC24A1	12	44.73	ENSG00000185052	SLC24A3	ENSP00000333519	20	19193290	19703581	ENSP00000261892	Bilateria	other_paralog	20	34	0.6642	67.3415
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000073737	DHRS9	ENSP00000316670	2	169921299	169952677	ENSP00000466799	Opisthokonta	other_paralog	20	21	1.0674	25.7062
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000184544	DHRS7C	ENSP00000327975	17	9674751	9694614	ENSP00000466799	Bilateria	other_paralog	17	18	1.0863	73.6618
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000109016	DHRS7B	ENSP00000378887	17	21026677	21096578	ENSP00000466799	Bilateria	other_paralog	20	20	0.9647	65.5834
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000119537	KDSR	ENSP00000385083	18	60994959	61034743	ENSP00000466799	Bilateria	within_species_paralog	20	19	1.2111	60.5611
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000176387	HSD11B2	ENSP00000316786	16	67464555	67471456	ENSP00000466799	Opisthokonta	other_paralog	23	19	0.9645	71.1961
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000086696	HSD17B2	ENSP00000199936	16	82068609	82132139	ENSP00000466799	Opisthokonta	other_paralog	18	16	1.2503	63.3115
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000161267	BDH1	ENSP00000376184	3	197236654	197300194	ENSP00000466799	Opisthokonta	other_paralog	22	21	0.9717	7.4867
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000135437	RDH5	ENSP00000257895	12	56114151	56118489	ENSP00000466799	Opisthokonta	other_paralog	23	24	0.8821	11.7432
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000025423	HSD17B6	ENSP00000451406	12	57145945	57181574	ENSP00000466799	Opisthokonta	other_paralog	21	22	0.9176	64.3405
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000170426	SDR9C7	ENSP00000293502	12	57316938	57328189	ENSP00000466799	Opisthokonta	other_paralog	25	26	0.8805	11.1541
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000139547	RDH16	ENSP00000381206	12	57345219	57353158	ENSP00000466799	Opisthokonta	other_paralog	25	26	0.8491	7.5717
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000100612	DHRS7	ENSP00000216500	14	60610838	60636574	ENSP00000466799	Bilateria	other_paralog	20	20	1.1947	62.8043
ENSG00000108786	q21.2	HSD17B1	5	56.95	ENSG00000080511	RDH8	ENSP00000466058	19	10123925	10132955	ENSP00000466799	Euteleostomi	within_species_paralog	41	40	0.5175	72.0569
ENSG00000102054	p22.2	RBBP7	12	42.25	ENSG00000162521	RBBP4	ENSP00000362592	1	33116743	33151812	ENSP00000369424	Bilateria	within_species_paralog	81	89	0.0629	23.7213
ENSG00000102054	p22.2	RBBP7	12	42.25	ENSG00000143207	RFWD2	ENSP00000356641	1	175913967	176176629	ENSP00000369424	Bilateria	within_species_paralog	24	16	0.9739	33.3185
ENSG00000182533	p25.3	CAV3	3	43.72	ENSG00000105971	CAV2	ENSP00000222693	7	115927434	116148595	ENSP00000341940	Bilateria	within_species_paralog	32	30	0.7881	4.2482
ENSG00000182533	p25.3	CAV3	3	43.72	ENSG00000105974	CAV1	ENSP00000339191	7	116164839	116201233	ENSP00000341940	Euteleostomi	within_species_paralog	61	52	0.2531	2.996
ENSG00000059145	p13.3	UNKL	19	57.82	ENSG00000132478	UNK	ENSP00000464893	17	73780681	73821886	ENSP00000373873	Vertebrata	within_species_paralog	56	47	0.3068	5.664
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000157219	HTR5A	ENSP00000287907	7	154862034	154877459	ENSP00000306662	Bilateria	other_paralog	20	29	0.6577	86.8452
