Gene stable ID	Gene % GC content	Gene name
ENSG00000002745	38.61	WNT16
ENSG00000006047	58.02	YBX2
ENSG00000010671	43.18	BTK
ENSG00000011454	38.49	RABGAP1
ENSG00000012660	41.88	ELOVL5
ENSG00000025423	44.92	HSD17B6
ENSG00000065882	42.84	TBC1D1
ENSG00000065923	41.06	SLC9A7
ENSG00000065978	40.63	YBX1
ENSG00000066084	41.84	DIP2B
ENSG00000066230	61.24	SLC9A3
ENSG00000066322	58.76	ELOVL1
ENSG00000067208	38.19	EVI5
ENSG00000067221	52.84	STOML1
ENSG00000073737	39.63	DHRS9
ENSG00000074181	54.88	NOTCH3
ENSG00000074966	39.54	TXK
ENSG00000077454	60.34	LRCH4
ENSG00000079805	53.08	DNM2
ENSG00000080511	50.99	RDH8
ENSG00000082556	42.01	OPRK1
ENSG00000084070	41.95	SMAP2
ENSG00000085741	57.84	WNT11
ENSG00000086696	42.39	HSD17B2
ENSG00000087470	38.21	DNM1L
ENSG00000089060	49.93	SLC8B1
ENSG00000090020	51.70	SLC9A1
ENSG00000090932	56.84	DLL3
ENSG00000091181	41.97	IL5RA
ENSG00000100077	40.60	GRK3
ENSG00000100612	39.65	DHRS7
ENSG00000101049	49.23	SGK2
ENSG00000101384	47.45	JAG1
ENSG00000101945	54.34	SUV39H1
ENSG00000102010	38.80	BMX
ENSG00000102024	38.90	PLS3
ENSG00000103653	56.61	CSK
ENSG00000103855	52.51	CD276
ENSG00000104205	40.12	SGK3
ENSG00000104611	42.64	SH2D4A
ENSG00000104774	53.74	MAN2B1
ENSG00000105221	53.61	AKT2
ENSG00000105963	60.61	ADAP1
ENSG00000105971	37.86	CAV2
ENSG00000105974	41.69	CAV1
ENSG00000106976	54.26	DNM1
ENSG00000108239	38.52	TBC1D12
ENSG00000108379	53.82	WNT3
ENSG00000108443	41.68	RPS6KB1
ENSG00000109016	44.22	DHRS7B
ENSG00000109685	47.15	NSD2
ENSG00000111186	47.53	WNT5B
ENSG00000112038	38.81	OPRM1
ENSG00000112305	37.73	SMAP1
ENSG00000112893	36.47	MAN2A1
ENSG00000113263	41.46	ITK
ENSG00000114124	44.97	GRK7
ENSG00000114251	48.49	WNT5A
ENSG00000115596	55.94	WNT6
ENSG00000115616	40.53	SLC9A2
ENSG00000116014	69.78	KISS1R
ENSG00000116218	41.64	NPHS2
ENSG00000116329	50.13	OPRD1
ENSG00000116539	41.42	ASH1L
ENSG00000117020	37.34	AKT3
ENSG00000118402	36.63	ELOVL4
ENSG00000118515	42.27	SGK1
ENSG00000119537	42.04	KDSR
ENSG00000120162	41.88	MOB3B
ENSG00000120733	43.14	KDM3B
ENSG00000120756	38.52	PLS1
ENSG00000120907	41.26	ADRA1A
ENSG00000122477	36.25	LRRC39
ENSG00000122644	42.63	ARL4A
ENSG00000123496	35.57	IL13RA2
ENSG00000125084	62.64	WNT1
ENSG00000125510	60.24	OPRL1
ENSG00000125522	62.54	NPBWR2
ENSG00000128285	55.65	MCHR1
ENSG00000128310	66.11	GALR3
ENSG00000128917	57.10	DLL4
ENSG00000130224	37.13	LRCH2
ENSG00000131650	66.94	KREMEN2
ENSG00000131724	40.57	IL13RA1
ENSG00000132478	50.85	UNK
ENSG00000133059	43.60	DSTYK
ENSG00000134245	44.59	WNT2B
ENSG00000134258	42.41	VTCN1
ENSG00000134376	36.53	CRB1
ENSG00000135312	49.42	HTR1B
ENSG00000135437	52.34	RDH5
ENSG00000135605	40.43	TEC
ENSG00000136111	38.11	TBC1D4
ENSG00000136169	37.45	SETDB2
ENSG00000138271	39.86	GPR87
ENSG00000138759	39.77	FRAS1
ENSG00000139547	49.87	RDH16
ENSG00000139874	54.26	SSTR1
ENSG00000140090	47.94	SLC24A4
ENSG00000142208	64.09	AKT1
ENSG00000142459	58.04	EVI5L
ENSG00000142961	54.13	MOB3C
ENSG00000143207	36.30	COP1
ENSG00000143379	44.16	SETDB1
ENSG00000147548	38.79	NSD3
ENSG00000148175	39.57	STOM
ENSG00000148204	59.51	CRB2
ENSG00000148356	51.44	LRSAM1
ENSG00000148400	63.46	NOTCH1
ENSG00000148680	40.72	HTR7
ENSG00000150594	59.71	ADRA2A
ENSG00000151240	48.43	DIP2C
ENSG00000151422	35.73	FER
ENSG00000152034	37.88	MCHR2
ENSG00000152061	37.91	RABGAP1L
ENSG00000152217	42.22	SETBP1
ENSG00000154342	52.51	WNT3A
ENSG00000154478	50.15	GPR26
ENSG00000154764	51.83	WNT7A
ENSG00000155886	39.73	SLC24A2
ENSG00000157219	41.84	HTR5A
ENSG00000157601	47.98	MX1
ENSG00000161267	48.52	BDH1
ENSG00000162009	63.67	SSTR5
ENSG00000162521	42.94	RBBP4
ENSG00000162552	57.71	WNT4
ENSG00000162804	50.87	SNED1
ENSG00000163827	43.18	LRRC2
ENSG00000164181	39.18	ELOVL7
ENSG00000164946	39.43	FREM1
ENSG00000165283	53.10	STOML2
ENSG00000165359	38.59	INTS6L
ENSG00000165383	43.91	LRRC18
ENSG00000165671	42.57	NSD1
ENSG00000166573	44.37	GALR1
ENSG00000168453	61.32	HR
ENSG00000168830	38.43	HTR1E
ENSG00000169313	35.65	P2RY12
ENSG00000170364	40.20	SETMAR
ENSG00000170426	47.72	SDR9C7
ENSG00000170522	39.87	ELOVL6
ENSG00000170899	40.89	GSTA4
ENSG00000171462	57.38	DLK2
ENSG00000171659	38.35	GPR34
ENSG00000171873	51.78	ADRA1D
ENSG00000171988	38.11	JMJD1C
ENSG00000172081	55.69	MOB3A
ENSG00000173020	60.92	GRK2
ENSG00000173542	40.16	MOB1B
ENSG00000173546	59.29	CSPG4
ENSG00000174156	42.26	GSTA3
ENSG00000174944	39.33	P2RY14
ENSG00000174946	36.86	GPR171
ENSG00000175634	58.79	RPS6KB2
ENSG00000175906	55.94	ARL4D
ENSG00000176387	59.84	HSD11B2
ENSG00000177595	62.59	PIDD1
ENSG00000178078	54.12	STAP2
ENSG00000178217	45.00	SH2D4B
ENSG00000178394	51.90	HTR1A
ENSG00000179097	36.31	HTR1F
ENSG00000179546	48.98	HTR1D
ENSG00000179674	38.71	ARL14
ENSG00000180251	40.97	SLC9A4
ENSG00000180616	47.17	SSTR2
ENSG00000180979	43.17	LRRC57
ENSG00000181090	49.24	EHMT1
ENSG00000181433	41.47	SAGE1
ENSG00000181555	40.27	SETD2
ENSG00000181631	37.46	P2RY13
ENSG00000181788	44.98	SIAH2
ENSG00000181804	39.27	SLC9A9
ENSG00000182208	54.17	MOB2
ENSG00000182511	59.18	FES
ENSG00000182687	64.56	GALR2
ENSG00000182793	42.61	GSTA5
ENSG00000183090	39.50	FREM3
ENSG00000183476	48.94	SH2D7
ENSG00000183486	49.70	MX2
ENSG00000184160	69.62	ADRA2C
ENSG00000184544	47.73	DHRS7C
ENSG00000184916	65.88	JAG2
ENSG00000185052	43.88	SLC24A3
ENSG00000185559	55.89	DLK1
ENSG00000185974	60.29	GRK1
ENSG00000186001	40.91	LRCH3
ENSG00000187957	41.04	DNER
ENSG00000188042	50.41	ARL4C
ENSG00000188064	60.21	WNT7B
ENSG00000188467	35.31	SLC24A5
ENSG00000196470	45.20	SIAH1
ENSG00000196547	55.30	MAN2A2
ENSG00000197818	45.56	SLC9A8
ENSG00000197977	39.63	ELOVL2
ENSG00000198055	54.65	GRK6
ENSG00000198574	41.40	SH2D1B
ENSG00000198689	40.97	SLC9A6
ENSG00000198719	53.53	DLL1
ENSG00000198812	50.09	LRRC10
ENSG00000198873	50.47	GRK5
ENSG00000204301	51.81	NOTCH4
ENSG00000204371	53.84	EHMT2
ENSG00000204950	67.71	LRRC10B
ENSG00000206422	58.26	LRRC30
ENSG00000228836	42.86	CT45A5
ENSG00000243955	40.45	GSTA1
ENSG00000244067	40.73	GSTA2
ENSG00000269242	56.43	
ENSG00000269590	56.41	
