NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
101914930	Falco peregrinus	PTPRU	XM_055798450.1	7637	XP_055654425.1	1450
101914930	Falco peregrinus	PTPRU	XM_055798453.1	7606	XP_055654428.1	1440
101914930	Falco peregrinus	PTPRU	XM_055798451.1	7618	XP_055654426.1	1444
101914930	Falco peregrinus	PTPRU	XM_055798454.1	7587	XP_055654429.1	1434
102026069	Chinchilla lanigera	Ptpru	XM_005394989.2	5570	XP_005395046.1	1446
102026069	Chinchilla lanigera	Ptpru	XM_005394992.2	5540	XP_005395049.1	1436
102026069	Chinchilla lanigera	Ptpru	XM_013519598.1	5534	XP_013375052.1	1434
102026069	Chinchilla lanigera	Ptpru	XM_005394993.2	5531	XP_005395050.1	1433
102026069	Chinchilla lanigera	Ptpru	XM_013519600.1	5386	XP_013375054.1	1418
102026069	Chinchilla lanigera	Ptpru	XM_013519599.1	6324	XP_013375053.1	1419
102272560	Bos mutus	PTPRU	XM_070384323.1	5569	XP_070240424.1	1436
110206195	Phascolarctos cinereus	PTPRU	XM_020983350.1	6033	XP_020839009.1	1467
110206195	Phascolarctos cinereus	PTPRU	XM_020983353.1	5985	XP_020839012.1	1451
110206195	Phascolarctos cinereus	PTPRU	XM_020983354.1	5967	XP_020839013.1	1445
110206195	Phascolarctos cinereus	PTPRU	XM_020983349.1	6045	XP_020839008.1	1471
110206195	Phascolarctos cinereus	PTPRU	XM_020983355.1	5955	XP_020839014.1	1441
110206195	Phascolarctos cinereus	PTPRU	XM_020983351.1	6027	XP_020839010.1	1465
110206195	Phascolarctos cinereus	PTPRU	XM_020983356.1	5937	XP_020839015.1	1435
110519591	Oncorhynchus mykiss	ptprub	XM_036973945.1	4802	XP_036829840.1	1471
110519591	Oncorhynchus mykiss	ptprub	XM_036973950.1	4784	XP_036829845.1	1465
110519591	Oncorhynchus mykiss	ptprub	XM_036973953.1	4775	XP_036829848.1	1462
110519591	Oncorhynchus mykiss	ptprub	XM_036973954.1	4772	XP_036829849.1	1461
110519591	Oncorhynchus mykiss	ptprub	XM_036973956.1	4754	XP_036829851.1	1455
110519591	Oncorhynchus mykiss	ptprub	XM_036973957.1	4745	XP_036829852.1	1452
110519591	Oncorhynchus mykiss	ptprub	XM_036973946.1	4799	XP_036829841.1	1470
110519591	Oncorhynchus mykiss	ptprub	XM_036973955.1	4781	XP_036829850.1	1464
114603625	Podarcis muralis	PTPRU	XM_028742801.1	8794	XP_028598634.1	1445
115044414	Echeneis naucrates	ptprub	XM_029503380.1	4835	XP_029359240.1	1449
115044414	Echeneis naucrates	ptprub	XM_029503379.1	4817	XP_029359239.1	1443
115044414	Echeneis naucrates	ptprub	XM_029503382.1	4747	XP_029359242.1	1452
115044414	Echeneis naucrates	ptprub	XM_029503381.1	4696	XP_029359241.1	1435
116600659	Mustela erminea	PTPRU	XM_032360836.1	5598	XP_032216727.1	1436
116600659	Mustela erminea	PTPRU	XM_032360832.1	5673	XP_032216723.1	1461
116600659	Mustela erminea	PTPRU	XM_032360834.1	5628	XP_032216725.1	1446
116600659	Mustela erminea	PTPRU	XM_032360833.1	5646	XP_032216724.1	1452
116600659	Mustela erminea	PTPRU	XM_032360835.1	5477	XP_032216726.1	1440
116813192	Hylobates moloch	PTPRU	XM_032759574.2	5621	XP_032615465.1	1452
116813192	Hylobates moloch	PTPRU	XM_032759576.2	5600	XP_032615467.1	1446
116813192	Hylobates moloch	PTPRU	XM_032759578.2	5570	XP_032615469.1	1436
116813192	Hylobates moloch	PTPRU	XM_032759579.2	5561	XP_032615470.1	1433
116813192	Hylobates moloch	PTPRU	XM_058444217.1	5575	XP_058300200.1	1449
116813192	Hylobates moloch	PTPRU	XM_032759577.2	5554	XP_032615468.1	1442
116813192	Hylobates moloch	PTPRU	XM_058444218.1	5233	XP_058300201.1	1315
116837945	Chelonoidis abingdonii	PTPRU	XM_032802875.1	6004	XP_032658766.1	1434
116837945	Chelonoidis abingdonii	PTPRU	XM_032802874.1	6022	XP_032658765.1	1440
116837945	Chelonoidis abingdonii	PTPRU	XM_032802873.1	6034	XP_032658764.1	1444
116837945	Chelonoidis abingdonii	PTPRU	XM_032802872.1	6052	XP_032658763.1	1450
116837945	Chelonoidis abingdonii	PTPRU	XM_032802871.1	6079	XP_032658762.1	1459
116837945	Chelonoidis abingdonii	PTPRU	XM_032802870.1	6127	XP_032658761.1	1475
116895760	Rattus rattus	Ptpru	XM_032896923.1	5557	XP_032752814.1	1454
117946889	Etheostoma cragini	ptprub	XM_034875362.1	6159	XP_034731253.1	1448
117946889	Etheostoma cragini	ptprub	XM_034875366.1	6140	XP_034731257.1	1442
117946889	Etheostoma cragini	ptprub	XM_034875365.1	6119	XP_034731256.1	1435
117946889	Etheostoma cragini	ptprub	XM_034875364.1	6137	XP_034731255.1	1441
117946889	Etheostoma cragini	ptprub	XM_034875363.1	6143	XP_034731254.1	1443
117946889	Etheostoma cragini	ptprub	XM_034875361.1	6161	XP_034731252.1	1449
121610947	Chelmon rostratus	ptprub	XM_041943280.1	7101	XP_041799214.1	1443
121610947	Chelmon rostratus	ptprub	XM_041943281.1	7077	XP_041799215.1	1435
124983705	Sciurus carolinensis	Ptpru	XM_047551217.1	5439	XP_047407173.1	1433
124983705	Sciurus carolinensis	Ptpru	XM_047551206.1	5448	XP_047407162.1	1436
124983705	Sciurus carolinensis	Ptpru	XM_047551197.1	5469	XP_047407153.1	1443
124983705	Sciurus carolinensis	Ptpru	XM_047551189.1	5478	XP_047407145.1	1446
126506978	Alexandromys fortis	Ptpru	XM_050151015.1	5527	XP_050006972.1	1422
129185154	Dunckerocampus dactyliophorus	ptprub	XM_054781885.1	7358	XP_054637860.1	1449
129185154	Dunckerocampus dactyliophorus	ptprub	XM_054781887.1	7332	XP_054637862.1	1441
129185154	Dunckerocampus dactyliophorus	ptprub	XM_054781886.1	7338	XP_054637861.1	1443
129185154	Dunckerocampus dactyliophorus	ptprub	XM_054781888.1	7313	XP_054637863.1	1435
130146394	Falco biarmicus	PTPRU	XM_056332496.1	7616	XP_056188471.1	1444
130146394	Falco biarmicus	PTPRU	XM_056332495.1	7634	XP_056188470.1	1450
130146394	Falco biarmicus	PTPRU	XM_056332498.1	7585	XP_056188473.1	1434
130146394	Falco biarmicus	PTPRU	XM_056332497.1	7603	XP_056188472.1	1440
130914397	Corythoichthys intestinalis	ptprub	XM_057833549.1	8175	XP_057689532.1	1446
130914397	Corythoichthys intestinalis	ptprub	XM_057833551.1	8150	XP_057689534.1	1438
130914397	Corythoichthys intestinalis	ptprub	XM_057833550.1	8153	XP_057689533.1	1440
130914397	Corythoichthys intestinalis	ptprub	XM_057833552.1	8127	XP_057689535.1	1432
132231411	Myotis daubentonii	PTPRU	XM_059690479.1	5554	XP_059546462.1	1436
132231411	Myotis daubentonii	PTPRU	XM_059690476.1	5635	XP_059546459.1	1463
