Species_name	IL34_status	FCSK-SF3B3	SF3B3-MTSS2	MTSS2-HYDIN
Anolis_carolinensis	0	14667	987	85312
Anolis_sagrei	0	27994	5454	110527
Candoia_aspera	0	34293	4961	59371
Elgaria_multicarinata_webbii	0	37206	2912	113385
Erythrolamprus_reginae	0	20790	1327	112551
Eublepharis_macularius	0	3576971	6211	130829
Euleptes_europaea	0	32168	7227	154611
Hemicordylus_capensis	0	20304	664	99893
Heteronotia_binoei	0	31346	5208	177528
Lacerta_agilis	0	18012	5563	77886
Pantherophis_guttatus	0	23010	4633	66218
Podarcis_raffonei	0	19092	3314	73437
Rhineura_floridana	0	41291	5356	417601
Sphaerodactylus_townsendi	0	20936	622	111381
Thamnophis_elegans	0	17446	0	44236
Zootoca_vivipara	0	16744	2986	81992
Accipiter_gentilis	1	14632726	14636	67954
Agelaius_tricolor	1	14542	12248	74325
Anas_acuta	1	13529	9626	43940
Anas_platyrhynchos	1	14288	10067	43580
Anser_cygnoides	1	15931	9696	52952
Aphelocoma_coerulescens	1	15421	13193	82687
Apteryx_mantelli	1	19265	20588	110715
Aquila_chrysaetos_chrysaetos	1	16427	16254	67386
Aythya_fuligula	1	14658	10137	48355
Caloenas_nicobarica	1	16651	15129	65995
Calypte_anna	1	21647	16352	79908
Camarhynchus_parvulus	1	13982	13533	63148
Caretta_caretta	1	34407	427511	259928
Chamaea_fasciata	1	15854	12400	6714578
Chelonia_mydas	1	34107	458228	248289
Chroicocephalus_ridibundus	1	16826	18772	73251
Chrysemys_picta_bellii	1	29160	626723	223876
Colius_striatus	1	16446	12468	946274
Columba_livia	1	16530	13647	63514
Corvus_cornix_cornix	1	15338	13612	67022
Corvus_hawaiiensis	1	15389	13694	82267
Corvus_moneduloides	1	15348	12377	82228
Coturnix_japonica	1	14705	9454	51439
Cyrtonyx_montezumae	1	16820	8511	51488
Dermochelys_coriacea	1	31280	474326	3876201
Dromaius_novaehollandiae	1	18012	16491	112146
Emys_orbicularis	1	32501	1137980	240180
Falco_rusticolus	1	16308	12583	67621
Gallus_gallus	1	15172	8746	53160
Gavia_stellata	1	16976	17094	69539
Gopherus_flavomarginatus	1	32438	545561	310950
Grus_americana	1	16172	15791	64128
Gymnogyps_californianus	1	17080	16262	67786
Heliangelus_exortis	1	27646	15183	87031
Hirundo_rustica	1	15537	13147	100684
Lagopus_muta	1	15192	9508	54678
Malaclemys_terrapin_pileata	1	32064	503979	225452
Mauremys_reevesii	1	31071	415970	237855
Melopsittacus_undulatus	1	16423	13659	72552
Molothrus_aeneus	1	14600	12292	71486
Molothrus_ater	1	14625	12273	10181963
Oenanthe_melanoleuca	1	15529	12155	861826
Patagioenas_fasciata	1	16159	13526	63502
Phaenicophaeus_curvirostris	1	16636	19432	7092866
Pipra_filicauda	1	15914	19455	61313
Prinia_subflava	1	15492	12481	8404991
Pseudopipra_pipra	1	16623	19273	59439
Rhea_pennata	1	17453	10765	103653
Rissa_tridactyla	1	17023	17032	72801
Struthio_camelus	1	18288	19052	114112
Tympanuchus_pallidicinctus	1	15215	11117	54065
Tyto_alba	1	17582	16582	67235
