# klumpy scan_alignments --alignment_map SRR8468524_subreads.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Podarcis_muralis/GCF_004329235.1_PodMur_1.0_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
1	NC_041319.1	0	425000	6,5,7,7,12,6,5,6,6,8,8,3,3,9,8	LOC114603021,LOC114601877,LOC114601891,LOC114603024,LOC114603022,LOC114603023,LOC114603032,LOC114603036,LOC114603040,LOC114603035,LOC114603045,LOC114603033,LOC114603030,LOC114603028,LOC114603029,LOC114603039,LOC114603042,LOC114603038,LOC114603031,LOC114603046,LOC114603025,LOC114603026,LOC114603034
2	NC_041319.1	900000	975000	6,3	SPINT2,LOC114603063,YIF1B,KCNK6,LTBP4
3	NC_041319.1	1225000	1325000	8,16,11	LOC114601952,LOC114601957,LOC114603119,LOC114601962,SDHAF1
4	NC_041319.1	1400000	1475000	3,6	WDR62,THAP8,LOC114601966,CLIP3
5	NC_041319.1	1625000	1700000	9,2	LOC114603088,LOC114603090,LOC114603089,LOC114603087
6	NC_041319.1	1825000	1900000	3,2	DLL3
7	NC_041319.1	2050000	2175000	2,5,5,3	SUPT5H,LOC114603018,LOC114603015
8	NC_041319.1	2250000	2325000	5,4	LOC114601968,LOC114601969,LOC114603414
9	NC_041319.1	2450000	2525000	7,3	MED29,PAF1,LOC114603110,SAMD4B
10	NC_041319.1	2825000	2925000	5,3,5	LOC114601972,LOC114603370
11	NC_041319.1	3025000	3100000	2,3	LOC114603117
12	NC_041319.1	3200000	3300000	2,2,4	LOC114603643,SYCN,NCCRP1,LOC114603282
13	NC_041319.1	3550000	3625000	2,3	GPR4,LOC114603128,OPA3,VASP
14	NC_041319.1	3675000	3750000	11,4	LOC114603412,LOC114603408,PPM1N,RTN2
15	NC_041319.1	4000000	4075000	5,4	CKM,LOC114603017,MARK4
16	NC_041319.1	4125000	4475000	1,5,5,4,2,4,7,3,7,2	EXOC3L2,CD3EAP,ERCC1,LOC114603151,LOC114601979,LOC114601980,LOC114603152,LCE2B,LOC114603161,LOC114603166,LOC114603169,LOC114603160
17	NC_041319.1	4500000	4575000	2,2	LOC114603157,LOC114603163,LOC114603164
18	NC_041319.1	4675000	4775000	4,5,3	LOC114603155,LOC114603167,LOC114603154,LOC114601982,LOC114603162,LOC114603158
19	NC_041319.1	5000000	5100000	3,5,7	NUMBL,LOC114601987,DPF1
