Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14
Squamata	Squamata	Heteronotia_binoei	0	0	1756	60830	150297	5852	95319	5404
Squamata	Squamata	Euleptes_europaea	0	0	2220	47349	133327	7348	93326	6075
Squamata	Squamata	Sphaerodactylus_townsendi	0	0	2320	39573	118440	4692	83559	5092
Squamata	Squamata	Eublepharis_macularius	0	0	2408	45042	134147	10234	99339	4838
Squamata	Squamata	Hemicordylus_capensis	0	0	2567	40165	95288	3751	58874	4367
Squamata	Squamata	Candoia_aspera	0	0	283	53699	120478	5781	72560	1196
Squamata	Squamata	Erythrolamprus_reginae	0	0	731	50145	93934	4675	48464	694
Squamata	Squamata	Thamnophis_elegans	0	0	683	44701	103594	4563	63456	697
Squamata	Squamata	Elgaria_multicarinata	0	0	3228	64133	164898	7284	108049	2835
Squamata	Squamata	Anolis_sagrei	0	0	3060	56062	128688	7180	79806	4929
Squamata	Squamata	Anolis_carolinensis	0	0	1852	33171	77673	5159	49661	4324
Squamata	Squamata	Podarcis_raffonei	0	0	2447	38023	95127	6567	63671	2807
Squamata	Squamata	Lacerta_agilis	0	0	2430	39881	100386	6643	67148	2783
Squamata	Squamata	Zootoca_vivipara	0	0	2562	42493	104062	6611	68180	2768
Squamata	Squamata	Rhineura_floridana	0	0	1755	74557	154739	9573	89755	4668
Aves	Struthioniformes	Struthio_camelus	1	0	1168	53225	79071	21082	46928	4465
Aves	Casuariiformes	Dromaius_novaehollandiae	1	0	1198	49411	70178	19057	39824	3397
Aves	Rheiformes	Rhea_pennata	1	0	1098	42995	59865	12638	29508	2773
Aves	Apodiformes	Calypte_anna	1	0	881	51373	66641	17234	32502	2704
Aves	Charadriiformes	Rissa_tridactyla	1	0	1136	47909	63289	17950	33330	3131
Aves	Columbiformes	Columba_livia	1	0	1426	45266	60025	16026	30785	2715
Aves	Accipitriformes	Aquila_chrysaetos	1	0	1192	46873	61514	17205	31846	2822
Aves	Passeriformes	Corvus_cornix	1	0	1074	43455	57772	14639	28956	2639
Aves	Falconiformes	Falco_rusticolus	1	0	1120	43615	57895	13470	27750	2645
Aves	Cuculiformes	Phaenicophaeus_curvirostris	1	0	1020	49601	66153	20330	36882	4228
Aves	Anseriformes	Anas_platyrhynchos	1	0	584	37546	48752	11999	23205	2868
Aves	Anseriformes	Aythya_fuligula	1	0	588	35146	46185	11091	22130	2931
Aves	Anseriformes	Anser_cygnoides	1	0	580	37146	48358	11818	23030	4287
Aves	Galliformes	Coturnix_japonica	1	0	1136	37547	49430	10628	22511	2136
Aves	Galliformes	Lagopus_muta	1	0	1449	39393	51386	11526	23519	2255
Testudines	Testudines	Malaclemys_terrapin	1	0	3596	479157	590007	512022	622872	21688
Testudines	Testudines	Chrysemys_picta	1	0	3611	602699	712207	634940	744448	20883
Testudines	Testudines	Emys_orbicularis	1	0	5928	1108196	1214470	1141255	1247529	21494
Testudines	Testudines	Mauremys_reevesii	1	0	3562	393861	509068	424840	540047	24589
Testudines	Testudines	Gopherus_flavomarginatus	1	0	3279	518246	617611	550809	650174	18636
Testudines	Testudines	Caretta_caretta	1	0	3927	400393	506916	435501	542024	25257
Testudines	Testudines	Chelonia_mydas	1	0	3444	431665	531789	466358	566482	25303
Testudines	Testudines	Dermochelys_coriacea	1	0	6851	450477	556095	485721	591339	17667
