Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14
Amphibia	Anura	Bombina_bombina	1	0	2965	482150	852349	413096	783295	129412
Amphibia	Anura	Bufo_bufo	1	0	2242	57236	93277	39142	75183	6524
Amphibia	Anura	Bufo_gargarizans	1	0	2570	45457	100267	32768	87578	14108
Amphibia	Anura	Dendropsophus_ebraccatus	1	0	1777	92295	125492	78731	111928	8978
Amphibia	Anura	Eleutherodactylus_coqui	1	0	1716	61122	106186	44545	89609	19133
Amphibia	Anura	Pelobates_fuscus	1	0	8068	118454	204317	97037	182900	10409
Amphibia	Anura	Pseudophryne_corroboree	1	0	4123	349119	668472	326838	646191	151067
Amphibia	Anura	Rana_temporaria	1	0	7156	152526	246385	117417	211276	23281
Amphibia	Anura	Ranitomeya_imitator	1	0	2075	73415	194895	60108	181588	57036
Amphibia	Anura	Spea_bombifrons	1	0	1013	25699	51165	14507	39973	3088
Amphibia	Anura	Xenopus_tropicalis	1	0	3446	131615	220477	91400	180262	30288
Aves	Passeriformes	Aphelocoma_coerulescens	1	0	1081	43546	57928	14678	29060	2652
Aves	Accipitriformes	Aquila_chrysaetos	1	0	1192	46873	61514	17205	31846	2822
Aves	Passeriformes	Camarhynchus_parvulus	1	0	1040	43002	56629	14473	28100	2555
Aves	Coliiformes	Colius_striatus	1	0	1064	45873	59645	14692	28464	3012
Aves	Passeriformes	Corvus_cornix	1	0	1074	43455	57772	14639	28956	2639
Aves	Passeriformes	Corvus_hawaiiensis	1	0	1077	43516	57871	14647	29002	2639
Aves	Passeriformes	Corvus_moneduloides	1	0	1077	43515	57910	14640	29035	2645
Aves	Falconiformes	Falco_rusticolus	1	0	1120	43615	57895	13470	27750	2645
Aves	Gruiformes	Grus_americana	1	0	1212	46815	61334	18069	32588	2846
Aves	Passeriformes	Hirundo_rustica	1	0	1084	43154	56924	14568	28338	2638
Aves	Psittaciformes	Melopsittacus_undulatus	1	0	1103	44640	58416	14629	28405	2490
Aves	Passeriformes	Molothrus_aeneus	1	0	1065	43338	57124	14759	28545	2649
Aves	Passeriformes	Molothrus_ater	1	0	1065	43288	57078	14743	28533	2647
Aves	Passeriformes	Oenanthe_melanoleuca	1	0	1084	42970	56600	14387	28017	2618
Aves	Passeriformes	Pithys_albifrons	1	0	1114	43553	57707	14394	28548	2720
Aves	Passeriformes	Prinia_subflava	1	0	1070	43454	57166	14748	28460	2628
Aves	Rheiformes	Rhea_pennata	1	0	1098	42995	59865	12638	29508	2773
Aves	Charadriiformes	Rissa_tridactyla	1	0	1136	47909	63289	17950	33330	3131
