Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14
Squamata	Squamata	Heteronotia_binoei	0	0	1756	60830	150297	5852	95319	5404
Squamata	Squamata	Sphaerodactylus_townsendi	0	0	2320	39573	118440	4692	83559	5092
Squamata	Squamata	Podarcis_raffonei	0	0	2447	38023	95127	6567	63671	2807
Squamata	Squamata	Lacerta_agilis	0	0	2430	39881	100386	6643	67148	2783
Squamata	Squamata	Zootoca_vivipara	0	0	2562	42493	104062	6611	68180	2768
Aves	Rheiformes	Rhea_pennata	1	0	1098	42995	59865	12638	29508	2773
Aves	Charadriiformes	Rissa_tridactyla	1	0	1136	47909	63289	17950	33330	3131
Aves	Accipitriformes	Aquila_chrysaetos	1	0	1192	46873	61514	17205	31846	2822
Aves	Passeriformes	Corvus_cornix	1	0	1074	43455	57772	14639	28956	2639
Aves	Falconiformes	Falco_rusticolus	1	0	1120	43615	57895	13470	27750	2645
Testudines	Testudines	Malaclemys_terrapin	1	0	3596	479157	590007	512022	622872	21688
Testudines	Testudines	Mauremys_reevesii	1	0	3562	393861	509068	424840	540047	24589
Testudines	Testudines	Gopherus_flavomarginatus	1	0	3279	518246	617611	550809	650174	18636
Testudines	Testudines	Caretta_caretta	1	0	3927	400393	506916	435501	542024	25257
Testudines	Testudines	Chelonia_mydas	1	0	3444	431665	531789	466358	566482	25303
