Species_name	IL34_status	COG4_SF3B3	SF3B3_MTSS2	MTSS2_VAC14
Ambystoma_mexicanum	1	75452	951660	376168
Bombina_bombina	1	2965	413096	129412
Bufo_bufo	1	2242	39142	6524
Bufo_gargarizans	1	2570	32768	14108
Dendropsophus_ebraccatus	1	1777	78731	8978
Eleutherodactylus_coqui	1	1716	44545	19133
Geotrypetes_seraphini	1	20550	281497	63659
Pelobates_fuscus	1	8068	97037	10409
Pleurodeles_waltl	1	38754	1132694	303785
Pseudophryne_corroboree	1	4123	326838	151067
Rana_temporaria	1	7156	117417	23281
Ranitomeya_imitator	1	2075	60108	57036
Spea_bombifrons	1	1013	14507	3088
Xenopus_tropicalis	1	3446	91400	30288
Anas_acuta	1	577	11794	2900
Anas_platyrhynchos	1	584	11999	2868
Anser_cygnoides	1	580	11818	4287
Aphelocoma_coerulescens	1	1081	14678	2652
Apteryx_mantelli	1	1173	21489	3889
Aquila_chrysaetos	1	1192	17205	2822
Aythya_fuligula	1	588	11091	2931
Caloenas_nicobarica	1	1585	16581	2680
Calypte_anna	1	881	17234	2704
Camarhynchus_parvulus	1	1040	14473	2555
Chroicocephalus_ridibundus	1	1138	19933	3141
Colius_striatus	1	1064	14692	3012
Columba_livia	1	1426	16026	2715
Corvus_cornix	1	1074	14639	2639
Corvus_hawaiiensis	1	1077	14647	2639
Corvus_moneduloides	1	1077	14640	2645
Coturnix_japonica	1	1136	10628	2136
Cygnus_atratus	1	578	11299	3076
Cygnus_olor	1	582	11335	3043
Dromaius_novaehollandiae	1	1198	19057	3397
Falco_rusticolus	1	1120	13470	2645
Gavia_stellata	1	1294	17881	2748
Grus_americana	1	1212	18069	2846
Gymnogyps_californianus	1	3659	17858	2861
Heliangelus_exortis	1	850	17719	5545
Hirundo_rustica	1	1084	14568	2638
Lagopus_muta	1	1449	11526	2255
Melopsittacus_undulatus	1	1103	14629	2490
Molothrus_aeneus	1	1065	14759	2649
Molothrus_ater	1	1065	14743	2647
Oenanthe_melanoleuca	1	1084	14387	2618
Patagioenas_fasciata	1	1427	15976	2737
Phaenicophaeus_curvirostris	1	1020	20330	4228
Pithys_albifrons	1	1114	14394	2720
Prinia_subflava	1	1070	14748	2628
Pseudopipra_pipra	1	1108	21472	2711
Rhea_pennata	1	1098	12638	2773
Rissa_tridactyla	1	1136	17950	3131
Struthio_camelus	1	1168	21082	4465
Amblyraja_radiata	1	11468	148556	34863
Mobula_hypostoma	1	25707	337202	70207
Narcine_bancroftii	1	73603	295112	58945
Pristis_pectinata	1	11747	219348	50310
Scyliorhinus_canicula	1	45011	491197	122600
Acinonyx_jubatus	1	4255	88558	2110
Acomys_russatus	1	2821	63582	1716
Apodemus_sylvaticus	1	2540	74741	1731
Arvicanthis_niloticus	1	2573	70147	1735
Arvicola_amphibius	1	2615	65281	1785
Balaenoptera_acutorostrata	1	2872	74439	2144
Balaenoptera_musculus	1	3196	72961	2150
Bos_mutus	1	3573	70923	1450
Bubalus_bubalis	1	3552	71349	1626
Budorcas_taxicolor	1	3582	71515	1580
Callithrix_jacchus	1	4279	85666	6247
Camelus_ferus	1	1224	57320	2121
Capra_hircus	1	3555	71906	1597
Cervus_elaphus	1	3720	80800	1594
Chionomys_nivalis	1	2922	62070	1763
Choloepus_didactylus	1	1470	78512	1941
Cricetulus_griseus	1	2939	72663	1571
Cynocephalus_volans	1	3202	71632	5734
Dama_dama	1	3714	79710	1600
Desmodus_rotundus	1	3619	70224	1962
Diceros_bicornis	1	3529	71538	7006
Dromiciops_gliroides	1	1820	137804	3535
Elephas_maximus	1	2621	87159	1972
Eptesicus_fuscus	1	4665	81016	1888
Equus_asinus	1	3528	70172	5641
Equus_caballus	1	3532	70227	5678
Equus_przewalskii	1	3533	70253	5677
Erinaceus_europaeus	1	5446	102879	1529
Eschrichtius_robustus	1	2875	73590	2150
Eubalaena_glacialis	1	2890	75289	2305
Eulemur_rufifrons	1	3081	61715	7069
Felis_catus	1	4184	92537	2106
Globicephala_melas	1	2894	67676	2130
Gorilla_gorilla	1	3112	96699	3879
Hippopotamus_amphibius	1	3390	67464	2115
Jaculus_jaculus	1	6223	129904	1758
Lagenorhynchus_albirostris	1	2885	67936	2121
Lemur_catta	1	3077	60170	1943
Leopardus_geoffroyi	1	4465	86315	2129
Lepus_europaeus	1	3080	73657	1856
Loxodonta_africana	1	2621	87221	6749
Lutra_lutra	1	1470	70102	1976
Lynx_canadensis	1	4203	89174	2110
Macaca_fascicularis	1	5159	88341	2134
Macaca_mulatta	1	5143	88017	2250
Macaca_nemestrina	1	5135	86131	2149
Macaca_thibetana	1	5151	88221	2149
Manis_pentadactyla	1	4478	65204	1902
Marmota_flaviventris	1	2946	72885	1983
Meles_meles	1	1420	68140	2033
Meriones_unguiculatus	1	2696	62854	1763
Mesoplodon_densirostris	1	2861	73337	2158
Microcebus_murinus	1	3008	65726	1766
Mus_musculus	1	2519	71864	1753
Mustela_erminea	1	1480	69103	2019
Mustela_lutreola	1	1466	69230	2030
Neofelis_nebulosa	1	4272	90125	2121
Neogale_vison	1	1477	68482	2002
Nycticebus_coucang	1	5144	86319	1888
Ochotona_princeps	1	2488	64112	1911
Odocoileus_virginianus	1	3717	72274	1260
Orcinus_orca	1	2885	67696	2120
Ornithorhynchus_anatinus	1	5014	59430	9638
Oryctolagus_cuniculus	1	3081	69531	1848
Ovis_aries	1	3557	71416	1607
Ovis_canadensis	1	3559	73740	1607
Pan_paniscus	1	3092	88900	3862
Panthera_leo	1	4253	88428	1029
Panthera_onca	1	4274	74299	2122
Panthera_tigris	1	4604	88699	1030
Pan_troglodytes	1	3091	89541	7799
Perognathus_longimembris	1	4522	42955	5007
Peromyscus_leucopus	1	2672	66230	1783
Peromyscus_maniculatus	1	2693	65418	1764
Phacochoerus_africanus	1	3846	83607	2094
Phocoena_phocoena	1	2879	67094	2118
Phocoena_sinus	1	2873	67364	2112
Phyllostomus_discolor	1	3846	68880	1910
Pongo_abelii	1	3139	87060	6060
Pongo_pygmaeus	1	3128	87206	6053
Prionailurus_bengalensis	1	4218	89561	2115
Prionailurus_viverrinus	1	4452	89520	7274
Pseudorca_crassidens	1	2893	67596	2157
Rattus_norvegicus	1	2485	71222	1739
Rhinolophus_ferrumequinum	1	3235	67466	6273
Rhinopithecus_roxellana	1	4528	86860	6048
Saccopteryx_bilineata	1	2319	92153	1918
Saccopteryx_leptura	1	2339	91247	1933
Sarcophilus_harrisii	1	4385	124501	2815
Sciurus_carolinensis	1	3139	80368	1947
Sorex_araneus	1	3632	60834	1587
Suncus_etruscus	1	4082	67469	1594
Sus_scrofa	1	3592	84678	2026
Symphalangus_syndactylus	1	5530	89358	7822
Tachyglossus_aculeatus	1	5657	74963	13313
Trichosurus_vulpecula	1	1797	126010	3425
Tursiops_truncatus	1	2888	65986	2135
Ursus_arctos	1	3755	64377	2083
Vulpes_lagopus	1	5635	81072	1780
Zalophus_californianus	1	2831	71786	6498
Anolis_carolinensis	0	1852	5159	4324
Anolis_sagrei	0	3060	7180	4929
Candoia_aspera	0	283	5781	1196
Elgaria_multicarinata	0	3228	7284	2835
Erythrolamprus_reginae	0	731	4675	694
Eublepharis_macularius	0	2408	10234	4838
Euleptes_europaea	0	2220	7348	6075
Hemicordylus_capensis	0	2567	3751	4367
Heteronotia_binoei	0	1756	5852	5404
Lacerta_agilis	0	2430	6643	2783
Podarcis_raffonei	0	2447	6567	2807
Rhineura_floridana	0	1755	9573	4668
Sphaerodactylus_townsendi	0	2320	4692	5092
Thamnophis_elegans	0	683	4563	697
Zootoca_vivipara	0	2562	6611	2768
Caretta_caretta	1	3927	435501	25257
Chelonia_mydas	1	3444	466358	25303
Chrysemys_picta	1	3611	634940	20883
Dermochelys_coriacea	1	6851	485721	17667
Emys_orbicularis	1	5928	1141255	21494
Gopherus_flavomarginatus	1	3279	550809	18636
Malaclemys_terrapin	1	3596	512022	21688
Mauremys_reevesii	1	3562	424840	24589
