Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCF_037993035.1	T2T-MFA8v1.0	Macaca fascicularis	9541						582-1	female	GCF_037993035.1-RS_2024_05	3042914375	21	Complete Genome	2024-04-05		162126771	162126771	21	0.99071115	0.9780842	0.012626995	0.0032656023	0.006023222	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION; Illumina NovaSeq	Shanghai Jiao Tong University	PRJNA1037719	SAMN38317298	39556	21813	6286				
GCF_047663525.1	IASCAAS_PekinDuck_T2T	Anas platyrhynchos	8839		Pekin duck				ZD024472	female	GCF_047663525.1-RS_2025_03	1261969826	41	Complete Genome	2025-02-12	JBLNIF01	80154792	80154792	41	0.99148476	0.9847685	0.006716239	0.0029983209	0.0055169105	aves_odb10	Pacbio Revio; Oxford Nanopore PromethION	INSTITUTE OF ANIMAL SCIENCE OF CAAS	PRJNA1210805	SAMN46257522	26024	17676	305				
GCF_002234675.1	ASM223467v1	Oryzias latipes	8090								NCBI Oryzias latipes Annotation Release 103	734040372	24	Chromosome	2017-07-27		2530934	31218526	24	0.98324174	0.97747254	0.005769231	0.0013736264	0.015384615	actinopterygii_odb10	PacBio	The University of Tokyo	PRJNA325079	SAMN06689957	26845	22071	188				
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	89462		Murrah				160015118507	female	NCBI Bubalus bubalis Annotation Release 103	2622444281	25	Chromosome	2021-09-10	VDCB01	9586610	116997125	25	0.984177	0.9695538	0.014623172	0.0038995126	0.01192351	cetartiodactyla_odb10	PacBio Sequel; 10X and BioNano Optical Map	National Dairy Development Board, India	PRJNA525182	SAMN11104991	37167	21359	3819				
GCF_024713975.1	ASM2471397v2	Paralichthys olivaceus	8255						ysfri-2021	female	GCF_024713975.1-RS_2024_10	588170514	24	Chromosome	2022-08-25	JANLNN01	24354382	26045262	24	0.9936813	0.98379123	0.00989011	0.0032967033	0.003021978	actinopterygii_odb10	PacBio Sequel	Yellow Sea fisheries Research Institution	PRJNA845006	SAMN28867800	30478	22134	733				
GCF_028858775.2	NHGRI_mPanTro3-v2.0_pri	Pan troglodytes	9598						AG18354	male	GCF_028858775.2-RS_2024_02	3177739762	25	Chromosome	2024-01-08	JAQQLN02	146288486	146288486	25	0.992598	0.98018867	0.012409288	0.0020319303	0.0053701014	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA916736	SAMN30216104	41789	22561	7082				
GCF_023724105.1	carGib1.2-hapl.c	Carassius gibelio	101364					wild population from Czech Republic	Cgi1373	female	GCF_023724105.1-RS_2023_02	1583334954	50	Chromosome	2022-06-16	JAJQLC01	5134100	30677984	50	0.99450547	0.41923076	0.5752747	0.0013736264	0.0041208793	actinopterygii_odb10	PacBio HiFi; OmniC Illumina reads	IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries	PRJNA780760	SAMN23046545	98729	43901	6149				
GCF_029281585.2	NHGRI_mGorGor1-v2.0_pri	Gorilla gorilla gorilla	9595						KB3781	male	GCF_029281585.2-RS_2024_02	3545834224	25	Chromosome	2024-01-08	JARGGP02	150804130	150804130	25	0.9904209	0.9756894	0.014731495	0.002539913	0.007039187	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA942267	SAMN04003007	41169	22635	7077				
GCF_028885625.2	NHGRI_mPonPyg2-v2.0_pri	Pongo pygmaeus	9600						AG05252	male	GCF_028885625.2-RS_2024_02	3220935163	25	Chromosome	2024-01-08	JAQQLS02	140592248	143261986	25	0.9910014	0.97815675	0.012844702	0.0029753265	0.006023222	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA916742	SAMN10521809	37497	22085	7206				
GCF_022458985.1	CIBA_Mcephalus_1.1	Mugil cephalus	48193						CIBA_MC_2020		NCBI Mugil cephalus Annotation Release 100	634849760	24	Chromosome	2022-03-04	JAJAQD01	20153794	28326520	24	0.98351645	0.97664833	0.006868132	0.0010989011	0.015384615	actinopterygii_odb10	PacBio Sequel; Illumina NovaSeq	ICAR - Central Institute of Brackishwater Aquaculture	PRJNA675305	SAMN16703275	29100	23232	1669				
GCF_031168955.1	ASM3116895v1	Gadus macrocephalus	80720						Gmac_GOA_2020		GCF_031168955.1-RS_2023_09	555681083	23	Chromosome	2023-09-05		202622	24646214	23	0.9326923	0.91456044	0.018131869	0.014285714	0.05302198	actinopterygii_odb10	PacBio	NOAA Fisheries	PRJNA943286	SAMN33716189	30575	22223	250				
GCF_028878055.3	NHGRI_mSymSyn1-v2.1_pri	Symphalangus syndactylus	9590						Jambi	male	GCF_028878055.3-RS_2024_07	3262887708	26	Chromosome	2024-01-05	JAQQLG02	146713733	146713733	26	0.98171264	0.9624093	0.019303339	0.007474601	0.010812772	primates_odb10	PacBio Sequel; Oxford Nanopore PromethION	National Human Genome Research Institute, National Institutes of Health	PRJNA916729	SAMN30216103	38417	22102	6352				
GCF_000001405.40	GRCh38.p14	Homo sapiens	9606								GCF_000001405.40-RS_2024_08	3099441038	24	Chromosome	2022-02-03		57879411	67794873	470	0.9887518	0.97931784	0.009433962	0.0045718434	0.0066763423	primates_odb10		Genome Reference Consortium	PRJNA31257		59715	20078	17063				
GCF_000001635.27	GRCm39	Mus musculus	10090			C57BL/6J					GCF_000001635.27-RS_2024_02	2728206152	21	Chromosome	2020-06-24		59462871	106145001	101	0.9946369	0.98594	0.008696913	0.001594434	0.0037686622	glires_odb10		Genome Reference Consortium	PRJNA20689		50763	22198	10363				
GCF_036323735.1	GRCr8	Rattus norvegicus	10116			BN/NHsdMcwi				male	GCF_036323735.1-RS_2024_02	2849581192	22	Chromosome	2024-01-31	JAXUCZ01	64250101	137014596	76	0.9911581	0.97680825	0.014349906	0.003478765	0.005363096	glires_odb10	PacBio Sequel	Genome Reference Consortium	PRJNA1027884	SAMN38730095	47357	23154	8804				
GCF_000002035.6	GRCz11	Danio rerio	7955			Tuebingen					GCF_000002035.6-RS_2024_08	1373454788	25	Chromosome	2017-05-09		1422317	7379053	1917	0.98434067	0.96895605	0.015384615	0.00934066	0.0063186814	actinopterygii_odb10		Genome Reference Consortium	PRJNA11776	SAMN06930106	46466	27158	437				
