Gene_name	Query_Seq-id	Subject_Seq-id	Expect_value	Query_sequence_length	Query_Coverage_Per_Subject
ADAP2	Homo_sapiens_NM_001346712.2-ADAP2	SRR11816478.8684256	1.08e-09	1164	13
ADRA1B	Homo_sapiens_XM_054351711.1-ADRA1B	SRR11816479.3889871	5.43e-28	1671	9
ARL11	Homo_sapiens_NM_138450.6-ARL11	SRR8468526.46914622	3.16e-09	591	17
CAV3	Homo_sapiens_NM_033337.3-CAV3	SRR11524066.6687572	4.95e-28	456	34
CYYR1	Homo_sapiens_XM_054324329.1-CYYR1	SRR31361877.57565614	6.23e-40	723	14
DIP2A	Homo_sapiens_XM_054324371.1-DIP2A	SRR11816479.8988984	4.55e-28	4851	3
DLEU7	
DNM3	Homo_sapiens_XM_054335880.1-DNM3	SRR11816479.9117768	1.18e-32	2766	5
ELOVL3	Homo_sapiens_XM_054366876.1-ELOVL3	SRR8468525.20441496	2.26e-06	813	15
FREM2	Homo_sapiens_NM_207361.6-FREM2	SRR11816479.7127268	2.71e-15	9510	2
GPR78	
GPR82	
GRK4	Homo_sapiens_XM_054349793.1-GRK4	SRR11816479.994711	4.64e-23	1854	8
HHLA2	
HPGDS	Homo_sapiens_NM_014485.3-HPGDS	SRR31361879.70597562	3.02e-30	600	13
HSD17B1	Homo_sapiens_NM_001330219.3-HSD17B1	SRR8468528.18516278	3.38e-05	990	6
IFTAP	Homo_sapiens_XM_054367619.1-IFTAP	SRR31361878.18732872	7.95e-13	666	9
IL13RA2	Homo_sapiens_XM_054327033.1-IL13RA2	SRR31361884.4121718	3.45e-20	1143	6
IL26	
IL34	Homo_sapiens_XM_054379673.1-IL34	SRR31361879.71473058	1.69e-34	729	14
IL5RA	Homo_sapiens_XM_054346456.1-IL5RA	SRR31361878.98605021	3.07e-34	1320	8
INTS6	Homo_sapiens_XM_054374439.1-INTS6	SRR11816479.8803218	1.69e-30	2664	6
KDM3A	Homo_sapiens_XM_054342996.1-KDM3A	SRR11816479.992055	2.67e-36	3966	4
KREMEN1	Homo_sapiens_NM_032045.5-KREMEN1	SRR11816479.7829391	9.26e-12	1479	10
LAPTM5	Homo_sapiens_NM_006762.3-LAPTM5	SRR31361879.97583130	2.38e-39	789	13
LCP1	Homo_sapiens_XM_054374520.1-LCP1	SRR11816479.2886856	1.27e-36	1884	8
LRCH1	Homo_sapiens_NM_001164211.2-LRCH1	SRR11816479.824562	2.62e-27	2292	7
MAN2B2	Homo_sapiens_NM_015274.3-MAN2B2	SRR31361878.92511998	5.43e-10	3030	1
MATK	Homo_sapiens_NM_002378.4-MATK	SRR11816479.992373	4.96e-09	1527	9
MOB1A	Homo_sapiens_NM_001317111.2-MOB1A	SRR11816479.901035	1.91e-42	777	19
NOTCH2	Homo_sapiens_NM_024408.4-NOTCH2	SRR8468526.3052089	1.07e-21	7416	2
OLAH	Homo_sapiens_XM_054366207.1-OLAH	SRR11524076.6765873	2.37e-04	957	16
PLAAT1	Homo_sapiens_XM_054347355.1-PLAAT1	SRR31361884.9424355	9.80e-06	717	12
RBBP7	Homo_sapiens_XM_054327469.1-RBBP7	SRR11816479.8329780	3.61e-36	1545	10
RIPPLY3	Homo_sapiens_NM_018962.3-RIPPLY3	SRR31361882.41774088	1.00e-10	573	8
RUBCNL	Homo_sapiens_NM_025113.5-RUBCNL	SRR11816479.4684712	3.36e-06	1989	8
SH2D1A	Homo_sapiens_NM_002351.5-SH2D1A	SRR11816476.9433229	0.004	387	19
SH2D2A	Homo_sapiens_XM_054339503.1-SH2D2A	SRR31361880.93141560	9.25e-28	1218	8
SIAH3	Homo_sapiens_NM_198849.3-SIAH3	SRR11524072.527	4.11e-13	810	19
SLC24A1	Homo_sapiens_XM_054379193.1-SLC24A1	SRR11816479.8598896	2.89e-22	3300	5
SLC9A5	Homo_sapiens_NM_004594.3-SLC9A5	SRR11816477.9713154	1.23e-19	2691	6
SSTR4	Homo_sapiens_NM_001052.4-SSTR4	SRR11524055.12658990	2.73e-17	1167	14
STAP1	
STOML3	Homo_sapiens_NM_145286.3-STOML3	SRR11816479.784349	1.66e-18	876	17
SUV39H2	Homo_sapiens_NM_001193424.2-SUV39H2	SRR11816479.8939631	6.79e-19	1233	12
TBC1D14	Homo_sapiens_XM_054350572.1-TBC1D14	SRR11816479.7927831	1.21e-18	2184	7
TMEM273	Homo_sapiens_XM_054364927.1-TMEM273	SRR31361877.54233268	3.05e-36	570	18
TNIP2	
UNKL	Homo_sapiens_XM_054313694.1-UNKL	SRR11816479.8515170	2.26e-15	2262	7
UTS2B	
WNT2	Homo_sapiens_NM_003391.3-WNT2	SRR11816479.5995502	1.22e-27	1083	14
YBX3	Homo_sapiens_XM_054373687.1-YBX3	SRR11816479.7644206	6.56e-44	1119	13
ZNF438	Homo_sapiens_XM_054365033.1-ZNF438	SRR31361884.21843426	9.27e-38	2520	4
