Gene_name	Query_Seq-id	Subject_Seq-id	Expect_value	Query_sequence_length	Query_Coverage_Per_Subject
ADAP2	Homo_sapiens_NM_001346712.2-ADAP2	NW_026943824.1	5.78e-10	1164	42
ADRA1B	Homo_sapiens_XM_054351711.1-ADRA1B	OZ187410.1	5.39e-126	1671	57
ARL11	Homo_sapiens_NM_138450.6-ARL11	JALMGF010000068.1	1.26e-10	591	46
CAV3	Homo_sapiens_NM_033337.3-CAV3	JALMGF010000079.1	4.96e-08	456	91
CYYR1	Homo_sapiens_XM_054324329.1-CYYR1	JARDYH010000001.1	9.06e-18	723	35
DIP2A	Homo_sapiens_XM_054324371.1-DIP2A	JALMGF010000038.1	8.93e-11	4851	72
DLEU7	Homo_sapiens_NM_001306135.2-DLEU7	CM059609.1	0.014	666	22
DNM3	Homo_sapiens_XM_054335880.1-DNM3	JALMGF010000106.1	9.15e-27	2766	79
ELOVL3	Homo_sapiens_XM_054366876.1-ELOVL3	NC_083284.1	4.04e-15	813	28
FREM2	Homo_sapiens_NM_207361.6-FREM2	JAPFRF010000007.1	9.17e-12	9510	78
GPR78	Homo_sapiens_NM_080819.5-GPR78	JBFXLW010573323.1	4.11e-11	1092	22
GPR82	Homo_sapiens_XM_054326836.1-GPR82	NC_079323.1	0.019	1011	9
GRK4	Homo_sapiens_XM_054349793.1-GRK4	BDOT02000012.1	7.85e-10	1854	52
HHLA2	Homo_sapiens_XM_054345083.1-HHLA2	NC_069658.1	0.031	1278	6
HPGDS	Homo_sapiens_NM_014485.3-HPGDS	JBHUPM010970472.1	0.003	600	14
HSD17B1	Homo_sapiens_NM_001330219.3-HSD17B1	NC_083235.1	1.87e-04	990	13
IFTAP	Homo_sapiens_XM_054367619.1-IFTAP	JBGSAX010082628.1	1.19e-10	666	15
IL13RA2	Homo_sapiens_XM_054327033.1-IL13RA2	QVOM02000080.1	0.007	1143	5
IL26	Homo_sapiens_NM_018402.2-IL26	OZ184077.1	0.009	516	12
IL34	Homo_sapiens_XM_054379673.1-IL34	JBIELC010000006.1	0.012	729	11
IL5RA	Homo_sapiens_XM_054346456.1-IL5RA	NC_085845.1	0.026	1320	6
INTS6	Homo_sapiens_XM_054374439.1-INTS6	JALMGF010000068.1	8.82e-08	2664	71
KDM3A	Homo_sapiens_XM_054342996.1-KDM3A	OZ184073.1	4.47e-30	3966	42
KREMEN1	Homo_sapiens_NM_032045.5-KREMEN1	JALMGF010000016.1	4.84e-08	1479	59
LAPTM5	Homo_sapiens_NM_006762.3-LAPTM5	JBFXLW011357573.1	7.90e-25	789	13
LCP1	Homo_sapiens_XM_054374520.1-LCP1	JBJPHH010614127.1	0.0	1884	90
LRCH1	Homo_sapiens_NM_001164211.2-LRCH1	JALMGF010000164.1	9.85e-13	2292	48
MAN2B2	Homo_sapiens_NM_015274.3-MAN2B2	JALMGF010000120.1	8.24e-09	3030	39
MATK	Homo_sapiens_NM_002378.4-MATK	JBJJOB010000007.1	6.27e-04	1527	35
MOB1A	Homo_sapiens_NM_001317111.2-MOB1A	JALMGF010000026.1	5.86e-29	777	84
NOTCH2	Homo_sapiens_NM_024408.4-NOTCH2	CM092804.1	9.84e-42	7416	56
OLAH	Homo_sapiens_XM_054366207.1-OLAH	JBGSAX010064106.1	4.08e-12	957	16
PLAAT1	Homo_sapiens_XM_054347355.1-PLAAT1	JALMGF010000121.1	5.75e-54	717	47
RBBP7	Homo_sapiens_XM_054327469.1-RBBP7	JALMGF010000022.1	9.77e-30	1545	82
RIPPLY3	Homo_sapiens_NM_018962.3-RIPPLY3	NC_056527.1	2.66e-04	573	13
RUBCNL	Homo_sapiens_NM_025113.5-RUBCNL	NC_090023.1	6.65e-06	1989	18
SH2D1A	Homo_sapiens_NM_002351.5-SH2D1A	JBINKI010143193.1	0.002	387	28
SH2D2A	Homo_sapiens_XM_054339503.1-SH2D2A	JBFXLW010553225.1	6.82e-09	1218	9
SIAH3	Homo_sapiens_NM_198849.3-SIAH3	JALMGF010000164.1	9.08e-27	810	71
SLC24A1	Homo_sapiens_XM_054379193.1-SLC24A1	JALMGF010000026.1	8.40e-41	3300	39
SLC9A5	Homo_sapiens_NM_004594.3-SLC9A5	JALMGF010000029.1	8.91e-08	2691	55
SSTR4	Homo_sapiens_NM_001052.4-SSTR4	WNWU01000001.1	1.10e-170	1167	84
STAP1	Homo_sapiens_NM_012108.4-STAP1	JBIEKW010626712.1	0.014	888	8
STOML3	Homo_sapiens_NM_145286.3-STOML3	CM080073.1	8.54e-19	876	68
SUV39H2	Homo_sapiens_NM_001193424.2-SUV39H2	JALMGF010000031.1	9.46e-10	1233	77
TBC1D14	Homo_sapiens_XM_054350572.1-TBC1D14	JALMGF010000120.1	8.77e-26	2184	61
TMEM273	Homo_sapiens_XM_054364927.1-TMEM273	JBIDEJ010063793.1	3.45e-13	570	17
TNIP2	Homo_sapiens_NM_024309.4-TNIP2	JBIDEJ010048243.1	2.01e-115	1290	18
UNKL	Homo_sapiens_XM_054313694.1-UNKL	JALMGF010000103.1	5.74e-22	2262	50
UTS2B	Homo_sapiens_XM_054346013.1-UTS2B	NC_086177.1	0.007	399	13
WNT2	Homo_sapiens_NM_003391.3-WNT2	OZ229098.1	7.73e-51	1083	88
YBX3	Homo_sapiens_XM_054373687.1-YBX3	JBLLKT010070442.1	6.47e-08	1119	37
ZNF438	Homo_sapiens_XM_054365033.1-ZNF438	JBFXLW010606399.1	2.11e-06	2520	12
