Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_040285375.1	ASM4028537v1	Laudakia wui	1816318					Bomi	SW-2024a			1779364323	18	Chromosome	2024-06-25	JBCNYC01	170066346	273178261	18							PacBio Sequel	Institute of Plateau Biology of Xizang	PRJNA1099450	SAMN40942255							
GCA_030440675.1	ASM3044067v1	Furcifer pardalis	187939						Fpa_1	male		1609777135	11	Chromosome	2023-07-12		158731830	184669281	11							PacBio Sequel IIe; DNBSEQ-T7	Institute of Zoology, Chinese Academy of Sciences	PRJNA974816	SAMN35298317							
GCF_035594765.1	rAnoCar3.1.pri	Anolis carolinensis	28377						JA03-04	male	GCF_035594765.1-RS_2024_02	1850740401	8	Chromosome	2024-01-12	JAWQEF01	26091274	288964324	211	0.9736631	0.95360965	0.020053476	0.004010695	0.022326203	sauropsida_odb10	PacBio Sequel	Louisiana State University	PRJNA1032920	SAMN37993897	27148	20447	628				
GCF_037176765.1	rAnoSag1.mat	Anolis sagrei	38937						rAnoSag1	male	GCF_037176765.1-RS_2024_08	1950830970	15	Chromosome	2024-03-15	JBBBDO01	43146625	249210491	29	0.9735294	0.93328875	0.04024064	0.005080214	0.021390375	sauropsida_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1080665	SAMN40144551	23363	20130	1009				
GCF_028583425.1	MPM_Emac_v1.0	Eublepharis macularius	481883						TG4126		GCF_028583425.1-RS_2023_03	2237379946	19	Chromosome	2023-02-10	JAOPLA01	80105973	145573841	75	0.9824866	0.96229947	0.020187166	0.0024064172	0.015106952	sauropsida_odb10	PacBio Sequel	Milwaukee Public Museum	PRJNA884264	SAMN31016422	24025	20469	827				
GCA_021292165.1	IOZ_Scro_1.0	Shinisaurus crocodilurus	52224					Guangxi	GXDGS128	female		2189995079	16	Chromosome	2021-12-28	JAHFWL01	3338364	296945371	1553							PacBio; Illumina HiSeq	Institute of Zoology, Chinese Academy of Sciences	PRJNA726336	SAMN19072228							
GCA_003400415.2	UTA_CroVir_3.0	Crotalus viridis viridis	8742							male		1340198908	18	Chromosome	2019-01-08	PDHV02	14888	179897795	7043							Illumina HiSeq	University of Texas at Arlington	PRJNA413201	SAMN07738522							
GCA_039880765.1	rSisCat1_p1.0	Sistrurus catenatus	8756						EasternMassasaugaR01			1559830260	18	Chromosome	2024-05-29	JBAIFV01	12532727	200181838	178							PacBio Sequel II; Illumina NovaSeq 6000	Canada's national platform for genome sequencing and analysis	PRJNA1073551	SAMN36900204							
GCA_023653725.1	ASM2365372v1	Bungarus multicinctus	8616						BM01	male		1593755901	18	Chromosome	2022-06-07	JAGDQI01	5437538	135406522	448							PacBio Sequel	China Academy of Chinese Medical Sciences	PRJNA682532	SAMN17010494							
GCF_009769535.1	rThaEle1.pri	Thamnophis elegans	35005						rThaEle1	female	NCBI Thamnophis elegans Annotation Release 100	1672190305	18	Chromosome	2019-12-23	WNNA01	4620601	100851885	365	0.93997324	0.90588236	0.03409091	0.008957219	0.05106952	sauropsida_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561996	SAMN12629499	21688	18900	603				
