NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
100513208	Sus scrofa	HYDIN	XM_021093814.1	16156	XP_020949473.1	5114
100559292	Anolis carolinensis	hydin	XM_062961682.1	15963	XP_062817752.1	5143
100559292	Anolis carolinensis	hydin	XM_062961683.1	14324	XP_062817753.1	4673
101093658	Felis catus	HYDIN	XM_045046329.1	15822	XP_044902264.1	5112
101093658	Felis catus	HYDIN	XM_045046327.1	15829	XP_044902262.1	5112
101093658	Felis catus	HYDIN	XM_045046336.1	16045	XP_044902271.1	5112
101093658	Felis catus	HYDIN	XM_045046326.1	15881	XP_044902261.1	5112
101093658	Felis catus	HYDIN	XM_045046323.1	15837	XP_044902258.1	5112
101093658	Felis catus	HYDIN	XM_045046328.1	15771	XP_044902263.1	5112
101093658	Felis catus	HYDIN	XM_045046325.1	15729	XP_044902260.1	5112
101093658	Felis catus	HYDIN	XM_045046337.1	15571	XP_044902272.1	5058
101093658	Felis catus	HYDIN	XM_045046343.1	10760	XP_044902278.1	3409
101093658	Felis catus	HYDIN	XM_045046345.1	9260	XP_044902280.1	2894
101093658	Felis catus	HYDIN	XM_045046346.1	7525	XP_044902281.1	2359
101093658	Felis catus	HYDIN	XM_045046331.1	16267	XP_044902266.1	5112
101093658	Felis catus	HYDIN	XM_045046330.1	16223	XP_044902265.1	5112
101093658	Felis catus	HYDIN	XM_023246143.2	15692	XP_023101911.2	5112
101093658	Felis catus	HYDIN	XM_045046332.1	15550	XP_044902267.1	5112
101093658	Felis catus	HYDIN	XM_045046334.1	15531	XP_044902269.1	5112
101093658	Felis catus	HYDIN	XM_023246145.2	15401	XP_023101913.2	5058
101093658	Felis catus	HYDIN	XM_045046333.1	15698	XP_044902268.1	5112
101093658	Felis catus	HYDIN	XM_023246146.2	15388	XP_023101914.2	4982
101093658	Felis catus	HYDIN	XM_045046339.1	14864	XP_044902274.1	4857
101093658	Felis catus	HYDIN	XM_045046338.1	14933	XP_044902273.1	4895
101093658	Felis catus	HYDIN	XM_045046341.1	18313	XP_044902276.1	4818
101093658	Felis catus	HYDIN	XM_045046340.1	14830	XP_044902275.1	4818
101093658	Felis catus	HYDIN	XM_045046342.1	14627	XP_044902277.1	4818
101093658	Felis catus	HYDIN	XR_006590494.1	14916		
101093658	Felis catus	HYDIN	XR_006590495.1	10541		
101093658	Felis catus	HYDIN	XR_006590496.1	9875		
101093658	Felis catus	HYDIN	XR_006590497.1	9880		
101093658	Felis catus	HYDIN	XR_006590499.1	8748		
101093658	Felis catus	HYDIN	XR_006590498.1	8715		
101654290	Echinops telfairi	HYDIN	XM_045293924.1	16437	XP_045149859.1	5033
102682674	Lepisosteus oculatus	hydin	XM_015368617.2	16141	XP_015224103.2	5155
102682674	Lepisosteus oculatus	hydin	XM_015368618.2	16143	XP_015224104.2	5154
102682674	Lepisosteus oculatus	hydin	XM_015368619.2	16143	XP_015224105.2	5154
102682674	Lepisosteus oculatus	hydin	XM_015368616.2	16146	XP_015224102.2	5155
103086195	Lipotes vexillifer	HYDIN	XM_007462964.1	15533	XP_007463026.1	5105
103552415	Equus przewalskii	HYDIN	XR_011537986.1	11399		
103552415	Equus przewalskii	HYDIN	XM_070612302.1	16574	XP_070468403.1	5113
103552415	Equus przewalskii	HYDIN	XM_070612303.1	16571	XP_070468404.1	5112
103552415	Equus przewalskii	HYDIN	XM_070612304.1	16454	XP_070468405.1	5073
103552415	Equus przewalskii	HYDIN	XM_070612305.1	12585	XP_070468406.1	4099
103552415	Equus przewalskii	HYDIN	XM_070612306.1	8122	XP_070468407.1	2145
104389053	Chaetura pelagica	HYDIN	XM_009997997.1	14994	XP_009996299.1	4997
105706742	Aotus nancymaae	HYDIN	XM_064383265.1	15957	XP_064239335.1	5143
105919388	Fundulus heteroclitus	hydin	XM_036152103.1	14784	XP_036007996.1	4812
113445295	Pseudonaja textilis	HYDIN	XM_026714410.1	15189	XP_026570195.1	5052
115009322	Cottoperca gobio	hydin	XM_029433246.1	15502	XP_029289106.1	5045
117670480	Pantherophis guttatus	HYDIN	XR_009620047.1	4700		
117670480	Pantherophis guttatus	HYDIN	XM_060681509.1	4841	XP_060537492.1	1348
117670480	Pantherophis guttatus	HYDIN	XM_034425681.1	3979	XP_034281572.1	1245
117670480	Pantherophis guttatus	HYDIN	XM_034425679.2	15663	XP_034281570.1	5143
117670480	Pantherophis guttatus	HYDIN	XM_060681507.1	15582	XP_060537490.1	5116
117670480	Pantherophis guttatus	HYDIN	XM_034425680.2	13892	XP_034281571.2	4573
117670480	Pantherophis guttatus	HYDIN	XM_060681508.1	12429	XP_060537491.1	4061
118109497	Hippoglossus stenolepis	hydin	XM_047339794.1	15179	XP_047195750.1	4992
118454698	Neolamprologus brichardi	LOC118454698	XM_035910566.1	4023	XP_035766459.1	1340
119415977	Nematolebias whitei	hydin	XM_037683147.1	13905	XP_037539075.1	4634
125332329	Corvus hawaiiensis	HYDIN	XM_048317095.1	1572	XP_048173052.1	523
132101473	Carassius carassius	hydin	XM_059506475.1	15105	XP_059362458.1	4833
132416868	Delphinus delphis	HYDIN	XM_060000506.1	15743	XP_059856489.1	5112
133369133	Rhineura floridana	HYDIN	XM_061594057.1	15815	XP_061450041.1	5130
133369133	Rhineura floridana	HYDIN	XM_061594056.1	2773	XP_061450040.1	839
134515307	Chroicocephalus ridibundus	HYDIN	XM_063334137.1	15139	XP_063190207.1	5038
137893576	Brachionichthys hirsutus	hydin	XM_068738988.1	14244	XP_068595089.1	4747
138117193	Aphelocoma coerulescens	HYDIN	XM_069027268.1	1386	XP_068883369.1	461
138268098	Pleurodeles waltl	HYDIN	XM_069217473.1	17157	XP_069073574.1	5129
138268098	Pleurodeles waltl	HYDIN	XM_069217472.1	17086	XP_069073573.1	5129
138744572	Narcine bancroftii	hydin	XM_069900939.1	15765	XP_069757040.1	5116
104363547	Tyto alba	HYDIN	XM_042797769.1	15832	XP_042653703.1	5094
105526178	Colobus angolensis palliatus	HYDIN	XM_011962106.1	16027	XP_011817496.1	5114
106520170	Austrofundulus limnaeus	hydin	XM_014012136.1	8226	XP_013867590.1	2701
109530321	Hippocampus comes	hydin	XM_019893936.1	12558	XP_019749495.1	3893
110169501	Boleophthalmus pectinirostris	hydin	XM_055155895.1	15408	XP_055011870.1	4846
111570817	Amphiprion ocellaris	hydin	XM_055008991.1	15607	XP_054864966.1	5090
112252367	Oncorhynchus tshawytscha	hydin	XM_042323143.1	15605	XP_042179077.1	5050
112252367	Oncorhynchus tshawytscha	hydin	XM_024423520.2	15740	XP_024279288.2	5095
112252367	Oncorhynchus tshawytscha	hydin	XM_042323142.1	15758	XP_042179076.1	5101
112252367	Oncorhynchus tshawytscha	hydin	XM_042323144.1	11930	XP_042179078.1	3883
112943205	Nothoprocta perdicaria	HYDIN	XM_026034340.1	15447	XP_025890125.1	5148
112987472	Dromaius novaehollandiae	HYDIN	XM_026107399.2	15741	XP_025963184.2	5105
114708071	Peromyscus leucopus	Hydin	XM_028891069.2	15668	XP_028746902.2	5148
116471478	Hylobates moloch	HYDIN	XM_032157850.2	15570	XP_032013741.1	5121
117814966	Notolabrus celidotus	hydin	XM_034686565.1	15165	XP_034542456.1	4908
117814966	Notolabrus celidotus	hydin	XM_034686566.1	15101	XP_034542457.1	4865
