NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
101973768	Ictidomys tridecemlineatus	Matn1	XM_021733162.2	2138	XP_021588837.1	496
102438263	Myotis lucifugus	MATN1	XM_023744245.1	1491	XP_023600013.1	496
104318429	Haliaeetus albicilla	MATN1	XM_009919677.2	3354	XP_009917979.2	567
107141528	Marmota marmota marmota	Matn1	XM_048782701.1	7759	XP_048638658.1	557
107503522	Rousettus aegyptiacus	MATN1	XM_036231141.1	2345	XP_036087034.1	522
107503522	Rousettus aegyptiacus	MATN1	XM_016131934.2	1951	XP_015987420.1	496
115015802	Cottoperca gobio	matn1	XM_029443370.1	1473	XP_029299230.1	490
115824807	Chanos chanos	matn1	XM_030788559.1	1494	XP_030644419.1	497
116701738	Etheostoma spectabile	matn1	XM_032535612.1	1975	XP_032391503.1	490
116701738	Etheostoma spectabile	matn1	XM_032535613.1	1851	XP_032391504.1	449
117027251	Rhinolophus ferrumequinum	MATN1	XM_033114806.1	2180	XP_032970697.1	496
117502212	Thalassophryne amazonica	matn1	XM_034161246.1	3040	XP_034017137.1	490
118994568	Sturnira hondurensis	MATN1	XM_037057219.1	2006	XP_036913114.1	496
119520194	Choloepus didactylus	MATN1	XM_037817900.1	1491	XP_037673828.1	496
120517240	Polypterus senegalus	matn1	XM_039739431.1	2221	XP_039595365.1	491
120517240	Polypterus senegalus	matn1	XM_039739430.1	2222	XP_039595364.1	492
122479377	Prionailurus bengalensis	MATN1	XM_043573325.1	1572	XP_043429260.1	499
123026037	Varanus komodoensis	MATN1	XM_044435271.1	1479	XP_044291206.1	492
126645589	Myiozetetes cayanensis	MATN1	XM_050326205.1	1482	XP_050182162.1	493
128519149	Clarias gariepinus	matn1	XM_053492754.1	2115	XP_053348729.1	448
128519149	Clarias gariepinus	matn1	XM_053492752.1	2238	XP_053348727.1	489
130861228	Hippopotamus amphibius kiboko	MATN1	XM_057749877.1	1529	XP_057605860.1	495
131345226	Hemibagrus wyckioides	matn1	XM_058378023.1	3168	XP_058234006.1	486
135285723	Passer domesticus	MATN1	XM_064398315.1	2764	XP_064254385.1	493
136126090	Phocoena phocoena	MATN1	XM_065881156.1	1531	XP_065737228.1	495
136397578	Saccopteryx leptura	MATN1	XM_066372085.1	1718	XP_066228182.1	496
137047527	Pseudorasbora parva	matn1	XM_067425276.1	2156	XP_067281377.1	488
137047527	Pseudorasbora parva	matn1	XM_067425275.1	2159	XP_067281376.1	489
138434749	Ovis canadensis	MATN1	XM_069579495.1	2548	XP_069435596.1	544
512059	Bos taurus	MATN1	XR_009497075.1	25147		
512059	Bos taurus	MATN1	XM_059893091.1	25423	XP_059749074.1	544
512059	Bos taurus	MATN1	NM_001143866.1	1542	NP_001137338.1	497
100559813	Anolis carolinensis	matn1	XM_003228025.4	3033	XP_003228073.3	564
100919851	Sarcophilus harrisii	MATN1	XM_003765496.3	1644	XP_003765544.2	496
101633246	Condylura cristata	MATN1	XM_004678710.1	1516	XP_004678767.1	497
102543082	Vicugna pacos	MATN1	XM_006196891.3	2173	XP_006196953.1	499
103112971	Erinaceus europaeus	MATN1	XM_060204941.1	1641	XP_060060924.1	546
105808574	Propithecus coquereli	MATN1	XM_012642250.1	1500	XP_012497704.1	499
108504964	Lepidothrix coronata	MATN1	XM_017830518.1	1858	XP_017686007.1	493
109963981	Monopterus albus	matn1	XM_020606956.1	1848	XP_020462612.1	490
111143548	Enhydra lutris kenyoni	MATN1	XM_022497374.1	1494	XP_022353082.1	497
113437709	Pseudonaja textilis	MATN1	XM_026702835.1	1479	XP_026558620.1	492
114044726	Vombatus ursinus	MATN1	XM_027864362.1	3490	XP_027720163.1	490
114044726	Vombatus ursinus	MATN1	XM_027864361.1	2963	XP_027720162.1	496
117738976	Cyclopterus lumpus	matn1	XM_034545190.1	1667	XP_034401081.1	490
118522934	Halichoerus grypus	MATN1	XM_036072294.1	5464	XP_035928187.1	473
118522934	Halichoerus grypus	MATN1	XM_036072295.1	3258	XP_035928188.1	468
118522934	Halichoerus grypus	MATN1	XM_036072293.1	3419	XP_035928186.1	473
118522934	Halichoerus grypus	MATN1	XM_036072296.1	2280	XP_035928189.1	496
119218728	Pungitius pungitius	matn1	XM_062558694.1	2263	XP_062414678.1	480
121342726	Onychostruthus taczanowskii	MATN1	XM_041417321.1	1665	XP_041273255.1	471
122426783	Cervus canadensis	MATN1	XR_006265233.1	1858		
