Species	Num_Gaps
Acinonyx_jubatus	0
Acomys_russatus	1
Agelaius_phoeniceus	0
Ahaetulla_prasina	0
Ailuropoda_melanoleuca	115
Alligator_mississippiensis	0
Ambystoma_mexicanum	3
Anas_acuta	0
Anas_platyrhynchos	0
Anolis_carolinensis	0
Anolis_sagrei	0
Anomalospiza_imberbis	1
Anser_cygnoides	0
Antechinus_flavipes	0
Aphelocoma_coerulescens	0
Apodemus_sylvaticus	0
Apteryx_mantelli	0
Apus_apus	0
Aquila_chrysaetos	0
Arvicanthis_niloticus	0
Arvicola_amphibius	0
Aythya_fuligula	0
Balaenoptera_acutorostrata	0
Balaenoptera_musculus	0
Bombina_bombina	2
Bos_mutus	0
Bos_taurus	0
Bubalus_bubalis	0
Budorcas_taxicolor	0
Bufo_bufo	0
Bufo_gargarizans	0
Callithrix_jacchus	1
Caloenas_nicobarica	0
Calypte_anna	0
Camarhynchus_parvulus	1
Camelus_dromedarius	0
Camelus_ferus	0
Candoia_aspera	0
Capra_hircus	0
Capricornis_sumatraensis	0
Caretta_caretta	5
Catharus_ustulatus	0
Cervus_canadensis	5
Cervus_elaphus	0
Chelonia_mydas	0
Chionomys_nivalis	0
Chiroxiphia_lanceolata	0
Choloepus_didactylus	0
Chroicocephalus_ridibundus	0
Chrysemys_picta	0
Cinclus_cinclus	0
Colius_striatus	1
Columba_livia	0
Corvus_cornix	1
Corvus_hawaiiensis	0
Corvus_moneduloides	0
Coturnix_japonica	20
Cuculus_canorus	0
Cygnus_atratus	0
Cygnus_olor	0
Cynocephalus_volans	0
Dama_dama	0
Dasypus_novemcinctus	0
Delphinus_delphis	0
Dendropsophus_ebraccatus	0
Dermochelys_coriacea	4
Desmodus_rotundus	0
Diceros_bicornis	0
Dromaius_novaehollandiae	0
Dromiciops_gliroides	0
Dryobates_pubescens	0
Elephas_maximus	0
Elgaria_multicarinata	0
Emys_orbicularis	1
Eptesicus_fuscus	0
Equus_asinus	0
Equus_caballus	0
Equus_przewalskii	0
Equus_quagga	16
Erinaceus_europaeus	5
Erythrolamprus_reginae	0
Eschrichtius_robustus	0
Eubalaena_glacialis	0
Eublepharis_macularius	0
Eulemur_rufifrons	0
Euleptes_europaea	0
Falco_biarmicus	0
Falco_cherrug	3
Falco_naumanni	0
Falco_peregrinus	0
Falco_rusticolus	0
Felis_catus	0
Ficedula_albicollis	4
Gavia_stellata	0
Geotrypetes_seraphini	0
Globicephala_melas	0
Gopherus_flavomarginatus	0
Gorilla_gorilla	0
Grus_americana	0
Gymnogyps_californianus	0
