Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	
Acinonyx_jubatus	4255	135422	158808	88558	111944	2110	
Acomys_russatus	2821	104209	122637	63582	82010	1716	
Ailuropoda_melanoleuca	4194	115593	135959	67484	87850	6390	
Alligator_mississippiensis	1962	4037514	3815342	3987177	3765005	15667	
Amblyraja_radiata	11468	199525	362757	148556	311788	34863	
Ambystoma_mexicanum	75452	1653850	2459397	951660	1757207	376168	
Amia_calva	1493	2175178	2128743	2184091	2137656	4367	
Anas_acuta	577	37403	48456	11794	22847	2900	
Anas_platyrhynchos	584	37546	48752	11999	23205	2868	
Anguilla_anguilla	2279	40577350	40494341	40547484	40464475	22682	
Anguilla_rostrata	2274	39642578	39571106	39610754	39539282	8375	
Anolis_carolinensis	1852	33171	77673	5159	49661	4324	
Anolis_sagrei	3060	56062	128688	7180	79806	4929	
Anser_cygnoides	580	37146	48358	11818	23030	4287	
Aphelocoma_coerulescens	1081	43546	57928	14678	29060	2652	
Apodemus_sylvaticus	2540	111069	130386	74741	94058	1731	
Apteryx_mantelli	1173	52227	72299	21489	41561	3889	
Apus_apus	787	32520	42683	140	10303	7819	
Aquila_chrysaetos	1192	46873	61514	17205	31846	2822	
Arvicanthis_niloticus	2573	108209	127418	70147	89356	1735	
Arvicola_amphibius	2615	103867	123440	65281	84854	1785	
Aythya_fuligula	588	35146	46185	11091	22130	2931	
Balaenoptera_acutorostrata	2872	124407	145178	74439	95210	2144	
Balaenoptera_musculus	3196	120354	141129	72961	93736	2150	
Bombina_bombina	2965	482150	852349	413096	783295	129412	
Bos_mutus	3573	109688	130243	70923	91478	1450	
Brienomyrus_brachyistius	1166	1472288	1440136	1481146	1448994	3651	
Bubalus_bubalis	3552	110062	130598	71349	91885	1626	
Budorcas_taxicolor	3582	110354	128961	71515	90122	1580	
Bufo_bufo	2242	57236	93277	39142	75183	6524	
Bufo_gargarizans	2570	45457	100267	32768	87578	14108	
Callithrix_jacchus	4279	132998	156756	85666	109424	6247	
Caloenas_nicobarica	1585	46044	60944	16581	31481	2680	
Calypte_anna	881	51373	66641	17234	32502	2704	
Camarhynchus_parvulus	1040	43002	56629	14473	28100	2555	
Camelus_ferus	1224	101168	121382	57320	77534	2121	
Candoia_aspera	283	53699	120478	5781	72560	1196	
Capra_hircus	3555	110707	129467	71906	90666	1597	
Caretta_caretta	3927	400393	506916	435501	542024	25257	
Cervus_canadensis	3720	118002	136467	79557	98022	1594	
Cervus_elaphus	3720	119251	137698	80800	99247	1594	
Chelonia_mydas	3444	431665	531789	466358	566482	25303	
Chionomys_nivalis	2922	103209	122252	62070	81113	1763	
Choloepus_didactylus	1470	142375	164230	78512	100367	1941	
Chroicocephalus_ridibundus	1138	49920	65128	19933	35141	3141	
Chrysemys_picta	3611	602699	712207	634940	744448	20883	
Colius_striatus	1064	45873	59645	14692	28464	3012	
Columba_livia	1426	45266	60025	16026	30785	2715	
Corvus_cornix	1074	43455	57772	14639	28956	2639	
Corvus_hawaiiensis	1077	43516	57871	14647	29002	2639	
Corvus_moneduloides	1077	43515	57910	14640	29035	2645	
Coturnix_japonica	1136	37547	49430	10628	22511	2136	
Cricetulus_griseus	2939	110064	129310	72663	91909	1571	
Cygnus_atratus	578	36556	47662	11299	22405	3076	
Cygnus_olor	582	36638	47537	11335	22234	3043	
Cynocephalus_volans	3202	112173	136830	71632	96289	5734	
Dama_dama	3714	118220	136592	79710	98082	1600	
Dasypus_novemcinctus	1837	139521	162392	81581	104452	1902	
Dendropsophus_ebraccatus	1777	92295	125492	78731	111928	8978	
Dermochelys_coriacea	6851	450477	556095	485721	591339	17667	
Desmodus_rotundus	3619	111320	127943	70224	86847	1962	
Diceros_bicornis	3529	121792	143908	71538	93654	7006	
Dromaius_novaehollandiae	1198	49411	70178	19057	39824	3397	
Dromiciops_gliroides	1820	170595	210772	137804	177981	3535	
Elephas_maximus	2621	139376	160692	87159	108475	1972	
Eleutherodactylus_coqui	1716	61122	106186	44545	89609	19133	
Elgaria_multicarinata	3228	64133	164898	7284	108049	2835	
Emys_orbicularis	5928	1108196	1214470	1141255	1247529	21494	
Eptesicus_fuscus	4665	124782	140845	81016	97079	1888	
Equus_asinus	3528	122294	146785	70172	94663	5641	
Equus_caballus	3532	122297	146627	70227	94557	5678	
Equus_przewalskii	3533	122324	146567	70253	94496	5677	
Equus_quagga	3531	122583	147341	70295	95053	5935	
Erinaceus_europaeus	5446	151534	179359	102879	130704	1529	
Erpetoichthys_calabaricus	9281	35487396	35780413	35453182	35746199	32602	
Erythrolamprus_reginae	731	50145	93934	4675	48464	694	
Eschrichtius_robustus	2875	121044	141832	73590	94378	2150	
Eubalaena_glacialis	2890	121492	142368	75289	96165	2305	
Eublepharis_macularius	2408	45042	134147	10234	99339	4838	
Eulemur_rufifrons	3081	104066	124133	61715	81782	7069	
Euleptes_europaea	2220	47349	133327	7348	93326	6075	
Falco_rusticolus	1120	43615	57895	13470	27750	2645	
Felis_catus	4184	140053	163376	92537	115860	2106	
Gavia_stellata	1294	47596	62601	17881	32886	2748	
Geotrypetes_seraphini	20550	588264	940899	281497	634132	63659	
Globicephala_melas	2894	114633	135337	67676	88380	2130	
Gopherus_flavomarginatus	3279	518246	617611	550809	650174	18636	
Gorilla_gorilla	3112	144995	169351	96699	121055	3879	
Gracilinanus_agilis	6870	177972	218970	134243	175241	26719	
Grus_americana	1212	46815	61334	18069	32588	2846	
Gymnogyps_californianus	3659	50804	65809	17858	32863	2861	
Heliangelus_exortis	850	55761	71241	17719	33199	5545	
Hemicordylus_capensis	2567	40165	95288	3751	58874	4367	
Heteronotia_binoei	1756	60830	150297	5852	95319	5404	
Hippopotamus_amphibius	3390	109281	129556	67464	87739	2115	
Hirundo_rustica	1084	43154	56924	14568	28338	2638	
Hyla_sarda	1881	148652	223015	133839	208202	17184	
Hyperolius_riggenbachi	9738	545016	924061	423231	802276	122755	
Ictidomys_tridecemlineatus	2784	121334	142193	74129	94988	6817	
Indicator_indicator	5388	74744	92615	22654	40525	3472	
Jaculus_jaculus	6223	190826	213952	129904	153030	1758	
Lacerta_agilis	2430	39881	100386	6643	67148	2783	
Lagenorhynchus_albirostris	2885	116130	136827	67936	88633	2121	
Lagopus_muta	1449	39393	51386	11526	23519	2255	
Lemur_catta	3077	103258	123101	60170	80013	1943	
Leopardus_geoffroyi	4465	134748	158147	86315	109714	2129	
Lepisosteus_oculatus	1895	3570198	3519166	3549987	3498955	4752	
Lepus_europaeus	3080	131867	151785	73657	93575	1856	
Loxodonta_africana	2621	139486	160830	87221	108565	6749	
Lutra_lutra	1470	113634	134887	70102	91355	1976	
Lynx_canadensis	4203	136162	159569	89174	112581	2110	
Macaca_fascicularis	5159	141938	166552	88341	112955	2134	
Macaca_mulatta	5143	140955	165666	88017	112728	2250	
Macaca_nemestrina	5135	139764	164413	86131	110780	2149	
Macaca_thibetana	5151	141830	166442	88221	112833	2149	
Malaclemys_terrapin	3596	479157	590007	512022	622872	21688	
Manis_pentadactyla	4478	125952	147079	65204	86331	1902	
Marmota_flaviventris	2946	121589	142236	72885	93532	1983	
Mastomys_coucha	2504	113335	133399	75590	95654	1753	
Mauremys_mutica	3600	382282	493220	415018	525956	27129	
Mauremys_reevesii	3562	393861	509068	424840	540047	24589	
Meles_meles	1420	112702	134118	68140	89556	2033	
Melopsittacus_undulatus	1103	44640	58416	14629	28405	2490	
Meriones_unguiculatus	2696	98334	117716	62854	82236	1763	
Mesoplodon_densirostris	2861	120806	141715	73337	94246	2158	
Microcebus_murinus	3008	120680	141623	65726	86669	1766	
Microtus_ochrogaster	2555	106206	125837	65227	84858	1735	
Mobula_hypostoma	25707	417330	672027	337202	591899	70207	
Molothrus_aeneus	1065	43338	57124	14759	28545	2649	
Molothrus_ater	1065	43288	57078	14743	28533	2647	
Monodelphis_domestica	1765	175416	210217	136029	170830	2169	
Mus_caroli	2553	108457	127721	73234	92498	1755	
Mus_musculus	2519	107974	127082	71864	90972	1753	
Mus_pahari	2552	113270	131879	75378	93987	1751	
Mustela_erminea	1480	112048	132938	69103	89993	2019	
