NCBI GeneID	Taxonomic Name	Symbol	Transcript Accession	Transcript Transcript Length	Transcript Protein Accession	Transcript Protein Length
100224705	Taeniopygia guttata	MTSS2	XM_012570005.4	3711	XP_012425459.4	715
100224705	Taeniopygia guttata	MTSS2	XM_030282518.3	3792	XP_030138378.3	742
100224705	Taeniopygia guttata	MTSS2	XM_041718577.1	3744	XP_041574511.1	726
100224705	Taeniopygia guttata	MTSS2	XM_030282517.3	3795	XP_030138377.3	743
100496985	Xenopus tropicalis	mtss2	XM_031900833.1	11786	XP_031756693.1	684
100496985	Xenopus tropicalis	mtss2	XM_004914043.4	11936	XP_004914100.1	735
100496985	Xenopus tropicalis	mtss2	XM_002931687.5	11945	XP_002931733.1	738
103735632	Nannospalax galili	Mtss2	XM_008834972.2	4677	XP_008833194.1	750
103735632	Nannospalax galili	Mtss2	XM_017798635.2	4602	XP_017654124.1	725
103735632	Nannospalax galili	Mtss2	XM_008834975.3	4581	XP_008833197.1	718
103735632	Nannospalax galili	Mtss2	XM_029564448.1	4506	XP_029420308.1	693
103735632	Nannospalax galili	Mtss2	XM_008834973.3	4668	XP_008833195.1	747
103735632	Nannospalax galili	Mtss2	XM_008834976.1	4572	XP_008833198.1	715
103735632	Nannospalax galili	Mtss2	XM_008834977.3	4654	XP_008833199.1	688
103735632	Nannospalax galili	Mtss2	XM_029564449.1	4489	XP_029420309.1	670
103735632	Nannospalax galili	Mtss2	XM_029564450.1	4306	XP_029420310.1	602
104876470	Fukomys damarensis	Mtss2	XM_033757818.1	2260	XP_033613709.1	703
104876470	Fukomys damarensis	Mtss2	XM_033757819.1	2158	XP_033613710.1	669
105889151	Clupea harengus	mtss1lb	XM_031569632.2	2802	XP_031425492.1	707
105889151	Clupea harengus	mtss1lb	XM_012814945.3	2889	XP_012670399.1	736
105889151	Clupea harengus	mtss1lb	XM_031569631.2	2811	XP_031425491.1	710
105889151	Clupea harengus	mtss1lb	XM_031569630.2	2898	XP_031425490.1	739
108897680	Lates calcarifer	mtss1lb	XM_051076290.1	12396	XP_050932247.1	817
108897680	Lates calcarifer	mtss1lb	XM_051076287.1	12528	XP_050932244.1	861
108897680	Lates calcarifer	mtss1lb	XM_018697412.2	12531	XP_018552928.1	862
108897680	Lates calcarifer	mtss1lb	XM_018697416.2	12374	XP_018552932.1	810
108897680	Lates calcarifer	mtss1lb	XM_051076292.1	11743	XP_050932249.1	776
110162593	Boleophthalmus pectinirostris	mtss1lb	XM_055154830.1	3253	XP_055010805.1	802
112300765	Desmodus rotundus	MTSS2	XM_045191815.3	4870	XP_045047750.1	714
112300765	Desmodus rotundus	MTSS2	XM_024556101.4	4943	XP_024411869.1	739
112300765	Desmodus rotundus	MTSS2	XM_024556103.4	4846	XP_024411871.1	707
113422986	Notechis scutatus	MTSS2	XM_026684187.1	6236	XP_026539972.1	662
113422986	Notechis scutatus	MTSS2	XM_026684186.1	6356	XP_026539971.1	702
113974812	Neopelma chrysocephalum	MTSS2	XM_027698304.1	2491	XP_027554105.1	744
113974812	Neopelma chrysocephalum	MTSS2	XM_027698305.1	2488	XP_027554106.1	743
113974812	Neopelma chrysocephalum	MTSS2	XM_027698306.1	2488	XP_027554107.1	743
113974812	Neopelma chrysocephalum	MTSS2	XM_027698307.1	2485	XP_027554108.1	742
113974812	Neopelma chrysocephalum	MTSS2	XM_027698313.1	2407	XP_027554114.1	716
113974812	Neopelma chrysocephalum	MTSS2	XM_027698308.1	2482	XP_027554109.1	741
113974812	Neopelma chrysocephalum	MTSS2	XM_027698309.1	2479	XP_027554110.1	740
113974812	Neopelma chrysocephalum	MTSS2	XM_027698311.1	2479	XP_027554112.1	740
113974812	Neopelma chrysocephalum	MTSS2	XM_027698312.1	2476	XP_027554113.1	739
113974812	Neopelma chrysocephalum	MTSS2	XM_027698314.1	2395	XP_027554115.1	712
